depmap_name	normalized_name	broad_id	name_source	drugcomb_cell_line
A375	a375	ACH-000219	ccle_base	A375
A375	a375	ACH-000219	canonical_base	A375
A375	a375	ACH-002001	ccle_base	A375
A375	a375	ACH-002001	canonical_base	A375
A375	a375	ACH-002002	ccle_base	A375
A375	a375	ACH-002002	canonical_base	A375
A375	a375	ACH-002003	ccle_base	A375
A375	a375	ACH-002003	canonical_base	A375
COLO829	colo829	ACH-000644	ccle_base	COLO 829
COLO829	colo829	ACH-000644	canonical_base	COLO 829
COLO829	colo829	ACH-002380	ccle_base	COLO 829
COLO829	colo829	ACH-002380	canonical_base	COLO 829
HCC1143	hcc1143	ACH-000374	ccle_base	HCC1143
HCC1143	hcc1143	ACH-000374	canonical_base	HCC1143
HCC1143	hcc1143	ACH-002378	ccle_base	HCC1143
HCC1143	hcc1143	ACH-002378	canonical_base	HCC1143
HCC1187	hcc1187	ACH-000111	ccle_base	HCC1187
HCC1187	hcc1187	ACH-000111	canonical_base	HCC1187
HCC1187	hcc1187	ACH-002373	ccle_base	HCC1187
HCC1187	hcc1187	ACH-002373	canonical_base	HCC1187
HCC1395	hcc1395	ACH-000699	ccle_base	HCC1395
HCC1395	hcc1395	ACH-000699	canonical_base	HCC1395
HCC1395	hcc1395	ACH-002382	ccle_base	HCC1395
HCC1395	hcc1395	ACH-002382	canonical_base	HCC1395
HCC1937	hcc1937	ACH-000223	ccle_base	HCC1937
HCC1937	hcc1937	ACH-000223	canonical_base	HCC1937
HCC1937	hcc1937	ACH-002375	ccle_base	HCC1937
HCC1937	hcc1937	ACH-002375	canonical_base	HCC1937
HCC1954	hcc1954	ACH-000859	ccle_base	HCC1954
HCC1954	hcc1954	ACH-000859	canonical_base	HCC1954
HCC1954	hcc1954	ACH-002384	ccle_base	HCC1954
HCC1954	hcc1954	ACH-002384	canonical_base	HCC1954
HCC38	hcc38	ACH-000276	ccle_base	HCC38
HCC38	hcc38	ACH-000276	canonical_base	HCC38
HCC38	hcc38	ACH-002377	ccle_base	HCC38
HCC38	hcc38	ACH-002377	canonical_base	HCC38
HT144	ht144	ACH-000322	ccle_base	HT144
HT144	ht144	ACH-000322	canonical_base	HT144
HT144	ht144	ACH-002458	ccle_base	HT144
HT144	ht144	ACH-002458	canonical_base	HT144
HT144	ht144	ACH-002459	ccle_base	HT144
HT144	ht144	ACH-002459	canonical_base	HT144
HT144	ht144	ACH-002460	ccle_base	HT144
HT144	ht144	ACH-002460	canonical_base	HT144
J82	j82	ACH-000396	ccle_base	J82
J82	j82	ACH-000396	canonical_base	J82
J82	j82	ACH-002379	ccle_base	J82
J82	j82	ACH-002379	canonical_base	J82
RVH421	rvh421	ACH-000614	ccle_base	RVH-421
RVH421	rvh421	ACH-000614	canonical_base	RVH-421
RVH421	rvh421	ACH-002461	ccle_base	RVH-421
RVH421	rvh421	ACH-002461	canonical_base	RVH-421
UACC62	uacc62	ACH-000425	ccle_base	UACC62
UACC62	uacc62	ACH-000425	canonical_base	UACC62
UACC62	uacc62	ACH-002004	ccle_base	UACC62
UACC62	uacc62	ACH-002004	canonical_base	UACC62
