drugcomb_id	dname	normalized_name	training_name
1154	(+)-Usnic acid	(+)-usnic acid	(+)-Usnic acid
3375	(+)-Usnic acid	(+)-usnic acid	(+)-Usnic acid
1655	405554-55-4	405554-55-4	405554-55-4
3793	405554-55-4	405554-55-4	405554-55-4
1644	852475-26-4	852475-26-4	852475-26-4
3576	852475-26-4	852475-26-4	852475-26-4
1376	AS-604850	as-604850	AS-604850
2665	AS-604850	as-604850	AS-604850
2387	AZD6738	azd6738	AZD6738
4609	AZD6738	azd6738	AZD6738
1906	Apatinib	apatinib	Apatinib
2647	Apatinib	apatinib	Apatinib
2144	Apilimod	apilimod	Apilimod
2722	Apilimod	apilimod	Apilimod
1116	BENZTROPINE MESYLATE	benztropine mesylate	BENZTROPINE MESYLATE
8166	BENZTROPINE MESYLATE	benztropine mesylate	BENZTROPINE MESYLATE
1451	BIBR-1048	bibr-1048	BIBR-1048
4213	BIBR-1048	bibr-1048	BIBR-1048
982	Bilobalide	bilobalide	Bilobalide
2842	Bilobalide	bilobalide	Bilobalide
1471	Bisoprolol fumarate	bisoprolol fumarate	Bisoprolol fumarate
5190	Bisoprolol fumarate	bisoprolol fumarate	Bisoprolol fumarate
47	Bleomycin sulfate	bleomycin sulfate	Bleomycin sulfate
7133	Bleomycin sulfate	bleomycin sulfate	Bleomycin sulfate
3851	C646	c646	C646
7557	C646	c646	C646
177	Cevimeline	cevimeline	Cevimeline
6759	Cevimeline	cevimeline	Cevimeline
1801	Cloxacillin sodium	cloxacillin sodium	Cloxacillin sodium
5350	Cloxacillin sodium	cloxacillin sodium	Cloxacillin sodium
1331	Costunolide	costunolide	Costunolide
2812	Costunolide	costunolide	Costunolide
1733	DAPTOMYCIN	daptomycin	DAPTOMYCIN
2826	DAPTOMYCIN	daptomycin	DAPTOMYCIN
1794	Dicloxacillin sodium	dicloxacillin sodium	Dicloxacillin sodium
5354	Dicloxacillin sodium	dicloxacillin sodium	Dicloxacillin sodium
220	Dihydroartemisinin	dihydroartemisinin	Dihydroartemisinin
1641	Dihydroartemisinin	dihydroartemisinin	Dihydroartemisinin
4062	ETOMOXIR	etomoxir	ETOMOXIR
4276	ETOMOXIR	etomoxir	ETOMOXIR
2204	Fenobam	fenobam	Fenobam
2910	Fenobam	fenobam	Fenobam
2105	Flavopiridol	flavopiridol	Flavopiridol
2615	Flavopiridol	flavopiridol	Flavopiridol
1693	GDC-0879	gdc-0879	GDC-0879
3141	GDC-0879	gdc-0879	GDC-0879
3795	GDC-0879	gdc-0879	GDC-0879
1544	Ginkgolide A	ginkgolide a	Ginkgolide A
6285	Ginkgolide A	ginkgolide a	Ginkgolide A
899	Ginkgolide B	ginkgolide b	Ginkgolide B
4154	Ginkgolide B	ginkgolide b	Ginkgolide B
1474	HALOBETASOL PROPIONATE	halobetasol propionate	HALOBETASOL PROPIONATE
7711	HALOBETASOL PROPIONATE	halobetasol propionate	HALOBETASOL PROPIONATE
1152	HEMATOXYLIN	hematoxylin	HEMATOXYLIN
2902	HEMATOXYLIN	hematoxylin	HEMATOXYLIN
1363	HYODEOXYCHOLIC ACID	hyodeoxycholic acid	HYODEOXYCHOLIC ACID
2861	HYODEOXYCHOLIC ACID	hyodeoxycholic acid	HYODEOXYCHOLIC ACID
3454	Huperzine A	huperzine a	Huperzine A
7479	Huperzine A	huperzine a	Huperzine A
1900	IWR-1-endo	iwr-1-endo	IWR-1-endo
8157	IWR-1-endo	iwr-1-endo	IWR-1-endo
3403	JS-K	js-k	JS-K
4196	JS-K	js-k	JS-K
4205	LB-100	lb-100	LB-100
7586	LB-100	lb-100	LB-100
1759	LDN-57444	ldn-57444	LDN-57444
7888	LDN-57444	ldn-57444	LDN-57444
1082	Milnacipran hydrochloride	milnacipran hydrochloride	Milnacipran hydrochloride
7582	Milnacipran hydrochloride	milnacipran hydrochloride	Milnacipran hydrochloride
1369	NATAMYCIN	natamycin	NATAMYCIN
3003	NATAMYCIN	natamycin	NATAMYCIN
2266	NIGULDIPINE	niguldipine	NIGULDIPINE
2600	NIGULDIPINE	niguldipine	NIGULDIPINE
2621	Nedaplatin	nedaplatin	Nedaplatin
3908	Nedaplatin	nedaplatin	Nedaplatin
1755	Nsc 23766	nsc 23766	Nsc 23766
2669	Nsc 23766	nsc 23766	Nsc 23766
2807	Octreotide	octreotide	Octreotide
4162	Octreotide	octreotide	Octreotide
7344	Olesoxime	olesoxime	Olesoxime
8379	Olesoxime	olesoxime	Olesoxime
3631	PF-03814735	pf-03814735	PF-03814735
4331	PF-03814735	pf-03814735	PF-03814735
1205	PHENYTOIN SODIUM	phenytoin sodium	PHENYTOIN SODIUM
6194	PHENYTOIN SODIUM	phenytoin sodium	PHENYTOIN SODIUM
2711	PNU-74654	pnu-74654	PNU-74654
3977	PNU-74654	pnu-74654	PNU-74654
1318	Quetiapine fumarate	quetiapine fumarate	Quetiapine fumarate
5626	Quetiapine fumarate	quetiapine fumarate	Quetiapine fumarate
2907	RIFABUTIN	rifabutin	RIFABUTIN
4124	RIFABUTIN	rifabutin	RIFABUTIN
1434	RIFAPENTINE	rifapentine	RIFAPENTINE
2578	RIFAPENTINE	rifapentine	RIFAPENTINE
5389	RIFAPENTINE	rifapentine	RIFAPENTINE
1410	Rifampicin	rifampicin	Rifampicin
4123	Rifampicin	rifampicin	Rifampicin
803	Ritodrine hydrochloride	ritodrine hydrochloride	Ritodrine hydrochloride
5949	Ritodrine hydrochloride	ritodrine hydrochloride	Ritodrine hydrochloride
7689	SIMEPREVIR	simeprevir	SIMEPREVIR
8388	SIMEPREVIR	simeprevir	SIMEPREVIR
3523	SL 0101-1	sl 0101-1	SL 0101-1
4348	SL 0101-1	sl 0101-1	SL 0101-1
1081	Sclareol	sclareol	Sclareol
7334	Sclareol	sclareol	Sclareol
2996	Strontium ranelate	strontium ranelate	Strontium ranelate
7398	Strontium ranelate	strontium ranelate	Strontium ranelate
1435	Tenofovir Disoproxil Fumarate	tenofovir disoproxil fumarate	Tenofovir Disoproxil Fumarate
2818	Tenofovir Disoproxil Fumarate	tenofovir disoproxil fumarate	Tenofovir Disoproxil Fumarate
364	Varenicline	varenicline	Varenicline
3021	Varenicline	varenicline	Varenicline
1542	Varenicline tartrate	varenicline tartrate	Varenicline tartrate
6507	Varenicline tartrate	varenicline tartrate	Varenicline tartrate
117	Vinblastine sulfate	vinblastine sulfate	Vinblastine sulfate
402	Vinblastine sulfate	vinblastine sulfate	Vinblastine sulfate
118	Vincristine sulfate	vincristine sulfate	Vincristine sulfate
8068	Vincristine sulfate	vincristine sulfate	Vincristine sulfate
119	Vinorelbine tartrate	vinorelbine tartrate	Vinorelbine tartrate
3047	Vinorelbine tartrate	vinorelbine tartrate	Vinorelbine tartrate
195	acarbose	acarbose	acarbose
6147	acarbose	acarbose	acarbose
389	actinomycin D	actinomycin d	actinomycin D
2635	actinomycin D	actinomycin d	actinomycin D
1348	alfacalcidol	alfacalcidol	alfacalcidol
8370	alfacalcidol	alfacalcidol	alfacalcidol
945	artemisinin	artemisinin	artemisinin
8334	artemisinin	artemisinin	artemisinin
1431	aztreonam	aztreonam	aztreonam
2831	aztreonam	aztreonam	aztreonam
1275	benfotiamine	benfotiamine	benfotiamine
6070	benfotiamine	benfotiamine	benfotiamine
1374	brefeldin A	brefeldin a	brefeldin A
2614	brefeldin A	brefeldin a	brefeldin A
1469	cefdinir	cefdinir	cefdinir
2837	cefdinir	cefdinir	cefdinir
1446	cefditoren pivoxil	cefditoren pivoxil	cefditoren pivoxil
2838	cefditoren pivoxil	cefditoren pivoxil	cefditoren pivoxil
1208	chlorprothixene	chlorprothixene	chlorprothixene
8391	chlorprothixene	chlorprothixene	chlorprothixene
421	cyclosporin A	cyclosporin a	cyclosporin A
3196	cyclosporin A	cyclosporin a	cyclosporin A
7446	cyclosporin A	cyclosporin a	cyclosporin A
58	dacarbazine	dacarbazine	dacarbazine
3907	dacarbazine	dacarbazine	dacarbazine
246	dantrolene	dantrolene	dantrolene
5614	dantrolene	dantrolene	dantrolene
2741	eeyarestatin I	eeyarestatin i	eeyarestatin I
4017	eeyarestatin I	eeyarestatin i	eeyarestatin I
1425	famotidine	famotidine	famotidine
2758	famotidine	famotidine	famotidine
5451	famotidine	famotidine	famotidine
1058	gadodiamide	gadodiamide	gadodiamide
2819	gadodiamide	gadodiamide	gadodiamide
36	geldanamycin	geldanamycin	geldanamycin
7848	geldanamycin	geldanamycin	geldanamycin
2361	granisetron	granisetron	granisetron
5215	granisetron	granisetron	granisetron
532	hexestrol	hexestrol	hexestrol
5671	hexestrol	hexestrol	hexestrol
1206	ipratropium bromide	ipratropium bromide	ipratropium bromide
6700	ipratropium bromide	ipratropium bromide	ipratropium bromide
229	itraconazole	itraconazole	itraconazole
2908	itraconazole	itraconazole	itraconazole
4289	itraconazole	itraconazole	itraconazole
1179	ketoconazole	ketoconazole	ketoconazole
6153	ketoconazole	ketoconazole	ketoconazole
243	mefloquine	mefloquine	mefloquine
2821	mefloquine	mefloquine	mefloquine
433	naringenin	naringenin	naringenin
2553	naringenin	naringenin	naringenin
1898	nystatin	nystatin	nystatin
2850	nystatin	nystatin	nystatin
4138	nystatin	nystatin	nystatin
7950	nystatin	nystatin	nystatin
1344	oligomycin A	oligomycin a	oligomycin A
2386	oligomycin A	oligomycin a	oligomycin A
4326	oligomycin A	oligomycin a	oligomycin A
27	paclitaxel	paclitaxel	paclitaxel
2625	paclitaxel	paclitaxel	paclitaxel
1491	parthenolide	parthenolide	parthenolide
4329	parthenolide	parthenolide	parthenolide
7451	parthenolide	parthenolide	parthenolide
8009	parthenolide	parthenolide	parthenolide
8140	parthenolide	parthenolide	parthenolide
1634	pirarubicin	pirarubicin	pirarubicin
2631	pirarubicin	pirarubicin	pirarubicin
2588	quinidine	quinidine	quinidine
2959	quinidine	quinidine	quinidine
8336	quinidine	quinidine	quinidine
1468	roxithromycin	roxithromycin	roxithromycin
2827	roxithromycin	roxithromycin	roxithromycin
106	teniposide	teniposide	teniposide
384	teniposide	teniposide	teniposide
7114	teniposide	teniposide	teniposide
147	tranylcypromine	tranylcypromine	tranylcypromine
2893	tranylcypromine	tranylcypromine	tranylcypromine
2053	tylosin tartrate	tylosin tartrate	tylosin tartrate
7574	tylosin tartrate	tylosin tartrate	tylosin tartrate
668	vincristine	vincristine	vincristine
3506	vincristine	vincristine	vincristine
34	vinorelbine	vinorelbine	vinorelbine
