drugcomb_cell_line	normalized_name	ModelID	depmap_matched_name	depmap_name_source	mapping_status
22Rv1	22rv1	ACH-000956	22RV1	canonical_base	mapped
3D7	3d7				unmapped
451Lu	451lu	ACH-001002	451LU	canonical_base	mapped
4T1	4t1				unmapped
4T1FGF	4t1fgf				unmapped
501-mel	501mel	ACH-001003	501MEL	canonical_base	mapped
647V	647v	ACH-000896	647V	canonical_base	mapped
786-0	7860				unmapped
967 WT	967wt				unmapped
A-673	a673	ACH-000052	A673	canonical_base	mapped
A101D	a101d	ACH-000008	A101D	canonical_base	mapped
A2058	a2058	ACH-000788	A2058	canonical_base	mapped
A2780	a2780	ACH-000657	A2780	canonical_base	mapped
A375	a375				ambiguous
A427	a427	ACH-000757	A427	canonical_base	mapped
A498	a498	ACH-000555	A498	canonical_base	mapped
A549	a549	ACH-000681	A549	canonical_base	mapped
ACHN	achn	ACH-000046	ACHN	canonical_base	mapped
AGS	ags	ACH-000880	AGS	canonical_base	mapped
BFTC-905	bftc905	ACH-000802	BFTC905	canonical_base	mapped
BT-20	bt20	ACH-000536	BT20	canonical_base	mapped
BT-474	bt474	ACH-000927	BT474	canonical_base	mapped
BT-549	bt549	ACH-000288	BT549	canonical_base	mapped
C32 [Human colon adenocarcinoma]	c32[humancolonadenocarcinoma]				unmapped
C75	c75	ACH-001458	C75	canonical_base	mapped
CAKI-1	caki1	ACH-000433	CAKI1	canonical_base	mapped
CAL-120	cal120	ACH-000212	CAL120	canonical_base	mapped
CAL-148	cal148	ACH-000902	CAL148	canonical_base	mapped
CAL-51	cal51	ACH-000856	CAL51	canonical_base	mapped
CAL120FGF	cal120fgf				unmapped
CAMA-1	cama1	ACH-000783	CAMA1	canonical_base	mapped
CAOV3	caov3	ACH-000713	CAOV3	canonical_base	mapped
CBRC002	cbrc002				unmapped
CBRC007	cbrc007				unmapped
CBRC008	cbrc008				unmapped
CBRC013	cbrc013				unmapped
CBRC014	cbrc014				unmapped
CBRC016	cbrc016				unmapped
CBRC017	cbrc017				unmapped
CBRC026	cbrc026				unmapped
CBRC029	cbrc029				unmapped
CBRC034	cbrc034				unmapped
CBRC042	cbrc042				unmapped
CBRC043	cbrc043				unmapped
CBRC050	cbrc050				unmapped
CBRC056	cbrc056				unmapped
CBRC058	cbrc058				unmapped
CC20 [Human colon adenocarcinoma]	cc20[humancolonadenocarcinoma]				unmapped
CCRF-CEM	ccrfcem	ACH-001738	CCRFCEM	canonical_base	mapped
COLO 205	colo205	ACH-001039	COLO205	canonical_base	mapped
COLO 741	colo741	ACH-000582	COLO741	canonical_base	mapped
COLO 792	colo792	ACH-000968	COLO792	canonical_base	mapped
COLO 800	colo800	ACH-000401	COLO800	canonical_base	mapped
COLO 829	colo829				ambiguous
COLO 858	colo858				unmapped
COLO320DM	colo320dm				unmapped
Calu-1	calu1	ACH-000511	CALU1	canonical_base	mapped
Calu-3	calu3	ACH-000392	CALU3	canonical_base	mapped
Calu-6	calu6	ACH-000264	CALU6	canonical_base	mapped
DD2	dd2				unmapped
DDLS8817	ddls8817				unmapped
DIPG25	dipg25				unmapped
DLD1	dld1	ACH-001061	DLD1	canonical_base	mapped
DMS 114	dms114	ACH-000530	DMS114	canonical_base	mapped
DMS114FGF	dms114fgf				unmapped
DU-145	du145	ACH-000979	DU145	canonical_base	mapped
DU4475	du4475	ACH-000258	DU4475	canonical_base	mapped
DuckCelt-T17	duckceltt17				unmapped
ED-40515	ed40515				unmapped
EFM192B	efm192b	ACH-002587	EFM192B	canonical_base	mapped
EKVX	ekvx	ACH-000706	EKVX	canonical_base	mapped
ES2	es2	ACH-000906	ES2	canonical_base	mapped
EW-8	ew8	ACH-000499	EW8	canonical_base	mapped
Evsa-T	evsat	ACH-001065	EVSAT	canonical_base	mapped
G-361	g361	ACH-000572	G361	canonical_base	mapped
HB3	hb3				unmapped
HCA7	hca7				unmapped
HCC-2998	hcc2998	ACH-001081	HCC2998	canonical_base	mapped
HCC1143	hcc1143				ambiguous
HCC1187	hcc1187				ambiguous
HCC1395	hcc1395				ambiguous
HCC1419	hcc1419	ACH-000277	HCC1419	canonical_base	mapped
HCC1428	hcc1428	ACH-000352	HCC1428	canonical_base	mapped
HCC1428-LTED	hcc1428lted				unmapped
HCC1500	hcc1500	ACH-000349	HCC1500	canonical_base	mapped
HCC1569	hcc1569	ACH-000930	HCC1569	canonical_base	mapped
HCC1806	hcc1806	ACH-000624	HCC1806	canonical_base	mapped
HCC1937	hcc1937				ambiguous
HCC1954	hcc1954				ambiguous
HCC38	hcc38				ambiguous
HCC70	hcc70	ACH-000668	HCC70	canonical_base	mapped
HCT-15	hct15	ACH-000997	HCT15	canonical_base	mapped
HCT116	hct116	ACH-000971	HCT116	canonical_base	mapped
HDLM-2	hdlm2	ACH-000267	HDLM2	canonical_base	mapped
HL-60(TB)	hl60(tb)				unmapped
HOP-62	hop62	ACH-000861	HOP62	canonical_base	mapped
HOP-92	hop92	ACH-000825	HOP92	canonical_base	mapped
HS 578T	hs578t	ACH-000148	HS578T	canonical_base	mapped
HT-1197	ht1197	ACH-000547	HT1197	canonical_base	mapped
HT-1376	ht1376	ACH-000724	HT1376	canonical_base	mapped
HT144	ht144				ambiguous
HT29	ht29	ACH-000552	HT29	canonical_base	mapped
Huh-7	huh7	ACH-000480	HUH7	canonical_base	mapped
Hx147	hx147				unmapped
IGROV1	igrov1	ACH-000966	IGROV1	canonical_base	mapped
IPC-298	ipc298	ACH-000915	IPC298	canonical_base	mapped
IST-MEL1	istmel1	ACH-002143	ISTMEL1	canonical_base	mapped
J82	j82				ambiguous
JHH-136	jhh136				unmapped
JHH-520	jhh520				unmapped
JMSU-1	jmsu1	ACH-000753	JMSU1	canonical_base	mapped
JMSU1FGF	jmsu1fgf				unmapped
K-562	k562	ACH-000551	K562	canonical_base	mapped
KATO III	katoiii	ACH-000793	KATOIII	canonical_base	mapped
KATOIIIFGF	katoiiifgf				unmapped
KATOIIIHIGH4547	katoiiihigh4547				unmapped
KB-3-1	kb31				unmapped
KB-ChR-8-5-11	kbchr8511				unmapped
KBM-7	kbm7				unmapped
KM12	km12	ACH-000969	KM12	canonical_base	mapped
