training_name	normalized_name	drugcomb_id	drugcomb_reference_name	mapping_status	match_type
(+)-Bicuculline	(+)-bicuculline	741.0	(+)-Bicuculline	mapped	exact
(+)-Blebbistatin	(+)-blebbistatin	3493.0	(+)-Blebbistatin	mapped	exact
(+)-PD 128907 hydrochloride	(+)-pd 128907 hydrochloride	1701.0	(+)-PD 128907 hydrochloride	mapped	exact
(+)-Usnic acid	(+)-usnic acid			ambiguous	ambiguous
(-)-Blebbistatin	(-)-blebbistatin	2056.0	(-)-Blebbistatin	mapped	exact
(-)-Epigallocatechin gallate	(-)-epigallocatechin gallate	2057.0	(-)-Epigallocatechin gallate	mapped	exact
(-)-Ethyl apovincaminate	(-)-ethyl apovincaminate	3503.0	(-)-Ethyl apovincaminate	mapped	exact
(-)-MK 801 Maleate	(-)-mk 801 maleate	1737.0	(-)-MK 801 Maleate	mapped	exact
(-)-Rapamycin	(-)-rapamycin	102.0	(-)-Rapamycin	mapped	exact
(-)-Threo-Mefloquine	(-)-threo-mefloquine	8337.0	(-)-Threo-Mefloquine	mapped	exact
(-)-chlorpheniramine	(-)-chlorpheniramine	3202.0	(-)-chlorpheniramine	mapped	exact
(-)-huperzine A	(-)-huperzine a	2055.0	(-)-huperzine A	mapped	exact
(2S)-N-[(2S,3R)-4-[(3S,4aS,8aR)-3-[(tert-butylamino)-oxomethyl]-3,4,4a,5,6,7,8,8a-octahydro-1H-isoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[[oxo(2-quinolinyl)methyl]amino]butanediamide	(2s)-n-[(2s,3r)-4-[(3s,4as,8ar)-3-[(tert-butylamino)-oxomethyl]-3,4,4a,5,6,7,8,8a-octahydro-1h-isoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[[oxo(2-quinolinyl)methyl]amino]butanediamide	8386.0	(2S)-N-[(2S,3R)-4-[(3S,4aS,8aR)-3-[(tert-butylamino)-oxomethyl]-3,4,4a,5,6,7,8,8a-octahydro-1H-isoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[[oxo(2-quinolinyl)methyl]amino]butanediamide	mapped	exact
(3S,4R)-Tofacitinib	(3s,4r)-tofacitinib	3157.0	(3S,4R)-Tofacitinib	mapped	exact
(4R,4aS,7aR)-3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-one	(4r,4as,7ar)-3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinoline-7-one	8365.0	(4R,4aS,7aR)-3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-one	mapped	exact
(E/Z)-ferulic acid	(e/z)-ferulic acid	3351.0	(E/Z)-ferulic acid	mapped	exact
(Phenylindolyl)maleimide deriv. 79	(phenylindolyl)maleimide deriv. 79	3125.0	(Phenylindolyl)maleimide deriv. 79	mapped	exact
(R)-(-)-Rolipram	(r)-(-)-rolipram	3244.0	(R)-(-)-Rolipram	mapped	exact
(R)-Bicalutamide	(r)-bicalutamide	3219.0	(R)-Bicalutamide	mapped	exact
(R)-Etodolac	(r)-etodolac	2374.0	(R)-Etodolac	mapped	exact
(S)-(+)-rolipram	(s)-(+)-rolipram	1070.0	(S)-(+)-rolipram	mapped	exact
.beta.,.beta.-Carotene	.beta.,.beta.-carotene	3210.0	.beta.,.beta.-Carotene	mapped	exact
001, RAD	001,rad	68.0	001, RAD	mapped	exact
1,25-dihydroxy vitamin D3	1,25-dihydroxy vitamin d3	3212.0	1,25-dihydroxy vitamin D3	mapped	exact
1-(1-Naphthylmethyl)piperazine	1-(1-naphthylmethyl)piperazine	2956.0	1-(1-Naphthylmethyl)piperazine	mapped	exact
1-DOCOSANOL	1-docosanol	2888.0	1-DOCOSANOL	mapped	exact
1-Hexadecanol	1-hexadecanol	484.0	1-Hexadecanol	mapped	exact
1-Methyl-D-tryptophan	1-methyl-d-tryptophan	2802.0	1-Methyl-D-tryptophan	mapped	exact
1-[(3S,9R,10R)-12-[(2S)-1-(dimethylamino)propan-2-yl]-9-[[(4-fluorophenyl)sulfonyl-methylamino]methyl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-phenylurea	1-[(3s,9r,10r)-12-[(2s)-1-(dimethylamino)propan-2-yl]-9-[[(4-fluorophenyl)sulfonyl-methylamino]methyl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-phenylurea	8333.0	1-[(3S,9R,10R)-12-[(2S)-1-(dimethylamino)propan-2-yl]-9-[[(4-fluorophenyl)sulfonyl-methylamino]methyl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-phenylurea	mapped	exact
1-beta-D-Xylofuranosyluracil	1-beta-d-xylofuranosyluracil	3446.0	1-beta-D-Xylofuranosyluracil	mapped	exact
10-Deacetylbaccatin III	10-deacetylbaccatin iii	4159.0	10-Deacetylbaccatin III	mapped	exact
10-Hydroxycamptothecin	10-hydroxycamptothecin	2497.0	10-Hydroxycamptothecin	mapped	exact
10-epi-Aclacinomycin A	10-epi-aclacinomycin a	2950.0	10-epi-Aclacinomycin A	mapped	exact
1001645-58-4	1001645-58-4	1871.0	1001645-58-4	mapped	exact
10030-85-0	10030-85-0	1766.0	10030-85-0	mapped	exact
10058-F4	10058-f4	1233.0	10058-F4	mapped	exact
10074-G5	10074-g5	2644.0	10074-G5	mapped	exact
1032350-13-2	1032350-13-2	1928.0	1032350-13-2	mapped	exact
10356-76-0	10356-76-0	2750.0	10356-76-0	mapped	exact
10402-53-6	10402-53-6	980.0	10402-53-6	mapped	exact
1047953-91-2	1047953-91-2	2976.0	1047953-91-2	mapped	exact
1062368-24-4	1062368-24-4	2078.0	1062368-24-4	mapped	exact
1072959-67-1	1072959-67-1	2467.0	1072959-67-1	mapped	exact
1080622-86-1	1080622-86-1	2101.0	1080622-86-1	mapped	exact
108341-18-0	108341-18-0	4071.0	108341-18-0	mapped	exact
108740-89-2	108740-89-2	2313.0	108740-89-2	mapped	exact
1093403-33-8	1093403-33-8	3846.0	1093403-33-8	mapped	exact
1095382-05-0	1095382-05-0	1863.0	1095382-05-0	mapped	exact
1096708-71-2	1096708-71-2	2464.0	1096708-71-2	mapped	exact
11-cis Retinoic Acid	11-cis retinoic acid	3195.0	11-cis Retinoic Acid	mapped	exact
110025-28-0	110025-28-0	3149.0	110025-28-0	mapped	exact
1101810-02-9	1101810-02-9	3743.0	1101810-02-9	mapped	exact
110448-33-4	110448-33-4	3739.0	110448-33-4	mapped	exact
