drugcomb_cell_line	normalized_name	ModelID	depmap_matched_name	depmap_name_source	mapping_status
3D7	3d7				unmapped
4T1	4t1				unmapped
4T1FGF	4t1fgf				unmapped
786-0	7860				unmapped
967 WT	967wt				unmapped
C32 [Human colon adenocarcinoma]	c32[humancolonadenocarcinoma]				unmapped
CAL120FGF	cal120fgf				unmapped
CBRC002	cbrc002				unmapped
CBRC007	cbrc007				unmapped
CBRC008	cbrc008				unmapped
CBRC013	cbrc013				unmapped
CBRC014	cbrc014				unmapped
CBRC016	cbrc016				unmapped
CBRC017	cbrc017				unmapped
CBRC026	cbrc026				unmapped
CBRC029	cbrc029				unmapped
CBRC034	cbrc034				unmapped
CBRC042	cbrc042				unmapped
CBRC043	cbrc043				unmapped
CBRC050	cbrc050				unmapped
CBRC056	cbrc056				unmapped
CBRC058	cbrc058				unmapped
CC20 [Human colon adenocarcinoma]	cc20[humancolonadenocarcinoma]				unmapped
COLO 858	colo858				unmapped
COLO320DM	colo320dm				unmapped
DD2	dd2				unmapped
DDLS8817	ddls8817				unmapped
DIPG25	dipg25				unmapped
DMS114FGF	dms114fgf				unmapped
DuckCelt-T17	duckceltt17				unmapped
ED-40515	ed40515				unmapped
HB3	hb3				unmapped
HCA7	hca7				unmapped
HCC1428-LTED	hcc1428lted				unmapped
HL-60(TB)	hl60(tb)				unmapped
Hx147	hx147				unmapped
JHH-136	jhh136				unmapped
JHH-520	jhh520				unmapped
JMSU1FGF	jmsu1fgf				unmapped
KATOIIIFGF	katoiiifgf				unmapped
KATOIIIHIGH4547	katoiiihigh4547				unmapped
KB-3-1	kb31				unmapped
KB-ChR-8-5-11	kbchr8511				unmapped
KBM-7	kbm7				unmapped
KMSIIFGF	kmsiifgf				unmapped
KMSIIHIGH4547	kmsiihigh4547				unmapped
KPL-4	kpl4				unmapped
LNCAP	lncap				unmapped
LNCaP-AI	lncapai				unmapped
MCF7F10016	mcf7f10016				unmapped
MCF7F10016FGF	mcf7f10016fgf				unmapped
MCF7F1003	mcf7f1003				unmapped
MCF7F1003FGF	mcf7f1003fgf				unmapped
MCF7NFGF	mcf7nfgf				unmapped
MCF7SHIODA	mcf7shioda				unmapped
MCF7T52	mcf7t52				unmapped
MDAMB134V1	mdamb134v1				unmapped
MDAMB134V1FGF	mdamb134v1fgf				unmapped
MGH-U3	mghu3				unmapped
MGHU3FGF	mghu3fgf				unmapped
MSTO	msto				unmapped
MZ-MEL-2	mzmel2				unmapped
MZ-MEL-7	mzmel7				unmapped
Mak	mak				unmapped
NCI-H548	ncih548				unmapped
NCIH1703FGF	ncih1703fgf				unmapped
NCIH520FGF	ncih520fgf				unmapped
OVCAR3	ovcar3				unmapped
PC346FLU1AM	pc346flu1am				unmapped
PC346Flu1	pc346flu1				unmapped
PTENLNCAP	ptenlncap				unmapped
PTENLNCAPAI	ptenlncapai				unmapped
PTENPC346FLU1	ptenpc346flu1				unmapped
PTENVCAP	ptenvcap				unmapped
RT112FGF	rt112fgf				unmapped
RT4FGF	rt4fgf				unmapped
SNU16FGF	snu16fgf				unmapped
SNU16HIGH4547	snu16high4547				unmapped
SU-DIPG-XIII	sudipgxiii				unmapped
SUM52PEFGF	sum52pefgf				unmapped
SUM52PEHIGH4547	sum52pehigh4547				unmapped
SW780FGF	sw780fgf				unmapped
TMD8	tmd8				unmapped
U251	u251				unmapped
U3005MG	u3005mg				unmapped
U3013MG	u3013mg				unmapped
U3024MG	u3024mg				unmapped
U3034MG	u3034mg				unmapped
U3068MG	u3068mg				unmapped
UWB1289+BRCA1	uwb1289+brca1				unmapped
VeroE6	veroe6				unmapped
WM1716	wm1716				unmapped
WM1745	wm1745				unmapped
WM3526	wm3526				unmapped
WM3619	wm3619				unmapped
WT2-iPS	wt2ips				unmapped
ZR75-LTED	zr75lted				unmapped
ZR751FGF	zr751fgf				unmapped
