feature_index	gene
0	PSME1
1	CISD1
2	SPDEF
3	ATF1
4	RHEB
5	IGF1R
6	FOXO3
7	GSTM2
8	RHOA
9	IL1B
10	ASAH1
11	RALA
12	ARHGEF12
13	SOX2
14	SERPINE1
15	HLA-DMA
16	EGF
17	SPTLC2
18	APP
19	TSKU
20	NOS3
21	CSNK1A1
22	NFATC4
23	TBP
24	SLC2A6
25	EZH2
26	ICAM3
27	BRCA1
28	PSMD4
29	PHKG2
30	ETV1
31	KDM5B
32	COG4
33	MCM3
34	TERT
35	SNX13
36	PAK4
37	DPH2
38	SNX6
39	EED
40	WIPF2
41	NENF
42	RPN1
43	C2CD2L
44	GABPB1
45	POLR2K
46	PTK2B
47	PAF1
48	POLR1C
49	RUVBL1
50	AKT1
51	SENP6
52	HSPB1
53	EBP
54	CASK
55	RRP8
56	PIK3C3
57	BHLHE40
58	BDH1
59	SH3BP5
60	PPP2R5A
61	EML3
62	BIRC5
63	EPRS1
64	PAX8
65	CBLB
66	PDS5A
67	DFFB
68	TGFB3
69	XBP1
70	NMT1
71	ARFIP2
72	STAMBP
73	PRKX
74	FAH
75	PLP2
76	SOX4
77	TESK1
78	RRAGA
79	ELOVL6
80	ACBD3
81	PMAIP1
82	TWF2
83	HDAC6
84	CCND1
85	PXN
86	PHKB
87	NFKBIB
88	CASC3
89	MLEC
90	GLI2
91	USP22
92	TMED10
93	CHERP
94	PIK3CA
95	TRAPPC6A
96	ATP2C1
97	USP14
98	APPBP2
99	RPS6
100	ECH1
101	HDAC2
102	DFFA
103	MRPL19
104	SUZ12
105	CSNK2A2
106	TICAM1
107	PAICS
108	CDK2
109	EDN1
110	SQSTM1
111	HIF1A
112	ETFB
113	CAMSAP2
114	ARNT2
115	SPAG7
116	MAPK1IP1L
117	MSH6
118	UBE2C
119	HS2ST1
120	TXLNA
121	DNAJB1
122	TOPBP1
123	ABCF1
124	LGMN
125	PTGS2
126	PLA2G4A
127	MAT2A
128	MBTPS1
129	ZNF274
130	CLIC4
131	EIF4G1
132	BTK
133	MYL9
134	PSMD2
135	CLTC
136	HSD17B10
137	STX1A
138	ALDOA
139	STAT5B
140	CCNA2
141	SDHB
