	mean	std	median	min	max	fraction_zero	fraction_positive	n_unique_values
PSME1	7.473104080628272	0.8613815343104482	7.5000134	3.608348	9.978925	0.0	1.0	1713
CISD1	5.112112469691682	0.7413738261587468	5.1408033	2.2054644	7.68451	0.0	1.0	1717
SPDEF	0.6401549044834206	1.4479530863678998	0.10449367	0.0	8.416587	0.11925538103548575	0.8807446189645143	1511
ATF1	4.589818825538103	0.5870647015177516	4.632844	2.3948104	7.010724	0.0	1.0	1714
RHEB	6.993975222280396	0.7494384983810444	7.034359	3.8762124	9.161631	0.0	1.0	1714
IGF1R	3.215595537154741	1.277665868126479	3.2614946	0.0	8.569107	0.0011634671320535194	0.9988365328679465	1718
FOXO3	3.5607391752995925	0.8893332171267692	3.5857918	0.02846731	6.807664	0.0	1.0	1718
GSTM2	2.9711514837062247	2.063889203642287	2.970261	0.0	8.562563	0.015125072716695753	0.9848749272833043	1692
RHOA	8.701071244618964	0.7096160319677011	8.770683	1.3572367	10.643766	0.0	1.0	1716
IL1B	1.8582745455381036	2.445426157876582	0.63254	0.0	12.255067	0.0924956369982548	0.9075043630017452	1561
ASAH1	6.444189019895289	1.1443875136076074	6.3305655	2.839611	12.022243	0.0	1.0	1715
RALA	5.304406846596858	0.6768306084561622	5.2859273	2.732521	8.133076	0.0	1.0	1719
ARHGEF12	4.5087126355223965	1.113453207204875	4.720109	0.0	7.597978	0.0011634671320535194	0.9988365328679465	1716
SOX2	1.2918298596428155	1.996928572385525	0.16424823	0.0	9.235574	0.1314717859220477	0.8685282140779523	1492
SERPINE1	3.901122192514253	3.458741279150267	2.8774362	0.0	12.952501	0.010471204188481676	0.9895287958115183	1702
HLA-DMA	3.127905141372891	1.947096208077951	2.7308137	0.0	10.05394	0.0005817335660267597	0.9994182664339732	1719
EGF	0.9708603380285049	1.1492503648122772	0.50013405	0.0	6.285424	0.08318789994182664	0.9168121000581734	1575
SPTLC2	4.06912762739965	0.8624406492373402	4.0490556	0.8721274	7.716408	0.0	1.0	1716
APP	7.849871359112856	2.170279455625985	8.401242	0.0	11.346015	0.0075625363583478765	0.9924374636416521	1707
TSKU	3.8967587513577664	1.5696880619469282	4.077969	0.0	10.373996	0.009889470622454915	0.9901105293775451	1699
NOS3	1.2934516830389762	1.5014139940635367	0.6267774	0.0	8.061782	0.04886561954624782	0.9511343804537522	1636
CSNK1A1	6.8905763568935425	0.6242684055034056	6.9409065	4.0316777	8.584192	0.0	1.0	1713
NFATC4	2.6099667783234444	1.998617816672456	2.513915	0.0	7.952549	0.02326934264107039	0.9767306573589296	1680
TBP	4.099179062536359	0.6006743640342956	4.13344	1.4003794	5.9953647	0.0	1.0	1714
SLC2A6	2.905643254912159	1.2777538483514532	3.025486	0.0	6.5363917	0.0017452006980802793	0.9982547993019197	1716
EZH2	4.920820812897033	1.1528648204152383	5.0764866	0.35769612	8.387082	0.0	1.0	1718
ICAM3	3.07621283910413	1.3542523871374685	2.858174	0.15436804	8.876677	0.0	1.0	1718
BRCA1	4.195110323525306	1.009872263747939	4.3238025	0.13883805	6.592067	0.0	1.0	1717
PSMD4	7.530746528795811	0.5431124346672677	7.5036507	4.126849	11.157416	0.0	1.0	1712
PHKG2	4.562182294938918	0.6196614980803005	4.568172	1.9674637	6.8020897	0.0	1.0	1718
ETV1	2.460818465572426	1.9165152215150796	2.3097787	0.0	8.926008	0.028504944735311226	0.9714950552646888	1671
KDM5B	4.532182887271087	1.2440498187646447	4.7237115	0.0	7.4920774	0.004653868528214078	0.995346131471786	1710
COG4	5.063972536300174	0.6344258212546582	5.09911	2.1982741	6.8845124	0.0	1.0	1716
MCM3	6.157381203723094	1.0022047170632993	6.2740827	0.636883	9.380039	0.0	1.0	1717
TERT	1.0450032446148925	1.1975429108009772	0.6288016	0.0	9.177123	0.07446189645142524	0.9255381035485748	1592
SNX13	3.9734608053635836	0.7605845066903275	3.998322	0.0	6.347848	0.0017452006980802793	0.9982547993019197	1711
PAK4	4.430316517469459	1.0022036596108812	4.4558663	0.83461493	9.362949	0.0	1.0	1717
DPH2	5.086501129726585	0.7280559292736211	5.133477	1.6803739	8.219038	0.0	1.0	1717
SNX6	5.967310908086097	0.8142744667919839	5.943429	1.9549035	9.828841	0.0	1.0	1715
EED	4.889812813845259	0.722985564808195	4.9383845	1.9998846	7.78608	0.0	1.0	1714
WIPF2	3.8226188743025014	0.674089070418584	3.864533	0.005201626	8.349653	0.0	1.0	1718
NENF	5.419808905119256	0.781257943206468	5.4534154	0.0	7.920609	0.0005817335660267597	0.9994182664339732	1717
RPN1	7.441660051541594	0.625494787196314	7.484557	4.0655723	10.030418	0.0	1.0	1714
C2CD2L	2.83394765150669	0.8013294259482803	2.8295207	0.4310356	6.2797055	0.0	1.0	1718
GABPB1	4.324499112274578	0.5801119423048169	4.331562	1.4626282	6.3325233	0.0	1.0	1710
POLR2K	7.326430847993019	0.6431679384766485	7.303023	4.1520863	9.769679	0.0	1.0	1714
PTK2B	3.048882873949971	1.7437573909744855	2.7097912	0.12511677	8.244806	0.0	1.0	1718
PAF1	5.254804964630599	0.7220190474268037	5.2783976	2.320248	10.105267	0.0	1.0	1718
POLR1C	5.508922676556137	0.5771292162294298	5.524045	2.1212673	8.229323	0.0	1.0	1717
RUVBL1	6.007127704770215	0.7233301253034332	6.0561934	1.6698023	8.278022	0.0	1.0	1715
AKT1	6.28764757329843	0.7337744554960427	6.3303485	2.1092904	8.629907	0.0	1.0	1715
SENP6	5.19543085910413	0.6172626172421823	5.2163076	2.1811757	7.2938027	0.0	1.0	1718
