feature_index	pathway
0	ADIPOGENESIS
1	ALLOGRAFT_REJECTION
2	ANDROGEN_RESPONSE
3	ANGIOGENESIS
4	APICAL_JUNCTION
5	APICAL_SURFACE
6	APOPTOSIS
7	BILE_ACID_METABOLISM
8	CHOLESTEROL_HOMEOSTASIS
9	COAGULATION
10	COMPLEMENT
11	DNA_REPAIR
12	E2F_TARGETS
13	EPITHELIAL_MESENCHYMAL_TRANSITION
14	ESTROGEN_RESPONSE_EARLY
15	ESTROGEN_RESPONSE_LATE
16	FATTY_ACID_METABOLISM
17	G2M_CHECKPOINT
18	GLYCOLYSIS
19	HEDGEHOG_SIGNALING
20	HEME_METABOLISM
21	HYPOXIA
22	IL2_STAT5_SIGNALING
23	IL6_JAK_STAT3_SIGNALING
24	INFLAMMATORY_RESPONSE
25	INTERFERON_ALPHA_RESPONSE
26	INTERFERON_GAMMA_RESPONSE
27	KRAS_SIGNALING_DN
28	KRAS_SIGNALING_UP
29	MITOTIC_SPINDLE
30	MTORC1_SIGNALING
31	MYC_TARGETS_V1
32	MYC_TARGETS_V2
33	MYOGENESIS
34	NOTCH_SIGNALING
35	OXIDATIVE_PHOSPHORYLATION
36	P53_PATHWAY
37	PANCREAS_BETA_CELLS
38	PEROXISOME
39	PI3K_AKT_MTOR_SIGNALING
40	PROTEIN_SECRETION
41	REACTIVE_OXYGEN_SPECIES_PATHWAY
42	SPERMATOGENESIS
43	TGF_BETA_SIGNALING
44	TNFA_SIGNALING_VIA_NFKB
45	UNFOLDED_PROTEIN_RESPONSE
46	UV_RESPONSE_DN
47	UV_RESPONSE_UP
48	WNT_BETA_CATENIN_SIGNALING
49	XENOBIOTIC_METABOLISM
