	mean	std	median	min	max	fraction_significant_padj_0.05
ADIPOGENESIS	4.666799190280227	0.7654873782087022	4.645421963184161	2.51301003599099	7.980053437549996	1.0
ALLOGRAFT_REJECTION	-5.9661018394721435	2.4383105064712733	-6.647818236757054	-10.059082296003309	4.783629896670919	0.8964514252472368
ANDROGEN_RESPONSE	2.8643476439263287	0.8240963298716641	2.88845148510043	-0.3467430422897501	8.998062301564477	0.8510762070971495
ANGIOGENESIS	-1.8860446935451938	1.4652203994165396	-2.0208811848605954	-5.44573694739578	2.8077512199899344	0.48923792902850494
APICAL_JUNCTION	-2.2183588580865936	1.4399542317970782	-2.1562429297326187	-6.35031750260373	1.7937601080973038	0.52065154159395
APICAL_SURFACE	-2.8076386314954442	0.6321447851833888	-2.768725446196466	-4.869927023567113	-0.6993180901718167	0.8801628853984875
APOPTOSIS	2.5762349954762906	1.393953918181537	2.7097056838089206	-1.4616873103698047	6.961334978552955	0.6521233275159977
BILE_ACID_METABOLISM	-4.1591416482929615	0.731392503635591	-4.177064793949142	-6.002988758886349	0.29304392619064745	0.9930191972076788
CHOLESTEROL_HOMEOSTASIS	3.476664181255606	1.0261045468002103	3.470582634367591	-0.027122556873750057	6.423392479004024	0.9150668993600931
COAGULATION	-4.90083587629602	1.982079759628193	-4.7716686265255035	-9.120501472412574	2.2900456175877832	0.9307737056428156
COMPLEMENT	-3.2351755580354835	1.3808843467447225	-3.1652773646605796	-7.1577184925851105	1.3728648357149114	0.7882489819662595
DNA_REPAIR	7.0153580586521045	0.967952928320273	6.96941320995314	3.8239829861416403	9.979530857520196	1.0
E2F_TARGETS	10.597059252839573	3.0058364348531765	10.858714454529709	-0.8628134592914727	17.94025964573805	0.9883653286794648
EPITHELIAL_MESENCHYMAL_TRANSITION	-1.5321721874643073	5.984188086948797	-2.5524094277827314	-11.266214405960591	18.554080040554087	0.7853403141361257
ESTROGEN_RESPONSE_EARLY	-2.7621003387014786	2.0956983601428076	-3.028915815015586	-7.240535792088717	8.260926547855329	0.6480511925538104
ESTROGEN_RESPONSE_LATE	-1.9968695840759367	2.1257362078556903	-2.6448433934559468	-6.173650287723277	7.123237489899677	0.5852239674229203
FATTY_ACID_METABOLISM	3.1256081484487743	0.8348315149564157	3.0540588936186643	0.815454924974849	6.399464192053163	0.908086096567772
G2M_CHECKPOINT	8.940149559337716	2.489773442619797	9.239290683132545	-1.565112243626166	14.946142168731031	0.9837114601512508
GLYCOLYSIS	3.3976624540147298	1.1731127946829698	3.554862290428902	-1.3373561541559964	6.710203931183991	0.8656195462478184
HEDGEHOG_SIGNALING	-2.190131044977953	0.918847720404245	-2.3097577323330833	-4.177873372868449	2.002368809228967	0.6044211751018034
HEME_METABOLISM	-0.5738463061961674	1.0227712194644087	-0.7273468040173724	-2.3091495579800285	14.548956401783062	0.016288539848749273
HYPOXIA	0.7416380264817181	1.9212555363610535	0.701359002209126	-3.769447995423485	7.7232630343415005	0.30599185573007565
IL2_STAT5_SIGNALING	-2.977590031237125	1.0527805934029055	-2.9383366716096626	-6.514894738936981	2.2339975506302148	0.8365328679464805
IL6_JAK_STAT3_SIGNALING	-3.4869491256933345	1.2249946789314174	-3.4611642917620395	-7.0882559769283535	1.1177584879909543	0.8865619546247818
INFLAMMATORY_RESPONSE	-7.672499965653276	1.805524041873859	-7.64170825248239	-12.725333768962917	-1.2734362303278237	0.9994182664339732
INTERFERON_ALPHA_RESPONSE	0.6259124697035522	2.649096105643717	0.3901425138844657	-5.570706288190403	9.82265815883416	0.39790575916230364
INTERFERON_GAMMA_RESPONSE	-1.8888665935768578	2.821593973292921	-2.065927061649287	-8.317612707175742	8.856683846819156	0.5904595695171612
KRAS_SIGNALING_DN	-13.406524061571965	1.1883585947048185	-13.451363677265237	-16.01933489086032	-8.67763884939913	1.0
KRAS_SIGNALING_UP	-7.307970262582565	1.2026522160604038	-7.328291979316894	-11.041602376780274	-0.8895733040171967	0.9994182664339732
MITOTIC_SPINDLE	4.4562662513863405	1.288791596124166	4.565075706556965	-1.0019231315864714	7.983433024294899	0.9557882489819662
MTORC1_SIGNALING	11.07239494134298	0.973279337782143	11.112040853004723	6.813887107242356	14.333345235394365	1.0
MYC_TARGETS_V1	20.64992535156366	2.117416855471381	20.683844655667812	13.691055492428715	26.578434386425943	1.0
MYC_TARGETS_V2	5.085731152531418	1.3635094157928656	5.139108109137164	0.8458662147148267	9.045555069433002	0.9813845258871436
MYOGENESIS	-5.65605395531916	1.7040995712993323	-5.792735274922583	-9.532255929769017	4.279028668407258	0.9674229203025014
NOTCH_SIGNALING	-0.47222504058189935	0.5956813227367445	-0.4346566004561986	-2.410372784810914	1.7015237689571259	0.0034904013961605585
OXIDATIVE_PHOSPHORYLATION	14.902779734042145	1.481883140598829	14.89610157296098	8.775188049738981	21.838558106179256	1.0
P53_PATHWAY	2.8506556261314433	1.5149215614534528	2.6961037582436607	-1.0621990857099397	10.65740419591045	0.6742292030250145
PANCREAS_BETA_CELLS	-4.509129645554538	0.911720664510713	-4.686393593858168	-6.123691234251603	0.46915673394694524	0.9633507853403142
PEROXISOME	1.369136518362637	0.6676954663390472	1.3385397686259501	-0.39019129110825573	4.852804631853791	0.15299592786503782
PI3K_AKT_MTOR_SIGNALING	3.251226251178561	0.6462962065350136	3.154846211613332	1.4344235841926067	5.674808355951518	0.987783595113438
PROTEIN_SECRETION	5.833769271919356	0.7350469898676262	5.933825152229278	2.2700657400012445	8.542218222951432	1.0
REACTIVE_OXYGEN_SPECIES_PATHWAY	4.565803426471931	0.6536671820047979	4.557005236168013	2.747649649175825	7.023548932372884	1.0
SPERMATOGENESIS	-6.618044169298588	1.1641418799809058	-6.743898457693188	-10.616727644025456	-2.5090140177665217	1.0
TGF_BETA_SIGNALING	2.0246085977115156	1.072142026557188	2.14355004663283	-0.9852756790165554	4.844383792295122	0.5235602094240838
TNFA_SIGNALING_VIA_NFKB	-1.1851613071265665	2.727857200612346	-1.0427475434247513	-7.875809935611167	9.203056744247665	0.4851657940663176
UNFOLDED_PROTEIN_RESPONSE	8.253536749351616	0.771831646031551	8.165657212478722	5.645876311672654	11.99896153247537	1.0
UV_RESPONSE_DN	-0.6734188217493181	2.2554248220892137	-0.9865537504445648	-5.334364039404495	6.216314758157486	0.4258289703315881
UV_RESPONSE_UP	2.4083315573003747	0.7526345306263881	2.432857751848198	-0.28467019261483445	4.60582142239201	0.6817917393833625
WNT_BETA_CATENIN_SIGNALING	-0.7995876300957734	0.65651131395633	-0.8427255765533691	-2.6324731622032953	2.486792345262986	0.016288539848749273
XENOBIOTIC_METABOLISM	-2.3587377492954302	1.1056997043076684	-2.4972180083561346	-4.7382708112032175	4.461258240934794	0.6631762652705061
