source	n_reference_genes	n_measured_genes	fraction_measured
REACTIVE_OXYGEN_SPECIES_PATHWAY	49	48	0.9795918367346939
HEME_METABOLISM	199	197	0.9899497487437185
ESTROGEN_RESPONSE_EARLY	200	198	0.99
ESTROGEN_RESPONSE_LATE	200	198	0.99
G2M_CHECKPOINT	200	198	0.99
INTERFERON_GAMMA_RESPONSE	200	198	0.99
PEROXISOME	104	103	0.9903846153846154
BILE_ACID_METABOLISM	112	111	0.9910714285714286
SPERMATOGENESIS	135	134	0.9925925925925926
UV_RESPONSE_DN	144	143	0.9930555555555556
UV_RESPONSE_UP	158	157	0.9936708860759493
APOPTOSIS	161	160	0.9937888198757764
MITOTIC_SPINDLE	199	198	0.9949748743718593
ALLOGRAFT_REJECTION	200	199	0.995
APICAL_JUNCTION	200	199	0.995
KRAS_SIGNALING_DN	200	199	0.995
MTORC1_SIGNALING	200	199	0.995
TNFA_SIGNALING_VIA_NFKB	200	199	0.995
NOTCH_SIGNALING	32	32	1.0
ANGIOGENESIS	36	36	1.0
HEDGEHOG_SIGNALING	36	36	1.0
PANCREAS_BETA_CELLS	40	40	1.0
WNT_BETA_CATENIN_SIGNALING	42	42	1.0
APICAL_SURFACE	44	44	1.0
TGF_BETA_SIGNALING	54	54	1.0
MYC_TARGETS_V2	58	58	1.0
CHOLESTEROL_HOMEOSTASIS	74	74	1.0
IL6_JAK_STAT3_SIGNALING	87	87	1.0
PROTEIN_SECRETION	96	96	1.0
INTERFERON_ALPHA_RESPONSE	97	97	1.0
ANDROGEN_RESPONSE	100	100	1.0
PI3K_AKT_MTOR_SIGNALING	105	105	1.0
UNFOLDED_PROTEIN_RESPONSE	113	113	1.0
COAGULATION	138	138	1.0
DNA_REPAIR	150	150	1.0
FATTY_ACID_METABOLISM	157	157	1.0
IL2_STAT5_SIGNALING	199	199	1.0
P53_PATHWAY	199	199	1.0
ADIPOGENESIS	200	200	1.0
COMPLEMENT	200	200	1.0
E2F_TARGETS	200	200	1.0
EPITHELIAL_MESENCHYMAL_TRANSITION	200	200	1.0
GLYCOLYSIS	200	200	1.0
HYPOXIA	200	200	1.0
INFLAMMATORY_RESPONSE	200	200	1.0
KRAS_SIGNALING_UP	200	200	1.0
MYC_TARGETS_V1	200	200	1.0
MYOGENESIS	200	200	1.0
OXIDATIVE_PHOSPHORYLATION	200	200	1.0
XENOBIOTIC_METABOLISM	200	200	1.0
