source	target	weight
IL2_STAT5_SIGNALING	MAFF	1.0
COAGULATION	MAFF	1.0
HYPOXIA	MAFF	1.0
TNFA_SIGNALING_VIA_NFKB	MAFF	1.0
COMPLEMENT	MAFF	1.0
HYPOXIA	IER3	1.0
P53_PATHWAY	IER3	1.0
TNFA_SIGNALING_VIA_NFKB	IER3	1.0
GLYCOLYSIS	IER3	1.0
APOPTOSIS	IER3	1.0
IL2_STAT5_SIGNALING	PHLDA1	1.0
TNFA_SIGNALING_VIA_NFKB	PHLDA1	1.0
TNFA_SIGNALING_VIA_NFKB	PTX3	1.0
EPITHELIAL_MESENCHYMAL_TRANSITION	PTX3	1.0
IL2_STAT5_SIGNALING	DENND5A	1.0
TNFA_SIGNALING_VIA_NFKB	DENND5A	1.0
TNFA_SIGNALING_VIA_NFKB	ABCA1	1.0
PROTEIN_SECRETION	ABCA1	1.0
ADIPOGENESIS	ABCA1	1.0
BILE_ACID_METABOLISM	ABCA1	1.0
INFLAMMATORY_RESPONSE	ABCA1	1.0
INFLAMMATORY_RESPONSE	GPR183	1.0
TNFA_SIGNALING_VIA_NFKB	GPR183	1.0
UNFOLDED_PROTEIN_RESPONSE	TUBB2A	1.0
TNFA_SIGNALING_VIA_NFKB	TUBB2A	1.0
IL2_STAT5_SIGNALING	BMP2	1.0
P53_PATHWAY	BMP2	1.0
TNFA_SIGNALING_VIA_NFKB	BMP2	1.0
TGF_BETA_SIGNALING	BMP2	1.0
KRAS_SIGNALING_UP	BMP2	1.0
UV_RESPONSE_UP	BMP2	1.0
APOPTOSIS	BMP2	1.0
TNFA_SIGNALING_VIA_NFKB	CFLAR	1.0
APOPTOSIS	CFLAR	1.0
ALLOGRAFT_REJECTION	RIPK2	1.0
INTERFERON_GAMMA_RESPONSE	RIPK2	1.0
INTERFERON_ALPHA_RESPONSE	RIPK2	1.0
TNFA_SIGNALING_VIA_NFKB	RIPK2	1.0
INFLAMMATORY_RESPONSE	RIPK2	1.0
KRAS_SIGNALING_UP	YRDC	1.0
TNFA_SIGNALING_VIA_NFKB	YRDC	1.0
INTERFERON_GAMMA_RESPONSE	IRF1	1.0
INTERFERON_ALPHA_RESPONSE	IRF1	1.0
TNFA_SIGNALING_VIA_NFKB	IRF1	1.0
IL6_JAK_STAT3_SIGNALING	IRF1	1.0
INFLAMMATORY_RESPONSE	IRF1	1.0
COMPLEMENT	IRF1	1.0
UV_RESPONSE_UP	IRF1	1.0
APOPTOSIS	IRF1	1.0
TNFA_SIGNALING_VIA_NFKB	FUT4	1.0
ALLOGRAFT_REJECTION	CCL2	1.0
INTERFERON_GAMMA_RESPONSE	CCL2	1.0
UNFOLDED_PROTEIN_RESPONSE	CCL2	1.0
TNFA_SIGNALING_VIA_NFKB	CCL2	1.0
INFLAMMATORY_RESPONSE	CCL2	1.0
IL2_STAT5_SIGNALING	MXD1	1.0
INFLAMMATORY_RESPONSE	MXD1	1.0
P53_PATHWAY	MXD1	1.0
TNFA_SIGNALING_VIA_NFKB	MXD1	1.0
XENOBIOTIC_METABOLISM	ID2	1.0
TNFA_SIGNALING_VIA_NFKB	ID2	1.0
EPITHELIAL_MESENCHYMAL_TRANSITION	ID2	1.0
TGF_BETA_SIGNALING	ID2	1.0
ESTROGEN_RESPONSE_LATE	ID2	1.0
KRAS_SIGNALING_UP	ID2	1.0
KRAS_SIGNALING_DN	NR4A2	1.0
TNFA_SIGNALING_VIA_NFKB	NR4A2	1.0
IL2_STAT5_SIGNALING	CD83	1.0
TNFA_SIGNALING_VIA_NFKB	CD83	1.0
ALLOGRAFT_REJECTION	IFNGR2	1.0
INFLAMMATORY_RESPONSE	IFNGR2	1.0
TNFA_SIGNALING_VIA_NFKB	IFNGR2	1.0
TGF_BETA_SIGNALING	IFNGR2	1.0
IL6_JAK_STAT3_SIGNALING	IFNGR2	1.0
IL2_STAT5_SIGNALING	MAP3K8	1.0
TNFA_SIGNALING_VIA_NFKB	MAP3K8	1.0
IL6_JAK_STAT3_SIGNALING	MAP3K8	1.0
MYC_TARGETS_V2	DUSP2	1.0
ESTROGEN_RESPONSE_LATE	DUSP2	1.0
TNFA_SIGNALING_VIA_NFKB	DUSP2	1.0
ALLOGRAFT_REJECTION	INHBA	1.0
TNFA_SIGNALING_VIA_NFKB	INHBA	1.0
EPITHELIAL_MESENCHYMAL_TRANSITION	INHBA	1.0
INFLAMMATORY_RESPONSE	INHBA	1.0
KRAS_SIGNALING_UP	INHBA	1.0
WNT_BETA_CATENIN_SIGNALING	JAG1	1.0
TNFA_SIGNALING_VIA_NFKB	JAG1	1.0
NOTCH_SIGNALING	JAG1	1.0
CHOLESTEROL_HOMEOSTASIS	JAG1	1.0
ANGIOGENESIS	JAG1	1.0
UNFOLDED_PROTEIN_RESPONSE	CEBPB	1.0
TNFA_SIGNALING_VIA_NFKB	CEBPB	1.0
COMPLEMENT	CEBPB	1.0
UNFOLDED_PROTEIN_RESPONSE	VEGFA	1.0
HEDGEHOG_SIGNALING	VEGFA	1.0
HYPOXIA	VEGFA	1.0
TNFA_SIGNALING_VIA_NFKB	VEGFA	1.0
EPITHELIAL_MESENCHYMAL_TRANSITION	VEGFA	1.0
ANGIOGENESIS	VEGFA	1.0
GLYCOLYSIS	VEGFA	1.0
MYOGENESIS	SPHK1	1.0
INFLAMMATORY_RESPONSE	SPHK1	1.0
P53_PATHWAY	SPHK1	1.0
TNFA_SIGNALING_VIA_NFKB	SPHK1	1.0
TNFA_SIGNALING_VIA_NFKB	CXCL3	1.0
IL6_JAK_STAT3_SIGNALING	CXCL3	1.0
TNFA_SIGNALING_VIA_NFKB	DUSP4	1.0
TNFA_SIGNALING_VIA_NFKB	CCNL1	1.0
ALLOGRAFT_REJECTION	ICAM1	1.0
APICAL_JUNCTION	ICAM1	1.0
INTERFERON_GAMMA_RESPONSE	ICAM1	1.0
TNFA_SIGNALING_VIA_NFKB	ICAM1	1.0
INFLAMMATORY_RESPONSE	ICAM1	1.0
UV_RESPONSE_UP	ICAM1	1.0
ALLOGRAFT_REJECTION	BCL3	1.0
G2M_CHECKPOINT	BCL3	1.0
TNFA_SIGNALING_VIA_NFKB	BCL3	1.0
INTERFERON_GAMMA_RESPONSE	TNFAIP3	1.0
HYPOXIA	TNFAIP3	1.0
TNFA_SIGNALING_VIA_NFKB	TNFAIP3	1.0
EPITHELIAL_MESENCHYMAL_TRANSITION	TNFAIP3	1.0
KRAS_SIGNALING_UP	TNFAIP3	1.0
COMPLEMENT	TNFAIP3	1.0
TNFA_SIGNALING_VIA_NFKB	KLF2	1.0
ANDROGEN_RESPONSE	PMEPA1	1.0
TNFA_SIGNALING_VIA_NFKB	PMEPA1	1.0
EPITHELIAL_MESENCHYMAL_TRANSITION	PMEPA1	1.0
TGF_BETA_SIGNALING	PMEPA1	1.0
COAGULATION	PLAU	1.0
KRAS_SIGNALING_UP	PLAU	1.0
TNFA_SIGNALING_VIA_NFKB	PLAU	1.0
INTERFERON_GAMMA_RESPONSE	NFKB1	1.0
UV_RESPONSE_DN	NFKB1	1.0
TNFA_SIGNALING_VIA_NFKB	NFKB1	1.0
INFLAMMATORY_RESPONSE	NFKB1	1.0
INTERFERON_GAMMA_RESPONSE	CXCL10	1.0
INTERFERON_ALPHA_RESPONSE	CXCL10	1.0
IL2_STAT5_SIGNALING	CXCL10	1.0
TNFA_SIGNALING_VIA_NFKB	CXCL10	1.0
IL6_JAK_STAT3_SIGNALING	CXCL10	1.0
INFLAMMATORY_RESPONSE	CXCL10	1.0
KRAS_SIGNALING_UP	CXCL10	1.0
TNFA_SIGNALING_VIA_NFKB	NFKB2	1.0
ANGIOGENESIS	CXCL6	1.0
INFLAMMATORY_RESPONSE	CXCL6	1.0
TNFA_SIGNALING_VIA_NFKB	CXCL6	1.0
EPITHELIAL_MESENCHYMAL_TRANSITION	CXCL6	1.0
ALLOGRAFT_REJECTION	TNF	1.0
APOPTOSIS	TNF	1.0
TNFA_SIGNALING_VIA_NFKB	TNF	1.0
IL6_JAK_STAT3_SIGNALING	TNF	1.0
INTERFERON_GAMMA_RESPONSE	NFKBIA	1.0
TNFA_SIGNALING_VIA_NFKB	NFKBIA	1.0
INFLAMMATORY_RESPONSE	NFKBIA	1.0
UV_RESPONSE_UP	NFKBIA	1.0
TNFA_SIGNALING_VIA_NFKB	LITAF	1.0
TNFA_SIGNALING_VIA_NFKB	EGR2	1.0
UV_RESPONSE_DN	PLPP3	1.0
TNFA_SIGNALING_VIA_NFKB	PLPP3	1.0
ALLOGRAFT_REJECTION	IL12B	1.0
KRAS_SIGNALING_DN	IL12B	1.0
TNFA_SIGNALING_VIA_NFKB	IL12B	1.0
INFLAMMATORY_RESPONSE	IL12B	1.0
INFLAMMATORY_RESPONSE	TNFSF9	1.0
P53_PATHWAY	TNFSF9	1.0
TNFA_SIGNALING_VIA_NFKB	TNFSF9	1.0
ALLOGRAFT_REJECTION	CCL4	1.0
TNFA_SIGNALING_VIA_NFKB	CCL4	1.0
TNFA_SIGNALING_VIA_NFKB	SPSB1	1.0
TNFA_SIGNALING_VIA_NFKB	TNIP1	1.0
TNFA_SIGNALING_VIA_NFKB	TNC	1.0
EPITHELIAL_MESENCHYMAL_TRANSITION	TNC	1.0
MYC_TARGETS_V1	MYC	1.0
WNT_BETA_CATENIN_SIGNALING	MYC	1.0
IL2_STAT5_SIGNALING	MYC	1.0
G2M_CHECKPOINT	MYC	1.0
