source	n_prior_targets	n_evaluated_nonself_targets	n_supported_targets	mean_abs_rho	median_abs_rho	max_abs_rho	fraction_supported
SP1	1294	1293	650	0.13104696210982186	0.10051329624585394	0.6046153755074171	0.502706883217324
MYC	880	879	485	0.1348959387704991	0.11523493222114214	0.5010473017467935	0.5517633674630261
TP53	967	966	422	0.10170407640436153	0.08859380577679274	0.3539176188848322	0.43685300207039335
JUN	656	655	396	0.1633334153347296	0.13348722184272668	0.6242514699612616	0.6045801526717557
RELA	556	555	305	0.13519756179011305	0.11063996406427777	0.5476882603528604	0.5495495495495496
HIF1A	459	458	292	0.18546777909421008	0.15350844330031332	0.558905708714071	0.6375545851528385
STAT3	432	431	248	0.13518924527840717	0.12154473923851884	0.44466324202923907	0.5754060324825986
CEBPB	446	445	241	0.13441780004962847	0.11032075982704585	0.4546406237776149	0.5415730337078651
CREB1	462	461	239	0.14151767539864624	0.10561414089828389	0.6521552931060499	0.5184381778741866
AR	506	505	230	0.113863711928103	0.09036060672177353	0.4197540902349354	0.45544554455445546
NFKB1	426	425	225	0.12580710589658145	0.10587359984108191	0.4831839187529861	0.5294117647058824
E2F1	314	313	212	0.2617782715711264	0.20299386093511074	0.7054801151939246	0.6773162939297125
CTNNB1	339	338	211	0.15607561317914054	0.14032045064478765	0.462092317553518	0.6242603550295858
PPARG	365	365	211	0.14842084058957628	0.1281340304824814	0.5056074292230915	0.5780821917808219
SPI1	338	337	203	0.15289067600309544	0.1360137043497276	0.5270280438243817	0.6023738872403561
ESR1	625	624	198	0.07751315161203805	0.06701422002004137	0.2665184881962963	0.3173076923076923
STAT1	302	301	194	0.18282759491964287	0.1492927917259003	0.6051726805775142	0.6445182724252492
EGR1	356	355	189	0.11690394695845688	0.10799219494897956	0.6952690069280268	0.532394366197183
FOS	341	340	174	0.1198915555812105	0.10279448708623269	0.8426841743193065	0.5117647058823529
TFAP2A	314	313	164	0.13046491382300743	0.10603213465791478	0.5026634719968213	0.5239616613418531
HNF4A	275	274	156	0.15264634413566844	0.11728172842919365	0.5795315950764681	0.5693430656934306
NR3C1	291	290	153	0.13598024199780165	0.10716541596646449	0.48777938466698095	0.5275862068965518
SP3	436	435	138	0.10106291619725787	0.06431722700530196	0.5716358564931271	0.31724137931034485
NFE2L2	198	197	135	0.16626203747907126	0.15152861648073926	0.49494542298672345	0.6852791878172588
MYB	180	179	130	0.21403925186916362	0.20078020739074648	0.5645017910733634	0.7262569832402235
E2F4	168	168	128	0.23907285772287204	0.2347695733915113	0.5589660540326282	0.7619047619047619
ETS1	213	212	127	0.13304968895868877	0.1292924165801349	0.46049398937031355	0.5990566037735849
AHR	188	187	123	0.1843137417892624	0.14880644327332418	0.5342003771740251	0.6577540106951871
YY1	265	264	119	0.11492658541649545	0.08871401777818057	0.5725843223397035	0.45075757575757575
SMAD3	188	188	118	0.19142778079989328	0.14551030099107193	0.5879330303670763	0.6276595744680851
USF1	224	223	113	0.13099738443338985	0.1002070469172134	0.45755977867122993	0.5067264573991032
IRF1	166	165	112	0.20956407774555344	0.16674419882339694	0.7167985853819532	0.6787878787878788
