source	n_targets	mean_abs_prior_weight
SP1	1294	1.0
TP53	967	1.0
MYC	880	1.0
NFKB	792	1.0
JUN	656	1.0
ESR1	625	1.0
AP1	587	1.0
RELA	556	1.0
AR	506	1.0
CREB1	462	1.0
HIF1A	459	1.0
CEBPB	446	1.0
SP3	436	1.0
STAT3	432	1.0
NFKB1	426	1.0
PPARG	365	1.0
EGR1	356	1.0
FOS	341	1.0
CTNNB1	339	1.0
SPI1	338	1.0
TFAP2A	314	1.0
E2F1	314	1.0
STAT1	302	1.0
NR3C1	291	1.0
FOXO1	279	1.0
HNF4A	275	1.0
PPARA	267	1.0
YY1	265	1.0
CEBPA	233	1.0
NR1I2	228	1.0
USF1	224	1.0
ETS1	213	1.0
STAT5A	211	1.0
ESR2	208	1.0
CEBPG	203	1.0
TP63	203	1.0
NFE2L2	198	1.0
RUNX1	195	1.0
FOXO3	195	1.0
GATA3	190	1.0
SMAD3	188	1.0
AHR	188	1.0
RARA	186	1.0
DNMT1	185	1.0
MYB	180	1.0
GLI1	179	1.0
E2F4	168	1.0
PAX6	166	1.0
IRF1	166	1.0
TBP	163	1.0
EZH2	157	1.0
WT1	156	1.0
RBPJ	155	1.0
VDR	151	1.0
GLI2	148	1.0
SSRP1	147	1.0
HNF1A	145	1.0
CTCF	144	1.0
MYOD1	142	1.0
GATA1	142	1.0
PITX2	141	1.0
SMAD4	141	1.0
MYCN	139	1.0
GATA4	137	1.0
NR1H3	136	1.0
FOXA2	135	1.0
NR1H4	134	1.0
PGR	133	1.0
SREBF1	130	1.0
KLF4	129	1.0
RUNX2	129	1.0
TCF3	127	1.0
ATF4	127	1.0
TP73	126	1.0
STAT6	125	1.0
POU2F1	123	1.0
NFATC1	120	1.0
LEF1	120	1.0
ATF2	119	1.0
NR0B2	118	1.0
MEF2A	117	1.0
TCF7L2	117	1.0
PAX3	116	1.0
USF2	115	1.0
REL	112	1.0
RXRA	111	1.0
MITF	111	1.0
ATF3	110	1.0
CUX1	110	1.0
NR4A1	109	1.0
JUNB	109	1.0
ETS2	109	1.0
JUND	108	1.0
SMAD2	107	1.0
NR5A1	107	1.0
SRF	105	1.0
SOX9	105	1.0
STAT5B	104	1.0
GATA2	100	1.0
DDIT3	100	1.0
SNAI1	99	1.0
PPARD	99	1.0
BCL6	99	1.0
HSF1	99	1.0
FOXM1	96	1.0
CEBPD	96	1.0
TAL1	96	1.0
FLI1	95	1.0
NFYA	94	1.0
NFATC2	93	1.0
YBX1	92	1.0
HR	92	1.0
EPAS1	92	1.0
HES1	92	1.0
POU5F1	91	1.0
NRF1	91	1.0
MEF2C	90	1.0
NCOR1	90	1.0
NCOA1	90	1.0
MBD2	89	1.0
RORA	89	1.0
SOX2	89	1.0
CREM	88	1.0
PDX1	85	1.0
ATF1	85	1.0
GATA6	85	1.0
IRF3	83	1.0
HDAC1	83	1.0
THRA	83	1.0
KAT7	83	1.0
NFIC	82	1.0
ELF1	79	1.0
NR2F2	79	1.0
TWIST1	78	1.0
ID1	77	1.0
NFKB2	77	1.0
KLF5	76	1.0
CDX2	75	1.0
NCOA3	75	1.0
TFCP2	75	1.0
NKX2-5	74	1.0
EP300	74	1.0
SMAD1	74	1.0
REST	74	1.0
HMGA1	73	1.0
EGR2	73	1.0
NEUROD1	72	1.0
NKX3-1	72	1.0
SREBF2	71	1.0
ASCL1	70	1.0
DNMT3B	70	1.0
KMT2A	70	1.0
NCOR2	69	1.0
FOXA1	69	1.0
RUNX3	69	1.0
IRF8	69	1.0
E2F3	68	1.0
ARNT	67	1.0
NOTCH1	67	1.0
CLOCK	67	1.0
SMAD7	67	1.0
KLF2	67	1.0
ETV4	67	1.0
PRDM1	67	1.0
PAX5	66	1.0
ID2	66	1.0
MYOG	65	1.0
NR5A2	65	1.0
MAF	65	1.0
HNF1B	64	1.0
NCOA2	64	1.0
ZEB1	63	1.0
PBX1	62	1.0
SIRT1	62	1.0
NKX2-1	62	1.0
IRF2	61	1.0
ELK1	61	1.0
NR4A2	61	1.0
DNMT3A	61	1.0
BRCA1	61	1.0
TTF1	61	1.0
NR2C2	60	1.0
NR1I3	60	1.0
KLF6	60	1.0
NANOG	59	1.0
IRF4	59	1.0
EWSR1	59	1.0
NR0B1	59	1.0
BMAL1	59	1.0
ERG	59	1.0
RELB	58	1.0
NR2F1	58	1.0
THRB	58	1.0
KAT5	58	1.0
ATF6	58	1.0
TCF4	58	1.0
FOXN1	57	1.0
POU1F1	56	1.0
NR3C2	56	1.0
GFI1	55	1.0
ZNF699	55	1.0
NFIA	55	1.0
XBP1	55	1.0
SMARCA1	54	1.0
TBX21	54	1.0
FOXP3	54	1.0
RARB	53	1.0
MTA1	53	1.0
TCF12	52	1.0
IKZF1	52	1.0
NFAT5	52	1.0
FOSL1	51	1.0
ZBTB16	51	1.0
MYBL2	51	1.0
E2F2	50	1.0
ELF4	50	1.0
HOXA10	50	1.0
NR1H2	50	1.0
SP4	49	1.0
STAT2	49	1.0
SNAI2	49	1.0
ZNF91	49	1.0
ESRRA	49	1.0
HBP1	48	1.0
MAZ	48	1.0
POU2F2	48	1.0
MAX	48	1.0
MAFB	47	1.0
MSX2	47	1.0
SP7	46	1.0
SOX17	46	1.0
SATB1	45	1.0
CDX1	44	1.0
GLI3	44	1.0
ZBTB17	44	1.0
OTX2	43	1.0
NFATC4	43	1.0
BHLHE40	43	1.0
HMGA2	43	1.0
ISL1	42	1.0
DLX4	42	1.0
LHX2	42	1.0
FOSL2	42	1.0
TAF1	42	1.0
SRY	42	1.0
APEX1	42	1.0
NR4A3	41	1.0
HAND2	41	1.0
E2F6	41	1.0
NFATC3	40	1.0
PITX1	40	1.0
TBPL1	40	1.0
NFYB	40	1.0
HOXA9	40	1.0
RARG	40	1.0
FOSB	39	1.0
GABPA	39	1.0
DLX5	38	1.0
TFE3	37	1.0
NFIL3	37	1.0
ZBTB7A	37	1.0
IRF5	37	1.0
SOX10	37	1.0
TFAP4	37	1.0
CREBBP	36	1.0
ONECUT1	36	1.0
KDM5B	36	1.0
NRG1	36	1.0
ID3	36	1.0
CEBPE	36	1.0
NEUROG3	36	1.0
TWIST2	35	1.0
DBP	35	1.0
SMAD5	35	1.0
HEY1	34	1.0
IRF7	34	1.0
PAX8	34	1.0
POU4F2	34	1.0
RB1	34	1.0
TFAP2C	34	1.0
EBF1	34	1.0
PROX1	34	1.0
JDP2	33	1.0
MECP2	33	1.0
PPARGC1A	33	1.0
MTF1	33	1.0
TBX2	33	1.0
FOXP1	33	1.0
POU4F1	32	1.0
STAT4	32	1.0
SATB2	32	1.0
ELF3	32	1.0
EGR3	32	1.0
ATF5	31	1.0
HESX1	31	1.0
CRX	31	1.0
TFDP1	31	1.0
FOXO4	30	1.0
CIITA	30	1.0
LMO2	30	1.0
POU3F2	30	1.0
KLF10	30	1.0
VSX2	30	1.0
ZNF148	30	1.0
MSC	30	1.0
NR1D1	29	1.0
BCL3	29	1.0
HHEX	29	1.0
SFPQ	29	1.0
MEF2D	29	1.0
ZNF143	29	1.0
KLF1	29	1.0
GRHL3	29	1.0
TBX15	29	1.0
BHLHE41	29	1.0
ZEB2	29	1.0
KLF11	28	1.0
ZNF354C	28	1.0
ELK3	28	1.0
IRF9	28	1.0
MYF5	28	1.0
MXD1	28	1.0
KLF15	28	1.0
GATA5	28	1.0
ARX	28	1.0
NFIX	28	1.0
MSX1	27	1.0
HDAC3	27	1.0
ETV6	27	1.0
NKX2-2	27	1.0
YBX3	27	1.0
HOXA1	27	1.0
GTF3A	27	1.0
NFIB	26	1.0
EOMES	26	1.0
ESRRG	26	1.0
ZGLP1	26	1.0
TBX5	26	1.0
KLF9	26	1.0
NEUROG2	26	1.0
SMAD6	25	1.0
ZNF384	25	1.0
HSF2	25	1.0
