TF	in_fixed_ULM	in_contextualized_ULM
ABL1	True	True
AEBP1	True	False
AHR	True	True
AHRR	True	False
AIP	True	False
AIRE	True	True
AP1	True	False
APEX1	True	True
AR	True	True
ARID1A	True	False
ARID1B	True	False
ARID3A	True	True
ARID3B	True	True
ARID4A	True	False
ARID4B	True	False
ARID5B	True	False
ARNT	True	True
ARX	True	True
ASCL1	True	True
ASCL2	True	True
ASXL1	True	False
ATF1	True	True
ATF2	True	True
ATF3	True	True
ATF4	True	True
ATF5	True	True
ATF6	True	True
ATF7	True	False
ATOH1	True	True
ATOH7	True	True
ATRX	True	False
BACH1	True	True
BACH2	True	False
BARX1	True	False
BARX2	True	True
BATF	True	True
BCL11A	True	True
BCL11B	True	False
BCL3	True	True
BCL6	True	True
BCLAF1	True	False
BCOR	True	False
BHLHA15	True	True
BHLHE40	True	True
BHLHE41	True	True
BMAL1	True	True
BMAL2	True	True
BRCA1	True	True
BRD4	True	True
BTG2	True	False
CDX1	True	True
CDX2	True	True
CEBPA	True	True
CEBPB	True	True
CEBPD	True	True
CEBPE	True	True
CEBPG	True	True
CEBPZ	True	True
CHD4	True	True
CIITA	True	True
CLOCK	True	True
CREB1	True	True
CREB3	True	True
CREB3L1	True	True
CREB3L3	True	False
CREB5	True	True
CREBBP	True	True
CREBZF	True	True
CREM	True	True
CRX	True	True
CTBP1	True	True
CTBP2	True	True
CTCF	True	True
CTCFL	True	False
CTNNB1	True	True
CUX1	True	True
CXXC1	True	True
DACH1	True	True
DAXX	True	False
DBP	True	True
DDIT3	True	True
DEAF1	True	True
DLX1	True	True
DLX2	True	True
DLX3	True	True
DLX4	True	True
DLX5	True	True
DMAP1	True	False
DMRT1	True	False
DMTF1	True	True
DNMT1	True	True
DNMT3A	True	True
DNMT3B	True	True
DOT1L	True	False
E2F1	True	True
E2F2	True	True
E2F3	True	True
E2F4	True	True
E2F5	True	True
E2F6	True	True
E2F7	True	True
E4F1	True	False
EBF1	True	True
EBF3	True	True
EGR1	True	True
EGR2	True	True
EGR3	True	True
EGR4	True	True
EHF	True	True
ELF1	True	True
ELF2	True	False
ELF3	True	True
ELF4	True	True
ELF5	True	True
ELK1	True	True
ELK3	True	True
ELK4	True	True
EMX2	True	False
EN1	True	True
ENO1	True	True
EOMES	True	True
EP300	True	True
EPAS1	True	True
ERF	True	True
ERG	True	True
ESR1	True	True
ESR2	True	True
ESRRA	True	True
ESRRB	True	False
ESRRG	True	True
ETS1	True	True
ETS2	True	True
ETV1	True	True
ETV2	True	False
ETV3	True	True
ETV4	True	True
ETV5	True	True
ETV6	True	True
ETV7	True	True
EWSR1	True	True
EZH2	True	True
FEV	True	False
FEZF1	True	True
FEZF2	True	False
FGF2	True	True
FHL2	True	True
FIGLA	True	False
FLI1	True	True
FOS	True	True
FOSB	True	True
FOSL1	True	True
FOSL2	True	True
FOXA1	True	True
FOXA2	True	True
FOXA3	True	True
FOXC1	True	True
FOXC2	True	True
FOXD1	True	True
FOXD3	True	True
FOXE1	True	False
FOXF1	True	True
FOXF2	True	True
FOXG1	True	True
FOXH1	True	True
FOXI1	True	False
FOXJ1	True	True
FOXL2	True	True
FOXM1	True	True
FOXN1	True	True
FOXN4	True	True
FOXO1	True	True
FOXO3	True	True
FOXO4	True	True
FOXO6	True	False
FOXP1	True	True
FOXP2	True	False
FOXP3	True	True
FOXQ1	True	True
GABPA	True	True
GATA1	True	True
GATA2	True	True
GATA3	True	True
GATA4	True	True
GATA5	True	True
GATA6	True	True
GBX2	True	False
GCM1	True	False
GFI1	True	True
GFI1B	True	True
GLI1	True	True
GLI2	True	True
GLI3	True	True
GLIS3	True	False
GRHL2	True	True
GRHL3	True	True
GSC	True	True
GTF2I	True	True
GTF2IRD1	True	False
GTF3A	True	True
HAND1	True	True
HAND2	True	True
HBP1	True	True
HCFC1	True	True
HDAC1	True	True
HDAC3	True	True
HDAC4	True	True
HDAC5	True	True
HDAC7	True	True
HDAC9	True	True
HDGF	True	True
HES1	True	True
HES5	True	True
HES6	True	True
HESX1	True	True
HEY1	True	True
HEY2	True	True
HEYL	True	False
HHEX	True	True
HIC1	True	True
HIF1A	True	True
HIF3A	True	False
HINFP	True	True
HIPK2	True	True
HIVEP1	True	False
HIVEP2	True	True
HIVEP3	True	False
