drug_id	dname	smiles_cleanup_status	n_active_bits	fraction_active_bits	n_atoms	n_heavy_atoms	n_fragments	molecular_weight_rdkit	formal_charge
1	5-Fluorouracil	original	19	0.00927734375	9.0	9.0	1.0	130.07799999999997	0.0
2	Veliparib	original	42	0.0205078125	18.0	18.0	1.0	244.29800000000003	0.0
3	MK-1775	original	67	0.03271484375	37.0	37.0	1.0	500.6070000000003	0.0
4	915019-65-7	original	57	0.02783203125	36.0	36.0	1.0	469.54800000000023	0.0
5	Bortezomib	original	50	0.0244140625	28.0	28.0	1.0	384.2450000000001	0.0
6	Carboplatinum	original	16	0.0078125	13.0	13.0	4.0	373.26599999999996	0.0
7	cyclophosphamide	original	27	0.01318359375	14.0	14.0	1.0	261.08899999999994	0.0
8	Dasatinib	original	65	0.03173828125	33.0	33.0	1.0	488.01700000000034	0.0
9	dexamethasone	original	54	0.0263671875	28.0	28.0	1.0	392.4670000000001	0.0
10	Dinaciclib	original	66	0.0322265625	29.0	29.0	1.0	396.4950000000003	0.0
11	doxorubicin	original	71	0.03466796875	39.0	39.0	1.0	543.5250000000003	0.0
12	Erlotinib	original	47	0.02294921875	29.0	29.0	1.0	393.4430000000002	0.0
13	etoposide	original	66	0.0322265625	42.0	42.0	1.0	588.5620000000005	0.0
14	gemcitabine	original	40	0.01953125	18.0	18.0	1.0	263.2	0.0
15	Lapatinib	original	73	0.03564453125	40.0	40.0	1.0	581.0690000000003	0.0
16	MK-2206	original	53	0.02587890625	31.0	31.0	1.0	407.4770000000001	0.0
17	MK-4541	original	58	0.0283203125	30.0	30.0	1.0	428.4950000000002	0.0
18	Niraparib	original	48	0.0234375	24.0	24.0	1.0	320.3960000000001	0.0
19	MK-5108	original	63	0.03076171875	31.0	31.0	1.0	461.9460000000001	0.0
20	Deforolimus	original	106	0.0517578125	69.0	69.0	1.0	990.2220000000001	0.0
21	891494-63-6	original	50	0.0244140625	23.0	23.0	1.0	376.26200000000017	0.0
22	MRK003	original	58	0.0283203125	37.0	37.0	1.0	551.5970000000004	0.0
23	metformin	original	17	0.00830078125	9.0	9.0	1.0	129.167	0.0
24	methotrexate	original	58	0.0283203125	33.0	33.0	1.0	454.44700000000023	0.0
25	mitomycin C	original	50	0.0244140625	24.0	24.0	1.0	334.33200000000005	0.0
26	391210-10-9	original	49	0.02392578125	26.0	26.0	1.0	482.1960000000002	0.0
27	paclitaxel	original	86	0.0419921875	62.0	62.0	1.0	853.9180000000003	0.0
28	7-Ethyl-10-hydroxycamptothecin	original	58	0.0283203125	29.0	29.0	1.0	392.4110000000002	0.0
29	Sorafenib	original	51	0.02490234375	32.0	32.0	1.0	464.83100000000013	0.0
30	Sunitinib	original	57	0.02783203125	29.0	29.0	1.0	398.48200000000014	0.0
31	temozolomide	original	32	0.015625	14.0	14.0	1.0	194.15399999999997	0.0
32	topotecan	original	63	0.03076171875	31.0	31.0	1.0	421.45300000000015	0.0
33	vinblastine	original	96	0.046875	59.0	59.0	1.0	810.9890000000001	0.0
34	vinorelbine	original	97	0.04736328125	57.0	57.0	1.0	778.9470000000002	0.0
35	Vorinostat	original	27	0.01318359375	19.0	19.0	1.0	264.3249999999999	0.0
36	geldanamycin	original	69	0.03369140625	40.0	40.0	1.0	560.6440000000005	0.0
37	Fludarabine	original	42	0.0205078125	20.0	20.0	1.0	285.23499999999996	0.0
38	Abiraterone	original	47	0.02294921875	26.0	26.0	1.0	349.51800000000003	0.0
39	allopurinol	selected_first_valid_semicolon_candidate	23	0.01123046875	10.0	10.0	1.0	136.114	0.0
40	altretamine	original	11	0.00537109375	15.0	15.0	1.0	210.285	0.0
41	amifostine	original	25	0.01220703125	12.0	12.0	1.0	214.22699999999998	0.0
42	5-Aminolevulinic acid hydrochloride	original	17	0.00830078125	10.0	10.0	2.0	167.59199999999998	0.0
