id	dname	chembl_id	inchikey	smiles	cleaned_smiles	alternative_smiles	smiles_cleanup_status	canonical_smiles
1	5-Fluorouracil	CHEMBL185	GHASVSINZRGABV-UHFFFAOYSA-N	C1=C(C(=O)NC(=O)N1)F	C1=C(C(=O)NC(=O)N1)F		original	O=c1[nH]cc(F)c(=O)[nH]1
2	Veliparib	CHEMBL506871	JNAHVYVRKWKWKQ-CYBMUJFWSA-N	CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N	CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N		original	CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
3	MK-1775	CHEMBL1976040	BKWJAKQVGHWELA-UHFFFAOYSA-N	CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O	CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O		original	C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
4	915019-65-7	CHEMBL1879463	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5	CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5		original	Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5	Bortezomib	CHEMBL325041	GXJABQQUPOEUTA-RDJZCZTQSA-N	B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O	B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O		original	CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
6	Carboplatinum	CHEMBL1351	DVQHYTBCTGYNNN-UHFFFAOYSA-N	C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt]	C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt]		original	N.N.O=C(O)C1(C(=O)O)CCC1.[Pt]
7	cyclophosphamide	CHEMBL88	CMSMOCZEIVJLDB-UHFFFAOYSA-N	C1CNP(=O)(OC1)N(CCCl)CCCl	C1CNP(=O)(OC1)N(CCCl)CCCl		original	O=P1(N(CCCl)CCCl)NCCCO1
8	Dasatinib	CHEMBL1421	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C	CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C		original	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
9	dexamethasone	CHEMBL384467	UREBDLICKHMUKA-CXSFZGCWSA-N	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C		original	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
10	Dinaciclib	CHEMBL2103840	PIMQWRZWLQKKBJ-SFHVURJKSA-N	CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCCC4CCO	CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCCC4CCO		original	CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
11	doxorubicin	CHEMBL53463	AOJJSUZBOXZQNB-TZSSRYMLSA-N	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O		original	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1
12	Erlotinib	CHEMBL553	AAKJLRGGTJKAMG-UHFFFAOYSA-N	COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC	COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC		original	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
13	etoposide	CHEMBL44657	VJJPUSNTGOMMGY-MRVIYFEKSA-N	CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O	CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O		original	COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
14	gemcitabine	CHEMBL888	SDUQYLNIPVEERB-QPPQHZFASA-N	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F		original	Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1
