dname	id	chembl_id	inchikey	smiles	cid	molecular_formula	clinical_phase	cid_m	cid_s	stitch_name	drugbank_id	kegg_id	synonyms	target_name	target_type	valid_smiles	cleaned_smiles	alternative_smiles	smiles_cleanup_status	canonical_smiles	n_fragments	n_atoms	n_heavy_atoms	molecular_weight_rdkit	formal_charge
CHEMBL4303713	382	CHEMBL4303713				C34H68N2O4Pt							CHEMBL4303713			False			missing						
CHEMBL4303699	2286	CHEMBL4303699											CHEMBL4303699			False			missing						
CHEMBL4303681	2370	CHEMBL4303681											CHEMBL4303681			False			missing						
CHEMBL4303664	2443	CHEMBL4303664				C34H34FeN4O4+3							CHEMBL4303664			False			missing						
CHEMBL4303597	2446	CHEMBL4303597											CHEMBL4303597			False			missing						
CHEMBL4303702	2617	CHEMBL4303702				C20H36AuO9PS							CHEMBL4303702			False			missing						
CHEMBL4303587	2639	CHEMBL4303587											CHEMBL4303587			False			missing						
CHEMBL4303579	2641	CHEMBL4303579											CHEMBL4303579			False			missing						
CHEMBL4303560	2648	CHEMBL4303560											CHEMBL4303560			False			missing						
CHEMBL4303551	2650	CHEMBL4303551											CHEMBL4303551			False			missing						
CHEMBL4303465	2655	CHEMBL4303465				C27H18GaN3O3							CHEMBL4303465			False			missing						
CHEMBL4303407	2662	CHEMBL4303407				C10H10Ti+2							CHEMBL4303407			False			missing						
CHEMBL4303406	2670	CHEMBL4303406				C8H6O12Sb2							CHEMBL4303406			False			missing						
CHEMBL4303263	2675	CHEMBL4303263											CHEMBL4303263			False			missing						
CHEMBL4303172	2677	CHEMBL4303172											CHEMBL4303172			False			missing						
CHEMBL4303161	2679	CHEMBL4303161											CHEMBL4303161			False			missing						
CHEMBL4297410	2680	CHEMBL4297410				C14H12Cl4N4NaRu	1.0						CHEMBL4297410; NKP-1339; IT-139; KP-1339			False			missing						
Satraplatin	2684	CHEMBL3833367				C10H22Cl2N2O4Pt	3.0						Satraplatin; CHEMBL3833367; BMY-45594; JM-216; BMS-182751			False			missing						
CHEMBL3545175	2692	CHEMBL3545175					1.0						CHEMBL3545175; PF-3882845; PF-03882845			False			missing						
CHEMBL3544939	2693	CHEMBL3544939					1.0						CHEMBL3544939; HY-13239; LY-2979165			False			missing						
bis(maltolato)oxovanadium(IV)	2694	CHEMBL286447				C12H10O7V							bis(maltolato)oxovanadium(IV); CHEMBL286447			False			missing						
cyanocobalamin	2695	CHEMBL2110563				C63H89CoN14O14P	4.0						cyanocobalamin; Cycobemin; vitamin B12; Vitamin B12 NOS; CHEMBL2110563; NSC-80365			False			missing						
cisplatin	2721	CHEMBL2068237				H4Cl2N2Pt	4.0						cisplatin; CHEMBL2068237			False			missing						
CHEMBL1650312	2727	CHEMBL1650312				C8H6K2O13Sb2							CHEMBL1650312; Potassium antimonyl tartrate trihydrate			False			missing						
BISMUTH SUBGALLATE	2728	CHEMBL1592101				C7H5BiO6	4.0						BISMUTH SUBGALLATE; CHEMBL1592101; CHEBI:31292			False			missing						
phenylmercuric acetate	2729	CHEMBL1333953				C8H8HgO2							phenylmercuric acetate; CHEMBL1333953; CHEBI:27684			False			missing						
Colistimethate sodium	2784	CHEMBL1201441					4.0						Colistimethate sodium; CHEMBL1201441; W-1929			False			missing						
GADOTERIDOL	2804	CHEMBL1200593				C17H29GdN4O7	4.0						GADOTERIDOL; CHEMBL1200593; CHEBI:31643; SQ-32692			False			missing						
gadodiamide	2819	CHEMBL1200346				C16H26GdN5O8	4.0						gadodiamide; GDDTPA-BMA; CHEMBL1200346; CHEBI:37333; S-041			False			missing						
BISMUTH SUBSALICYLATE	2824	CHEMBL1120				C7H5BiO4	4.0						BISMUTH SUBSALICYLATE; CHEMBL1120; CHEBI:261649			False			missing						
germanium sesquioxide	2874	CHEMBL1095301				C6H10Ge2O7							germanium sesquioxide; CHEMBL1095301; CHEBI:32060			False			missing						
Gold thioglucose	4367	CHEMBL2354773				C6H11AuO5S	4.0						Gold thioglucose; AUROTHIOGLUCOSE; CHEMBL2354773			False			missing						
CHEMBL4303533	4369	CHEMBL4303533											CHEMBL4303533			False			missing						
681640	4376				0.0		0.0						681640			False			missing						
968	4377				0.0		0.0						968			False			missing						
alisertib:navitoclax (2:1 mol/mol)	4378				0.0		0.0						alisertib:navitoclax (2:1 mol/mol)			False			missing						
BCL-LZH-4	4379				0.0		0.0						BCL-LZH-4			False			missing						
BRD-A02303741	4383				0.0		0.0						BRD-A02303741			False			missing						
BRD-A02303741:carboplatin (1:1 mol/mol)	4384				0.0		0.0						BRD-A02303741:carboplatin (1:1 mol/mol)			False			missing						
BRD-A02303741:navitoclax (2:1 mol/mol)	4385				0.0		0.0						BRD-A02303741:navitoclax (2:1 mol/mol)			False			missing						
BRD-A05715709	4386				0.0		0.0						BRD-A05715709			False			missing						
BRD-A71883111	4387				0.0		0.0						BRD-A71883111			False			missing						
BRD-A86708339	4388				0.0		0.0						BRD-A86708339			False			missing						
BRD-A94377914	4389				0.0		0.0						BRD-A94377914			False			missing						
BRD-K03536150	4393				0.0		0.0						BRD-K03536150			False			missing						
BRD-K03911514	4394				0.0		0.0						BRD-K03911514			False			missing						
BRD-K04800985	4395				0.0		0.0						BRD-K04800985			False			missing						
BRD-K07442505	4396				0.0		0.0						BRD-K07442505			False			missing						
BRD-K11533227	4399			-666	0.0		0.0						BRD-K11533227			False			unresolved						
BRD-K13185470	4400				0.0		0.0						BRD-K13185470			False			missing						
BRD-K16130065	4403				0.0		0.0						BRD-K16130065			False			missing						
BRD-K24690302	4408				0.0		0.0						BRD-K24690302			False			missing						
BRD-K27188169	4410				0.0		0.0						BRD-K27188169			False			missing						
BRD-K27188169:navitoclax (2:1 mol/mol)	4411				0.0		0.0						BRD-K27188169:navitoclax (2:1 mol/mol)			False			missing						
BRD-K28456706	4414				0.0		0.0						BRD-K28456706			False			missing						
BRD-K29313308	4416				0.0		0.0						BRD-K29313308			False			missing						
BRD-K30748066	4418				0.0		0.0						BRD-K30748066			False			missing						
BRD-K34099515	4421				0.0		0.0						BRD-K34099515			False			missing						
BRD-K34222889	4422				0.0		0.0						BRD-K34222889			False			missing						
BRD-K35604418	4424				0.0		0.0						BRD-K35604418			False			missing						
BRD-K42260513	4428				0.0		0.0						BRD-K42260513			False			missing						
BRD-K51490254	4435			-666	0.0		0.0						BRD-K51490254			False			unresolved						
BRD-K51831558	4436				0.0		0.0						BRD-K51831558			False			missing						
BRD-K58730230	4440				0.0		0.0						BRD-K58730230			False			missing						
BRD-K61166597	4441				0.0		0.0						BRD-K61166597			False			missing						
BRD-K66532283	4445				0.0		0.0						BRD-K66532283			False			missing						
BRD-K71781559	4447				0.0		0.0						BRD-K71781559			False			missing						
BRD-K79669418	4451				0.0		0.0						BRD-K79669418			False			missing						
BRD-K80183349	4452				0.0		0.0						BRD-K80183349			False			missing						
BRD-K85133207	4454				0.0		0.0						BRD-K85133207			False			missing						
BRD-K92856060	4458				0.0		0.0						BRD-K92856060			False			missing						
BRD-K96970199	4461				0.0		0.0						BRD-K96970199			False			missing						
BRD-K97651142	4462				0.0		0.0						BRD-K97651142			False			missing						
BRD-K99006945	4463				0.0		0.0						BRD-K99006945			False			missing						
BRD-K99584050	4464				0.0		0.0						BRD-K99584050			False			missing						
BRD-M00053801	4465				0.0		0.0						BRD-M00053801			False			missing						
BRD1812	4466				0.0		0.0						BRD1812			False			missing						
BRD1835	4467				0.0		0.0						BRD1835			False			missing						
BRD8899	4468				0.0		0.0						BRD8899			False			missing						
BRD8958	4469				0.0		0.0						BRD8958			False			missing						
BRD9876:MK-1775 (4:1 mol/mol)	4470				0.0		0.0						BRD9876:MK-1775 (4:1 mol/mol)			False			missing						
carboplatin:etoposide (40:17 mol/mol)	4471				0.0		0.0						carboplatin:etoposide (40:17 mol/mol)			False			missing						
carboplatin:UNC0638 (2:1 mol/mol)	4472				0.0		0.0						carboplatin:UNC0638 (2:1 mol/mol)			False			missing						
CIL41	4474				0.0		0.0						CIL41			False			missing						
CIL55	4475				0.0		0.0						CIL55			False			missing						
CIL55A	4476				0.0		0.0						CIL55A			False			missing						
Compound 1541A	4477				0.0		0.0						Compound 1541A			False			missing						
compound 1B	4478				0.0		0.0						compound 1B			False			missing						
Compound 23 citrate	4479				0.0		0.0						Compound 23 citrate			False			missing						
Compound 7d-cis	4480				0.0		0.0						Compound 7d-cis			False			missing						
crizotinib:PLX-4032 (2:1 mol/mol)	4481				0.0		0.0						crizotinib:PLX-4032 (2:1 mol/mol)			False			missing						
decitabine:carboplatin (1:1 mol/mol)	4483				0.0		0.0						decitabine:carboplatin (1:1 mol/mol)			False			missing						
decitabine:navitoclax (2:1 mol/mol)	4484				0.0		0.0						decitabine:navitoclax (2:1 mol/mol)			False			missing						
docetaxel:tanespimycin (2:1 mol/mol)	4485				0.0		0.0						docetaxel:tanespimycin (2:1 mol/mol)			False			missing						
doxorubicin:navitoclax (2:1 mol/mol)	4486				0.0		0.0						doxorubicin:navitoclax (2:1 mol/mol)			False			missing						
ELCPK	4487				0.0		0.0						ELCPK			False			missing						
ERKi II (FR180304)	4488				0.0		0.0						ERKi II (FR180304)			False			missing						
erlotinib:PLX-4032 (2:1 mol/mol)	4489				0.0		0.0						erlotinib:PLX-4032 (2:1 mol/mol)			False			missing						
FQI-2	4490				0.0		0.0						FQI-2			False			missing						
FSC231	4491				0.0		0.0						FSC231			False			missing						
Genentech Cpd 10	4492				0.0		0.0						Genentech Cpd 10			False			missing						
Glycyl H1152	4493				0.0		0.0						Glycyl H1152			False			missing						
GSK1059868	4495				0.0		0.0						GSK1059868			False			missing						
GSK2119563	4497				0.0		0.0						GSK2119563			False			missing						
HG-5-113-01	4499				0.0		0.0						HG-5-113-01			False			missing						
HG-5-88-01	4500				0.0		0.0						HG-5-88-01			False			missing						
IPR-456	4503				0.0		0.0						IPR-456			False			missing						
ISOX:bortezomib (250:1 mol/mol)	4505				0.0		0.0						ISOX:bortezomib (250:1 mol/mol)			False			missing						
JQ-1:carboplatin (1:1 mol/mol)	4506				0.0		0.0						JQ-1:carboplatin (1:1 mol/mol)			False			missing						
JQ-1:MK-0752 (1:1 mol/mol)	4507				0.0		0.0						JQ-1:MK-0752 (1:1 mol/mol)			False			missing						
JQ-1:navitoclax (2:1 mol/mol)	4508				0.0		0.0						JQ-1:navitoclax (2:1 mol/mol)			False			missing						
JQ-1:UNC0638 (2:1 mol/mol)	4509				0.0		0.0						JQ-1:UNC0638 (2:1 mol/mol)			False			missing						
JQ-1:vorinostat (2:1 mol/mol)	4510				0.0		0.0						JQ-1:vorinostat (2:1 mol/mol)			False			missing						
JQ12	4511				0.0		0.0						JQ12			False			missing						
JW-7-24-1	4512				0.0		0.0						JW-7-24-1			False			missing						
KIN001-102	4515				0.0		0.0						KIN001-102			False			missing						
KIN001-236	4516				0.0		0.0						KIN001-236			False			missing						
KIN001-260	4518				0.0		0.0						KIN001-260			False			missing						
KIN001-270	4520				0.0		0.0						KIN001-270			False			missing						
Lestaurtinib(CEP-701)	4523				0.0		0.0						Lestaurtinib(CEP-701)			False			missing						
Lisitinib	4524				0.0		0.0						Lisitinib			False			missing						
ML312	4529				0.0		0.0						ML312			False			missing						
ML320	4530				0.0		0.0						ML320			False			missing						
ML334 diastereomer	4531				0.0		0.0						ML334 diastereomer			False			missing						
MPS-1-IN-1	4532				0.0		0.0						MPS-1-IN-1			False			missing						
navitoclax:birinapant (1:1 mol/mol)	4533				0.0		0.0						navitoclax:birinapant (1:1 mol/mol)			False			missing						
navitoclax:gemcitabine (1:1 mol/mol)	4534				0.0		0.0						navitoclax:gemcitabine (1:1 mol/mol)			False			missing						
navitoclax:MST-312 (1:1 mol/mol)	4535				0.0		0.0						navitoclax:MST-312 (1:1 mol/mol)			False			missing						
navitoclax:piperlongumine (1:1 mol/mol)	4536				0.0		0.0						navitoclax:piperlongumine (1:1 mol/mol)			False			missing						
navitoclax:pluripotin (1:1 mol/mol)	4537				0.0		0.0						navitoclax:pluripotin (1:1 mol/mol)			False			missing						
navitoclax:PLX-4032 (1:1 mol/mol)	4538				0.0		0.0						navitoclax:PLX-4032 (1:1 mol/mol)			False			missing						
navitoclax:sorafenib (1:1 mol/mol)	4539				0.0		0.0						navitoclax:sorafenib (1:1 mol/mol)			False			missing						
NPC-26	4540				0.0		0.0						NPC-26			False			missing						
piperlongumine:MST-312 (1:1 mol/mol)	4544				0.0		0.0						piperlongumine:MST-312 (1:1 mol/mol)			False			missing						
pitstop2	4545				0.0		0.0						pitstop2			False			missing						
QL-VIII-58	4546				0.0		0.0						QL-VIII-58			False			missing						
QL-X-138	4547				0.0		0.0						QL-X-138			False			missing						
QL-XI-92	4548				0.0		0.0						QL-XI-92			False			missing						
QL-XII-47	4549				0.0		0.0						QL-XII-47			False			missing						
QL-XII-61	4550				0.0		0.0						QL-XII-61			False			missing						
Repligen 136	4552				0.0		0.0						Repligen 136			False			missing						
rTRAIL	4553				0.0		0.0						rTRAIL			False			missing						
salermide:PLX-4032 (12:1 mol/mol)	4554				0.0		0.0						salermide:PLX-4032 (12:1 mol/mol)			False			missing						
SB52334	4555				0.0		0.0						SB52334			False			missing						
selumetinib:BRD-A02303741 (4:1 mol/mol)	4556				0.0		0.0						selumetinib:BRD-A02303741 (4:1 mol/mol)			False			missing						
selumetinib:decitabine (4:1 mol/mol)	4557				0.0		0.0						selumetinib:decitabine (4:1 mol/mol)			False			missing						
selumetinib:GDC-0941 (4:1 mol/mol)	4558				0.0		0.0						selumetinib:GDC-0941 (4:1 mol/mol)			False			missing						
selumetinib:JQ-1 (4:1 mol/mol)	4559				0.0		0.0						selumetinib:JQ-1 (4:1 mol/mol)			False			missing						
selumetinib:MK-2206 (8:1 mol/mol)	4560				0.0		0.0						selumetinib:MK-2206 (8:1 mol/mol)			False			missing						
selumetinib:navitoclax (8:1 mol/mol)	4561				0.0		0.0						selumetinib:navitoclax (8:1 mol/mol)			False			missing						
selumetinib:piperlongumine (8:1 mol/mol)	4562				0.0		0.0						selumetinib:piperlongumine (8:1 mol/mol)			False			missing						
selumetinib:PLX-4032 (8:1 mol/mol)	4563				0.0		0.0						selumetinib:PLX-4032 (8:1 mol/mol)			False			missing						
selumetinib:tretinoin (2:1 mol/mol)	4564				0.0		0.0						selumetinib:tretinoin (2:1 mol/mol)			False			missing						
selumetinib:UNC0638 (4:1 mol/mol)	4565				0.0		0.0						selumetinib:UNC0638 (4:1 mol/mol)			False			missing						
selumetinib:vorinostat (8:1 mol/mol)	4566				0.0		0.0						selumetinib:vorinostat (8:1 mol/mol)			False			missing						
serdemetan:SCH-529074 (1:1 mol/mol)	4567				0.0		0.0						serdemetan:SCH-529074 (1:1 mol/mol)			False			missing						
Sigma AKT1-2 inhibitor	4568				0.0		0.0						Sigma AKT1-2 inhibitor			False			missing						
sirolimus:bortezomib (250:1 mol/mol)	4569				0.0		0.0						sirolimus:bortezomib (250:1 mol/mol)			False			missing						
SNX-2112:bortezomib (250:1 mol/mol)	4570				0.0		0.0						SNX-2112:bortezomib (250:1 mol/mol)			False			missing						
SR-II-138A	4571				0.0		0.0						SR-II-138A			False			missing						
