query_symbol	selected_ensembl	mapping_status	n_ensembl_candidates	n_huri_candidates	all_ensembl_candidates
AADAC	ENSG00000114771	mapped_to_huri	1	1	ENSG00000114771
AAK1	ENSG00000115977	mapped_not_in_huri	1	0	ENSG00000115977
AARS1	ENSG00000090861	mapped_not_in_huri	1	0	ENSG00000090861
ABAT	ENSG00000183044	mapped_not_in_huri	1	0	ENSG00000183044
ABCA1	ENSG00000165029	mapped_not_in_huri	1	0	ENSG00000165029
ABCB1	ENSG00000085563	mapped_not_in_huri	1	0	ENSG00000085563
ABCB11	ENSG00000073734	mapped_to_huri	2	1	ENSG00000073734;ENSG00000276582
ABCB4	ENSG00000005471	mapped_not_in_huri	1	0	ENSG00000005471
ABCB7	ENSG00000131269	mapped_not_in_huri	1	0	ENSG00000131269
ABCC1	ENSG00000103222	mapped_not_in_huri	2	0	ENSG00000103222;ENSG00000278183
ABCC2	ENSG00000023839	mapped_not_in_huri	1	0	ENSG00000023839
ABCC3	ENSG00000108846	mapped_not_in_huri	1	0	ENSG00000108846
ABCC4	ENSG00000125257	mapped_not_in_huri	1	0	ENSG00000125257
ABCC5	ENSG00000114770	mapped_not_in_huri	1	0	ENSG00000114770
ABCC8	ENSG00000006071	mapped_not_in_huri	1	0	ENSG00000006071
ABCD3	ENSG00000117528	mapped_not_in_huri	1	0	ENSG00000117528
ABCF2	ENSG00000033050	mapped_not_in_huri	1	0	ENSG00000033050
ABCG2	ENSG00000118777	mapped_not_in_huri	1	0	ENSG00000118777
ABHD12	ENSG00000100997	mapped_not_in_huri	1	0	ENSG00000100997
ABHD16A	ENSG00000204427	mapped_to_huri	7	1	ENSG00000204427;ENSG00000206403;ENSG00000224552;ENSG00000230475;ENSG00000231488;ENSG00000235676;ENSG00000236063
ABHD6	ENSG00000163686	mapped_to_huri	1	1	ENSG00000163686
ABL1	ENSG00000097007	mapped_to_huri	1	1	ENSG00000097007
ABL2	ENSG00000143322	mapped_to_huri	1	1	ENSG00000143322
ACACA	ENSG00000278540	mapped_to_huri	2	1	ENSG00000275176;ENSG00000278540
ACACB	ENSG00000076555	mapped_not_in_huri	1	0	ENSG00000076555
ACAD10	ENSG00000111271	mapped_not_in_huri	1	0	ENSG00000111271
ACAD11	ENSG00000240303	mapped_to_huri	1	1	ENSG00000240303
ACADVL	ENSG00000072778	mapped_to_huri	1	1	ENSG00000072778
ACAT1	ENSG00000075239	mapped_not_in_huri	1	0	ENSG00000075239
ACE	ENSG00000159640	mapped_not_in_huri	1	0	ENSG00000159640
ACE2	ENSG00000130234	mapped_not_in_huri	1	0	ENSG00000130234
ACHE	ENSG00000087085	mapped_not_in_huri	1	0	ENSG00000087085
ACIN1	ENSG00000100813	mapped_not_in_huri	1	0	ENSG00000100813
ACKR3	ENSG00000144476	mapped_not_in_huri	1	0	ENSG00000144476
ACLY	ENSG00000131473	mapped_not_in_huri	1	0	ENSG00000131473
ACMSD	ENSG00000153086	mapped_to_huri	1	1	ENSG00000153086
ACOX1	ENSG00000161533	mapped_not_in_huri	1	0	ENSG00000161533
ACOX3	ENSG00000087008	mapped_not_in_huri	1	0	ENSG00000087008
ACP1	ENSG00000143727	mapped_not_in_huri	1	0	ENSG00000143727
ACSL3	ENSG00000123983	mapped_not_in_huri	1	0	ENSG00000123983
ACSL5	ENSG00000197142	mapped_to_huri	1	1	ENSG00000197142
