query_symbol	returned_symbol	ensembl_gene	entrezgene	mygene_score	mygene_notfound
AADAC	AADAC	ENSG00000114771	13	17.976086	False
AAK1	AAK1	ENSG00000115977	22848	18.169937	False
AARS1	AARS1	ENSG00000090861	16	17.590855	False
ABAT	ABAT	ENSG00000183044	18	17.52648	False
ABCA1	ABCA1	ENSG00000165029	19	18.13674	False
ABCB1	ABCB1	ENSG00000085563	5243	18.643188	False
ABCB11	ABCB11	ENSG00000073734	8647	18.214449	False
ABCB11	ABCB11	ENSG00000276582	8647	18.214449	False
ABCB4	ABCB4	ENSG00000005471	5244	18.241245	False
ABCB7	ABCB7	ENSG00000131269	22	16.987755	False
ABCC1	ABCC1	ENSG00000103222	4363	17.876833	False
ABCC1	ABCC1	ENSG00000278183	4363	17.876833	False
ABCC2	ABCC2	ENSG00000023839	1244	17.576708	False
ABCC3	ABCC3	ENSG00000108846	8714	17.51798	False
ABCC4	ABCC4	ENSG00000125257	10257	17.623167	False
ABCC5	ABCC5	ENSG00000114770	10057	17.663595	False
ABCC8	ABCC8	ENSG00000006071	6833	17.529892	False
ABCD3	ABCD3	ENSG00000117528	5825	17.969267	False
ABCF2	ABCF2	ENSG00000033050	10061	18.55469	False
ABCG2	ABCG2	ENSG00000118777	9429	18.564648	False
ABHD12	ABHD12	ENSG00000100997	26090	17.587305	False
ABHD16A	ABHD16A	ENSG00000204427	7920	17.834682	False
ABHD16A	ABHD16A	ENSG00000206403	7920	17.834682	False
ABHD16A	ABHD16A	ENSG00000224552	7920	17.834682	False
ABHD16A	ABHD16A	ENSG00000230475	7920	17.834682	False
ABHD16A	ABHD16A	ENSG00000231488	7920	17.834682	False
ABHD16A	ABHD16A	ENSG00000235676	7920	17.834682	False
ABHD16A	ABHD16A	ENSG00000236063	7920	17.834682	False
ABHD6	ABHD6	ENSG00000163686	57406	18.24395	False
ABL1	ABL1	ENSG00000097007	25	17.536737	False
ABL2	ABL2	ENSG00000143322	27	17.51798	False
ACACA	ACACA	ENSG00000275176	31	17.540173	False
ACACA	ACACA	ENSG00000278540	31	17.540173	False
ACACB	ACACB	ENSG00000076555	32	17.506163	False
ACAD10	ACAD10	ENSG00000111271	80724	18.246658	False
ACAD11	ACAD11	ENSG00000240303	84129	17.623167	False
ACADVL	ACADVL	ENSG00000072778	37	17.208637	False
ACAT1	ACAT1	ENSG00000075239	38	16.968613	False
ACE	ACE	ENSG00000159640	1636	17.695576	False
ACE2	ACE2	ENSG00000130234	59272	17.139404	False
ACHE	ACHE	ENSG00000087085	43	17.765554	False
ACIN1	ACIN1	ENSG00000100813	22985	18.65726	False
ACKR3	ACKR3	ENSG00000144476	57007	18.169937	False
ACLY	ACLY	ENSG00000131473	47	18.101767	False
ACMSD	ACMSD	ENSG00000153086	130013	17.476177	False
ACOX1	ACOX1	ENSG00000161533	51	17.160793	False
ACOX3	ACOX3	ENSG00000087008	8310	17.253712	False
ACP1	ACP1	ENSG00000143727	52	17.314932	False
ACSL3	ACSL3	ENSG00000123983	2181	18.182898	False
ACSL5	ACSL5	ENSG00000197142	51703	17.504482	False
ACTB	ACTB	ENSG00000075624	60	18.180296	False
ACTL6A	ACTL6A	ENSG00000136518	86	17.581997	False
ACTN4	ACTN4	ENSG00000130402	81	17.8854	False
ACTN4	ACTN4	ENSG00000282844	81	17.8854	False
ACTR2	ACTR2	ENSG00000138071	10097	18.099298	False
ACTR3	ACTR3	ENSG00000115091	10096	17.93784	False
ACTR5	ACTR5	ENSG00000101442	79913	17.491096	False
ACTR8	ACTR8	ENSG00000113812	93973	17.48777	False
ACVR1	ACVR1	ENSG00000115170	90	18.157084	False
ACVR1B	ACVR1B	ENSG00000135503	91	18.185501	False
ACVR2A	ACVR2A	ENSG00000121989	92	18.154526	False
ACVR2B	ACVR2B	ENSG00000114739	93	18.190723	False
ACVRL1	ACVRL1	ENSG00000139567	94	17.592632	False
ADA	ADA	ENSG00000196839	100	16.651423	False
ADAM17	ADAM17	ENSG00000151694	6868	18.18811	False
ADAMTS4	ADAMTS4	ENSG00000158859	9507	18.50584	False
ADAMTS5	ADAMTS5	ENSG00000154736	11096	17.528185	False
ADAR	ADAR	ENSG00000160710	103	17.041653	False
ADCK1	ADCK1	ENSG00000063761	57143	16.979353	False
ADCK5	ADCK5	ENSG00000173137	203054	17.343443	False
ADCK5	ADCK5	ENSG00000285451	203054	17.343443	False
ADCY5	ADCY5	ENSG00000173175	111	17.552256	False
ADH5	ADH5	ENSG00000197894	128	19.067644	False
ADIPOR1	ADIPOR1	ENSG00000159346	51094	18.276783	False
ADIPOR2	ADIPOR2	ENSG00000006831	79602	17.652464	False
ADIPOR2	ADIPOR2	ENSG00000285070	79602	17.652464	False
ADK	ADK	ENSG00000156110	132	16.85073	False
ADORA1	ADORA1	ENSG00000163485	134	18.333103	False
ADORA2A	ADORA2A	ENSG00000128271	135	18.219772	False
ADORA2B	ADORA2B	ENSG00000170425	136	17.535023	False
ADORA3	ADORA3	ENSG00000282608	140	18.725922	False
ADRA1A	ADRA1A	ENSG00000120907	148	18.198593	False
ADRA1B	ADRA1B	ENSG00000170214	147	18.282324	False
ADRA1D	ADRA1D	ENSG00000171873	146	17.562687	False
ADRA2A	ADRA2A	ENSG00000150594	150	17.476177	False
ADRA2B	ADRA2B	ENSG00000274286	151	17.680445	False
ADRA2C	ADRA2C	ENSG00000184160	152	17.504482	False
ADRB1	ADRB1	ENSG00000043591	153	17.562687	False
ADRB2	ADRB2	ENSG00000169252	154	18.180296	False
ADRB3	ADRB3	ENSG00000188778	155	18.307507	False
ADRM1	ADRM1	ENSG00000130706	11047	17.599762	False
AFF1	AFF1	ENSG00000172493	4299	17.718554	False
AFF2	AFF2	ENSG00000155966	2334	17.557465	False
AFF4	AFF4	ENSG00000072364	27125	17.53331	False
AGER	AGER	ENSG00000204305	177	19.22763	False
AGER	AGER	ENSG00000206320	177	19.22763	False
AGER	AGER	ENSG00000229058	177	19.22763	False
AGER	AGER	ENSG00000230514	177	19.22763	False
AGER	AGER	ENSG00000231268	177	19.22763	False
AGER	AGER	ENSG00000234729	177	19.22763	False
AGER	AGER	ENSG00000237405	177	19.22763	False
AGO2	AGO2	ENSG00000123908	27161	17.249428	False
AGPS	AGPS	ENSG00000018510	8540	16.973377	False
AGTR1	AGTR1	ENSG00000144891	185	18.131695	False
AGTR2	AGTR2	ENSG00000180772	186	17.761583	False
AHCY	AHCY	ENSG00000101444	191	15.916085	False
AHNAK	AHNAK	ENSG00000124942	79026	17.771532	False
AHR	AHR	ENSG00000106546	196	17.799732	False
AIFM1	AIFM1	ENSG00000156709	9131	17.496103	False
AIMP2	AIMP2	ENSG00000106305	7965	17.12882	False
AIP	AIP	ENSG00000110711	9049	17.596193	False
AK2	AK2	ENSG00000004455	204	16.975763	False
AKR1A1	AKR1A1	ENSG00000117448	10327	18.241245	False
AKR1B1	AKR1B1	ENSG00000085662	231	19.6012	False
AKR1B10	AKR1B10	ENSG00000198074	57016	21.534887	False
AKR1C1	AKR1C1	ENSG00000187134	1645	24.171606	False
AKR1C2	AKR1C2	ENSG00000151632	1646	24.96339	False
AKR1C3	AKR1C3	ENSG00000196139	8644	23.741274	False
AKR1C4	AKR1C4	ENSG00000198610	1109	23.128538	False
AKR1D1	AKR1D1	ENSG00000122787	6718	18.287884	False
AKT1	AKT1	ENSG00000142208	207	17.438688	False
AKT2	AKT2	ENSG00000105221	208	17.801767	False
AKT3	AKT3	ENSG00000117020	10000	18.301876	False
AKT3	AKT3	ENSG00000275199	10000	18.301876	False
ALB	ALB	ENSG00000163631	213	18.786196	False
ALDH1A1	ALDH1A1	ENSG00000165092	216	18.304688	False
ALDH1A2	ALDH1A2	ENSG00000128918	8854	17.536737	False
ALDH1B1	ALDH1B1	ENSG00000137124	219	19.152857	False
ALDH2	ALDH2	ENSG00000111275	217	18.067564	False
ALDH5A1	ALDH5A1	ENSG00000112294	7915	17.529892	False
ALDOA	ALDOA	ENSG00000149925	226	18.61886	False
ALG1	ALG1	ENSG00000033011	56052	16.963861	False
ALG8	ALG8	ENSG00000159063	79053	17.183847	False
ALK	ALK	ENSG00000171094	238	17.088474	False
ALKBH2	ALKBH2	ENSG00000189046	121642	17.47453	False
ALKBH3	ALKBH3	ENSG00000166199	221120	17.516289	False
ALKBH5	ALKBH5	ENSG00000091542	54890	17.540173	False
ALOX12	ALOX12	ENSG00000108839	239	18.421614	False
ALOX15	ALOX15	ENSG00000161905	246	20.176964	False
ALOX5	ALOX5	ENSG00000012779	240	18.18811	False
ALOX5	ALOX5	ENSG00000275565	240	18.18811	False
ALOX5AP	ALOX5AP	ENSG00000132965	241	17.564434	False
AMY1A	AMY1A	ENSG00000237763	276	25.185196	False
AMY2A	AMY2A	ENSG00000243480	279	20.274176	False
ANKK1	ANKK1	ENSG00000170209	255239	17.614122	False
ANKRD52	ANKRD52	ENSG00000139645	283373	18.222439	False
ANO1	ANO1	ENSG00000131620	55107	18.08457	False
ANP32A	ANP32A	ENSG00000140350	8125	17.608723	False
ANP32B	ANP32B	ENSG00000136938	10541	17.855614	False
ANPEP	ANPEP	ENSG00000166825	290	18.203861	False
ANXA1	ANXA1	ENSG00000135046	301	18.315992	False
ANXA6	ANXA6	ENSG00000197043	309	17.541895	False
AOC1	AOC1	ENSG00000002726	26	17.720484	False
AOC2	AOC2	ENSG00000131480	314	18.394524	False
AOC3	AOC3	ENSG00000131471	8639	19.614252	False
AOX1	AOX1	ENSG00000138356	316	18.689407	False
