matrix_index	drugcomb_id	dname	inchikey	drug_target_status	n_seed_symbols	n_symbols_mapped_to_ensembl	n_targets_in_huri	fraction_targets_in_huri	seed_symbols	huri_target_ensembl
0	1	5-Fluorouracil	GHASVSINZRGABV-UHFFFAOYSA-N	targets_known_but_none_in_huri	2	2	0	0.0	CYP19A1;TYMS	
1	2	Veliparib	JNAHVYVRKWKWKQ-CYBMUJFWSA-N	targets_mapped_to_huri	5	5	1	0.2	PARP1;PARP10;PARP2;PARP3;PARP4	ENSG00000041880
2	3	MK-1775	BKWJAKQVGHWELA-UHFFFAOYSA-N	targets_mapped_to_huri	20	20	7	0.35	ABL1;ADCK1;ADK;BCR;CDK16;CSNK2A2;EPHB6;GAK;IKBKE;JAK2;JAK3;MAP3K11;MAP3K4;NEK3;PKMYT1;PLK1;TBK1;WEE1;WEE2;WNK3	ENSG00000097007;ENSG00000102225;ENSG00000070770;ENSG00000106123;ENSG00000127564;ENSG00000166851;ENSG00000196632
3	4	915019-65-7	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	targets_mapped_to_huri	13	13	2	0.15384615384615385	ATM;ATR;HDAC6;JAK3;MTOR;PIK3C2A;PIK3C2B;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	ENSG00000149311;ENSG00000171608
4	5	Bortezomib	GXJABQQUPOEUTA-RDJZCZTQSA-N	targets_mapped_to_huri	30	30	12	0.4	CA1;CA12;CA13;CA14;CA2;CA3;CA4;CA5A;CA5B;CA6;CA7;CA9;CMA1;CTRB1;CTSA;CTSG;ELANE;HDAC1;HDAC2;HDAC3;HDAC8;LONP1;PSMA1;PSMB1;PSMB10;PSMB2;PSMB5;PSMB6;PSMB8;PSMB9	ENSG00000185015;ENSG00000164879;ENSG00000107159;ENSG00000064601;ENSG00000100448;ENSG00000129084;ENSG00000008018;ENSG00000126067;ENSG00000100804;ENSG00000142507;ENSG00000204264;ENSG00000240065
5	6	Carboplatinum	DVQHYTBCTGYNNN-UHFFFAOYSA-N	no_known_targets	0	0	0			
6	7	cyclophosphamide	CMSMOCZEIVJLDB-UHFFFAOYSA-N	no_known_targets	0	0	0			
7	8	Dasatinib	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	targets_mapped_to_huri	132	132	44	0.3333333333333333	ABCG2;ABL1;ABL2;ACVR1;ACVR1B;ACVR2A;ACVR2B;ACVRL1;AURKA;BCR;BLK;BMPR1A;BMPR1B;BMX;BRAF;BTK;CDC42BPA;CDC42BPB;CDC42BPG;COQ8A;CSF1R;CSK;CSNK1E;CYP3A4;DDR1;DDR2;DMPK;EGFR;EIF2AK4;EPHA1;EPHA2;EPHA3;EPHA4;EPHA5;EPHA6;EPHA8;EPHB1;EPHB2;EPHB3;EPHB4;EPHB6;ERBB2;ERBB3;ERBB4;FGFR1;FGFR2;FGFR3;FGR;FLT1;FLT3;FRK;FYN;GAK;HCK;HTR2A;JAK2;JAK3;KDR;KIT;LCK;LIMK1;LIMK2;LYN;MAP2K1;MAP2K2;MAP2K5;MAP3K1;MAP3K13;MAP3K19;MAP3K2;MAP3K20;MAP3K3;MAP3K4;MAP3K7;MAP4K1;MAP4K2;MAP4K3;MAP4K4;MAP4K5;MAPK11;MAPK14;MAPKAPK2;MINK1;MYLK;MYLK2;MYT1;NEK11;NEK2;NLK;PAK4;PDGFRA;PDGFRB;PKMYT1;PKN1;PRKACB;PRKCQ;PTK6;RAF1;RET;RIPK2;SBK1;SIK1;SIK2;SIK3;SLK;SRC;SRMS;STK10;STK25;STK26;STK35;STK36;STK4;SYK;TAOK2;TAOK3;TEC;TESK1;TGFBR1;TGFBR2;TNIK;TNK1;TNK2;TNNI3K;TTR;TXK;TYK2;ULK3;VRK2;WEE1;WEE2;YES1	ENSG00000097007;ENSG00000143322;ENSG00000136573;ENSG00000102010;ENSG00000163050;ENSG00000103653;ENSG00000213923;ENSG00000204580;ENSG00000182580;ENSG00000106123;ENSG00000111816;ENSG00000010810;ENSG00000101336;ENSG00000182866;ENSG00000106683;ENSG00000169032;ENSG00000126934;ENSG00000137764;ENSG00000091436;ENSG00000065534;ENSG00000087095;ENSG00000130669;ENSG00000134853;ENSG00000113721;ENSG00000127564;ENSG00000123143;ENSG00000142875;ENSG00000101213;ENSG00000132155;ENSG00000125508;ENSG00000115694;ENSG00000134602;ENSG00000125834;ENSG00000101109;ENSG00000165025;ENSG00000149930;ENSG00000174292;ENSG00000061938;ENSG00000116783;ENSG00000118271;ENSG00000074966;ENSG00000105397;ENSG00000028116;ENSG00000176105
8	9	dexamethasone	UREBDLICKHMUKA-CXSFZGCWSA-N	targets_known_but_none_in_huri	7	7	0	0.0	AR;CHUK;IKBKB;NR3C1;NR3C2;PGR;PLA2G2A	
9	10	Dinaciclib	PIMQWRZWLQKKBJ-SFHVURJKSA-N	targets_mapped_to_huri	24	24	10	0.4166666666666667	AKR1C3;CDK1;CDK12;CDK13;CDK16;CDK17;CDK2;CDK4;CDK5;CDK6;CDK7;CDK8;CDK9;CHD4;CILK1;CLK1;ERCC2;GSK3A;GSK3B;HSF1;STK11;STK26;TAOK2;TAOK3	ENSG00000065883;ENSG00000102225;ENSG00000059758;ENSG00000135446;ENSG00000164885;ENSG00000105810;ENSG00000136807;ENSG00000013441;ENSG00000134602;ENSG00000149930
10	11	doxorubicin	AOJJSUZBOXZQNB-TZSSRYMLSA-N	targets_mapped_to_huri	7	7	1	0.14285714285714285	ABCB1;CISD1;FOLH1;PEPD;TOP1;TOP2A;TOP2B	ENSG00000086205
11	12	Erlotinib	AAKJLRGGTJKAMG-UHFFFAOYSA-N	targets_mapped_to_huri	107	107	36	0.3364485981308411	AAK1;ABCG2;ABL1;ABL2;ACAD11;ALK;AURKA;AURKB;AURKC;AXL;BCR;BLK;BMP2K;BUB1;CAMK2D;CDC42BPG;CDK2;CIT;COQ8A;COQ8B;CSK;CSNK1D;CSNK1E;CYP3A4;DAPK3;DCTPP1;DDR1;DMPK;DYRK2;EGFR;EIF2AK2;EIF2AK4;EPHA3;EPHA5;EPHA6;EPHA7;EPHA8;EPHB1;EPHB4;EPHB6;ERBB2;ERBB3;ERBB4;FECH;FGFR2;FGR;FLT1;FLT3;FLT4;FRK;GAK;GRK4;HCK;HIPK4;ILK;JAK2;JAK3;KDR;KIT;LCK;LRRK2;LTK;LYN;MAP2K5;MAP3K1;MAP3K19;MAP3K2;MAP3K3;MAPK10;MAPK4;MAPK9;MERTK;MET;MINK1;MKNK1;MKNK2;MYLK2;PDGFRA;PDGFRB;PIP4K2C;PLK4;PTK2;RET;RIPK2;RIPK4;RPS6KA4;SBK1;SIK2;SLCO2B1;SLK;SRC;SRPK3;STK10;STK17A;STK17B;STK36;TBK1;TIE1;TNIK;TNK1;TNNI3K;TTK;TXK;TYK2;TYRO3;ULK3;YES1	ENSG00000097007;ENSG00000143322;ENSG00000240303;ENSG00000105146;ENSG00000136573;ENSG00000169679;ENSG00000145349;ENSG00000163050;ENSG00000103653;ENSG00000141551;ENSG00000213923;ENSG00000179958;ENSG00000204580;ENSG00000055332;ENSG00000106123;ENSG00000111816;ENSG00000101336;ENSG00000166333;ENSG00000182866;ENSG00000137764;ENSG00000109339;ENSG00000050748;ENSG00000079277;ENSG00000099875;ENSG00000134853;ENSG00000113721;ENSG00000142731;ENSG00000169398;ENSG00000183421;ENSG00000066056;ENSG00000174292;ENSG00000116783;ENSG00000074966;ENSG00000105397;ENSG00000092445;ENSG00000176105
12	13	etoposide	VJJPUSNTGOMMGY-MRVIYFEKSA-N	targets_known_but_none_in_huri	2	2	0	0.0	TOP2A;TOP2B	
13	14	gemcitabine	SDUQYLNIPVEERB-QPPQHZFASA-N	targets_mapped_to_huri	2	2	2	1.0	RRM1;RRM2	ENSG00000167325;ENSG00000171848
