protein_index	ensembl_gene
0	ENSG00000000005
1	ENSG00000000419
2	ENSG00000000457
3	ENSG00000000460
4	ENSG00000001036
5	ENSG00000001167
6	ENSG00000001461
7	ENSG00000001561
8	ENSG00000001631
9	ENSG00000002016
10	ENSG00000002330
11	ENSG00000002549
12	ENSG00000002726
13	ENSG00000002746
14	ENSG00000002822
15	ENSG00000002834
16	ENSG00000002919
17	ENSG00000002933
18	ENSG00000003056
19	ENSG00000003402
20	ENSG00000003756
21	ENSG00000003987
22	ENSG00000004059
23	ENSG00000004142
24	ENSG00000004399
25	ENSG00000004478
26	ENSG00000004487
27	ENSG00000004534
28	ENSG00000004777
29	ENSG00000004779
30	ENSG00000004799
31	ENSG00000004838
32	ENSG00000004939
33	ENSG00000004961
34	ENSG00000005075
35	ENSG00000005102
36	ENSG00000005108
37	ENSG00000005194
38	ENSG00000005238
39	ENSG00000005249
40	ENSG00000005436
41	ENSG00000005448
42	ENSG00000005483
43	ENSG00000005486
44	ENSG00000005812
45	ENSG00000006007
46	ENSG00000006015
47	ENSG00000006042
48	ENSG00000006062
49	ENSG00000006125
50	ENSG00000006194
51	ENSG00000006327
52	ENSG00000006453
53	ENSG00000006534
54	ENSG00000006606
55	ENSG00000006611
56	ENSG00000006634
57	ENSG00000006638
58	ENSG00000006659
59	ENSG00000006704
60	ENSG00000006712
61	ENSG00000006831
62	ENSG00000006837
63	ENSG00000007001
64	ENSG00000007047
65	ENSG00000007216
66	ENSG00000007237
67	ENSG00000007255
68	ENSG00000007312
69	ENSG00000007372
70	ENSG00000007384
71	ENSG00000007392
72	ENSG00000007866
73	ENSG00000007923
74	ENSG00000007933
75	ENSG00000007944
76	ENSG00000007952
77	ENSG00000008018
78	ENSG00000008086
79	ENSG00000008118
80	ENSG00000008130
81	ENSG00000008197
82	ENSG00000008256
83	ENSG00000008282
84	ENSG00000008283
85	ENSG00000008323
86	ENSG00000008324
87	ENSG00000008394
88	ENSG00000008441
89	ENSG00000008516
90	ENSG00000008517
91	ENSG00000008735
92	ENSG00000009307
93	ENSG00000009709
94	ENSG00000009790
95	ENSG00000009844
96	ENSG00000010165
97	ENSG00000010270
98	ENSG00000010278
99	ENSG00000010282
100	ENSG00000010318
101	ENSG00000010319
102	ENSG00000010361
103	ENSG00000010539
104	ENSG00000010626
105	ENSG00000010803
106	ENSG00000010810
107	ENSG00000010932
108	ENSG00000011007
109	ENSG00000011009
110	ENSG00000011198
111	ENSG00000011201
112	ENSG00000011243
113	ENSG00000011275
114	ENSG00000011295
115	ENSG00000011332
116	ENSG00000011478
117	ENSG00000011523
118	ENSG00000011590
119	ENSG00000011600
120	ENSG00000011638
121	ENSG00000012061
122	ENSG00000012124
123	ENSG00000012171
124	ENSG00000012232
125	ENSG00000012504
126	ENSG00000012660
127	ENSG00000012779
128	ENSG00000012822
129	ENSG00000013016
130	ENSG00000013275
131	ENSG00000013288
132	ENSG00000013293
133	ENSG00000013297
134	ENSG00000013364
135	ENSG00000013392
136	ENSG00000013441
137	ENSG00000013561
138	ENSG00000013810
139	ENSG00000014123
140	ENSG00000015133
141	ENSG00000015153
142	ENSG00000015285
143	ENSG00000015475
144	ENSG00000015479
145	ENSG00000015592
146	ENSG00000016082
147	ENSG00000016602
148	ENSG00000017427
149	ENSG00000017797
150	ENSG00000018189
151	ENSG00000018408
152	ENSG00000018510
153	ENSG00000018610
154	ENSG00000019485
155	ENSG00000019549
156	ENSG00000019582
157	ENSG00000019995
158	ENSG00000020129
159	ENSG00000020181
160	ENSG00000020256
161	ENSG00000020577
162	ENSG00000020633
163	ENSG00000021300
164	ENSG00000021645
165	ENSG00000023191
166	ENSG00000023330
167	ENSG00000023572
168	ENSG00000023608
169	ENSG00000023697
170	ENSG00000023734
171	ENSG00000023892
172	ENSG00000023902
173	ENSG00000023909
174	ENSG00000024048
175	ENSG00000024862
176	ENSG00000025156
177	ENSG00000025434
178	ENSG00000025708
179	ENSG00000025770
180	ENSG00000025800
181	ENSG00000026025
182	ENSG00000026652
183	ENSG00000027644
184	ENSG00000027697
185	ENSG00000027847
186	ENSG00000028116
187	ENSG00000028203
188	ENSG00000028277
189	ENSG00000028310
190	ENSG00000028528
191	ENSG00000028839
192	ENSG00000029153
193	ENSG00000029364
194	ENSG00000029534
195	ENSG00000029559
196	ENSG00000029725
197	ENSG00000029993
198	ENSG00000030110
199	ENSG00000030419
200	ENSG00000030582
201	ENSG00000031691
202	ENSG00000031823
203	ENSG00000032389
204	ENSG00000032742
205	ENSG00000033122
206	ENSG00000033170
207	ENSG00000033327
208	ENSG00000033627
209	ENSG00000033867
210	ENSG00000034053
211	ENSG00000034510
212	ENSG00000034693
213	ENSG00000034713
214	ENSG00000034971
215	ENSG00000035115
216	ENSG00000035141
217	ENSG00000035403
218	ENSG00000035664
219	ENSG00000035720
220	ENSG00000035862
221	ENSG00000036054
222	ENSG00000036257
223	ENSG00000036549
224	ENSG00000036565
225	ENSG00000036672
226	ENSG00000037749
227	ENSG00000037757
228	ENSG00000037897
229	ENSG00000037965
230	ENSG00000038002
231	ENSG00000038274
232	ENSG00000038427
233	ENSG00000038945
234	ENSG00000039600
235	ENSG00000039650
236	ENSG00000039987
237	ENSG00000040487
238	ENSG00000040531
239	ENSG00000040608
240	ENSG00000041353
241	ENSG00000041357
242	ENSG00000041880
243	ENSG00000041988
244	ENSG00000042062
245	ENSG00000042286
246	ENSG00000042304
247	ENSG00000042753
248	ENSG00000042980
249	ENSG00000043039
250	ENSG00000043093
251	ENSG00000043143
252	ENSG00000043462
253	ENSG00000044012
254	ENSG00000044446
255	ENSG00000044459
256	ENSG00000046653
257	ENSG00000047056
258	ENSG00000047230
259	ENSG00000047249
260	ENSG00000047579
261	ENSG00000047634
262	ENSG00000047932
263	ENSG00000048462
264	ENSG00000048540
265	ENSG00000048545
266	ENSG00000049089
267	ENSG00000049245
268	ENSG00000049249
269	ENSG00000049283
270	ENSG00000049449
271	ENSG00000049541
272	ENSG00000049656
273	ENSG00000049759
274	ENSG00000049768
275	ENSG00000049860
276	ENSG00000049883
277	ENSG00000050130
278	ENSG00000050165
279	ENSG00000050327
280	ENSG00000050426
281	ENSG00000050730
282	ENSG00000050748
283	ENSG00000050820
284	ENSG00000051128
285	ENSG00000051620
286	ENSG00000052126
287	ENSG00000052723
288	ENSG00000052802
289	ENSG00000052850
290	ENSG00000053371
291	ENSG00000053501
292	ENSG00000053702
293	ENSG00000054116
294	ENSG00000054267
295	ENSG00000054356
296	ENSG00000054392
297	ENSG00000054654
298	ENSG00000054796
299	ENSG00000054938
300	ENSG00000054965
301	ENSG00000055070
302	ENSG00000055118
303	ENSG00000055147
304	ENSG00000055208
305	ENSG00000055211
306	ENSG00000055332
307	ENSG00000055813
308	ENSG00000056277
309	ENSG00000056291
310	ENSG00000056558
311	ENSG00000057019
312	ENSG00000057294
313	ENSG00000057663
314	ENSG00000057704
315	ENSG00000058056
316	ENSG00000058063
317	ENSG00000058404
318	ENSG00000058729
319	ENSG00000058799
320	ENSG00000059122
321	ENSG00000059145
322	ENSG00000059573
323	ENSG00000059758
324	ENSG00000059804
325	ENSG00000060237
326	ENSG00000060339
327	ENSG00000060566
328	ENSG00000060709
329	ENSG00000060762
330	ENSG00000060971
331	ENSG00000060982
332	ENSG00000061273
333	ENSG00000061337
334	ENSG00000061455
335	ENSG00000061656
336	ENSG00000061938
337	ENSG00000062194
338	ENSG00000062598
339	ENSG00000062716
340	ENSG00000062725
341	ENSG00000062822
342	ENSG00000063015
343	ENSG00000063244
344	ENSG00000063245
345	ENSG00000063322
346	ENSG00000063515
347	ENSG00000063587
348	ENSG00000063854
349	ENSG00000063978
350	ENSG00000064012
351	ENSG00000064195
352	ENSG00000064199
353	ENSG00000064205
354	ENSG00000064218
355	ENSG00000064313
356	ENSG00000064419
357	ENSG00000064489
358	ENSG00000064601
359	ENSG00000064607
360	ENSG00000064652
361	ENSG00000064655
