holdout	context_a	context_b	metric	n_pairs	mean_delta_b_minus_a	median_delta_b_minus_a	n_b_better	n_a_better	wilcoxon_statistic	wilcoxon_p
unseen_both	expression	expression_pathways	test_macro_f1	5	-0.005521835650540074	-0.006944943227551625	2	3	4.0	0.4375
unseen_both	expression	expression_pathways	test_balanced_accuracy	5	-0.0025351702801701516	0.008881266893161655	3	2	7.0	1.0
unseen_both	expression	expression_pathways	test_macro_ovr_auroc	5	-0.016728202209387442	-0.006839779269619095	2	3	3.0	0.3125
unseen_both	expression	expression_pathways	test_macro_auprc	5	-0.003285542452503798	-0.004079923387187989	1	4	4.0	0.4375
unseen_both	expression	expression_pathways	test_antagonism_f1	5	-0.009908992983652193	-0.012361263795984012	2	3	5.0	0.625
unseen_both	expression	expression_pathways	test_antagonism_auroc	5	-0.025624353024395297	-0.032998516269279854	2	3	5.0	0.625
unseen_both	expression	expression_pathways	test_antagonism_auprc	5	-0.004953693823047028	-0.0020106141352727452	2	3	5.0	0.625
unseen_both	expression	expression_pathways	test_no_interaction_f1	5	-0.018051804217007073	-0.015033799483298083	1	4	3.0	0.3125
unseen_both	expression	expression_pathways	test_no_interaction_auroc	5	-0.01118256107587281	-0.015130005736427643	2	3	4.0	0.4375
unseen_both	expression	expression_pathways	test_no_interaction_auprc	5	-0.006474081655342889	-0.02284934269821326	2	3	6.0	0.8125
unseen_both	expression	expression_pathways	test_synergy_f1	5	0.01139529024903912	-0.025221961993023456	2	3	6.0	0.8125
unseen_both	expression	expression_pathways	test_synergy_auroc	5	-0.013377692527894247	-0.031050217809296843	2	3	5.0	0.625
unseen_both	expression	expression_pathways	test_synergy_auprc	5	0.0015711481208785683	-0.008561510599385508	2	3	7.0	1.0
unseen_both	expression	expression_pathways_regulons	test_macro_f1	5	-0.0039736678023559735	0.004683357832785728	3	2	6.0	0.8125
unseen_both	expression	expression_pathways_regulons	test_balanced_accuracy	5	0.0007892073607331573	0.011022276341397408	3	2	7.0	1.0
unseen_both	expression	expression_pathways_regulons	test_macro_ovr_auroc	5	-0.002685136468815896	-0.002912800163683671	2	3	7.0	1.0
unseen_both	expression	expression_pathways_regulons	test_macro_auprc	5	-0.00027606670295146076	0.002728683960037559	3	2	7.0	1.0
unseen_both	expression	expression_pathways_regulons	test_antagonism_f1	5	-0.0016131411260591588	-0.004811056177176393	2	3	7.0	1.0
unseen_both	expression	expression_pathways_regulons	test_antagonism_auroc	5	0.0005210957178841014	-0.015820084710672533	2	3	7.0	1.0
