run_name	holdout	context_config	context_label	modalities	seed	best_epoch	best_validation_macro_f1	n_train	n_validation	n_test	n_train_contexts	n_validation_contexts	n_test_contexts	total_parameters	trainable_parameters	validation_loss	validation_accuracy	validation_balanced_accuracy	validation_macro_f1	validation_weighted_f1	validation_macro_ovr_auroc	validation_macro_auprc	validation_antagonism_precision	validation_antagonism_recall	validation_antagonism_f1	validation_antagonism_support	validation_antagonism_auroc	validation_antagonism_auprc	validation_no_interaction_precision	validation_no_interaction_recall	validation_no_interaction_f1	validation_no_interaction_support	validation_no_interaction_auroc	validation_no_interaction_auprc	validation_synergy_precision	validation_synergy_recall	validation_synergy_f1	validation_synergy_support	validation_synergy_auroc	validation_synergy_auprc	test_loss	test_accuracy	test_balanced_accuracy	test_macro_f1	test_weighted_f1	test_macro_ovr_auroc	test_macro_auprc	test_antagonism_precision	test_antagonism_recall	test_antagonism_f1	test_antagonism_support	test_antagonism_auroc	test_antagonism_auprc	test_no_interaction_precision	test_no_interaction_recall	test_no_interaction_f1	test_no_interaction_support	test_no_interaction_auroc	test_no_interaction_auprc	test_synergy_precision	test_synergy_recall	test_synergy_f1	test_synergy_support	test_synergy_auroc	test_synergy_auprc
unseen_both__context-expression__seed42__druggroup-scaffold__drugtest-any	unseen_both	expression	Expression only	expression	42	2	0.4386681590589625	125180	3899	16188	109	23	23	8498467	8498467	1.222234494198772	0.650423185432162	0.44335690824778046	0.4386681590589625	0.6584990575091405	0.6670113337459701	0.4358017264350276	0.2847222222222222	0.31297709923664124	0.29818181818181816	524	0.6226242578456318	0.2578156957041529	0.8114224137931034	0.7786970010341262	0.7947229551451187	2901	0.6791661572023744	0.8387981843880138	0.20964749536178107	0.23839662447257384	0.22309970384995065	474	0.6992435861899042	0.21079129921291617	1.2523691364061635	0.642018779342723	0.45543037901253536	0.4396633598221335	0.6650876463234578	0.6383925273954287	0.40759320489265066	0.23255813953488372	0.2455919395465995	0.23889739663093415	1588	0.5899904031951968	0.17978692696106083	0.8441918491821458	0.742320819112628	0.7899857309638085	12306	0.6457614134269583	0.8119604410865299	0.23523035230352304	0.3783783783783784	0.29010695187165775	2294	0.6794257655641311	0.2310322466303612
unseen_both__context-pathways__seed42__druggroup-scaffold__drugtest-any	unseen_both	pathways	Pathways only	pathways	42	3	0.4065035627906503	125180	3899	16188	109	23	23	8248035	8248035	1.201332878228731	0.5219286996665812	0.45799473531733975	0.4065035627906503	0.5758190925126421	0.6606166753749488	0.4159286333155355	0.20036596523330283	0.4179389312977099	0.27087198515769945	524	0.6415623409669211	0.1903421886817251	0.8660287081339713	0.56153050672182	0.6813048933500627	2901	0.7023647432748986	0.8692460502352861	0.20216216216216215	0.39451476793248946	0.2673338098641887	474	0.6379229418830269	0.1881976610295953	1.266524337532198	0.6022979985174203	0.4372485793786998	0.4060824491318411	0.6304354280413378	0.643184054766517	0.4055482609939424	0.18359264497878358	0.4086901763224181	0.2533671676751903	1588	0.6341986128843035	0.16515517979504135	0.8237200877109353	0.7020965382740126	0.7580609782847115	12306	0.6543201491789356	0.8408410844058473	0.21303142329020333	0.2009590235396687	0.20681920143562135	2294	0.6410334022363118	0.21064851878093865
unseen_both__context-regulons__seed42__druggroup-scaffold__drugtest-any	unseen_both	regulons	Regulons only	regulons	42	9	0.42345605182417123	125180	3899	16188	109	23	23	8454691	8454691	1.659590092124802	0.6255450115414208	0.43456939227931296	0.42345605182417123	0.6407587811999507	0.6267869525105622	0.4180476271116207	0.28715728715728717	0.3797709923664122	0.32703368940016436	524	0.6194045801526717	0.2442562741560797	0.8094701240135288	0.7425025853154085	0.7745415318230853	2901	0.6842012187076669	0.8569691792287136	0.1577981651376147	0.18143459915611815	0.16879293424926398	474	0.576755058671348	0.15291742795006869	1.8260140301476062	0.6258339510748703	0.4157075655644272	0.405088922012262	0.6451768712433492	0.6029423844298173	0.38835472058508175	0.17850953206239167	0.2594458438287154	0.21149897330595482	1588	0.5738353792139677	0.14053244616203348	0.8183117463153193	0.7444336096213229	0.7796263988766435	12306	0.640180254949919	0.8377491994999589	0.20782122905027933	0.24324324324324326	0.22414139385418758	2294	0.5948115191255652	0.186782516093253
unseen_both__context-expression_pathways__seed42__druggroup-scaffold__drugtest-any	unseen_both	expression_pathways	Expression + pathways	expression+pathways	42	2	0.4226579552209786	125180	3899	16188	109	23	23	8522403	8522403	1.2224731547736485	0.6406770966914593	0.43201804589625586	0.4226579552209786	0.6484927475390969	0.6468934936192848	0.41708987210918164	0.2571428571428571	0.3606870229007634	0.30023828435266087	524	0.6540469324286119	0.22159762400033414	0.8082638637187387	0.7687004481213374	0.7879858657243817	2901	0.6728721144460588	0.8392917561773154	0.19506172839506172	0.16666666666666666	0.17974971558589306	474	0.6137614339831841	0.19038023614989547	1.2733236425506764	0.6188534717074377	0.44412222743264956	0.4210186048638717	0.6468610862638019	0.6408108259722815	0.4171592937668673	0.20654545454545453	0.35768261964735515	0.26187183033656064	1588	0.6079105275870398	0.19359428326885406	0.8382491964454528	0.7205428246383878	0.7749519314805104	12306	0.6661464025749703	0.8474189071208498	0.20384615384615384	0.25414123801220573	0.22623205277454406	2294	0.6483755477548343	0.21046469091089803
unseen_both__context-expression_regulons__seed42__druggroup-scaffold__drugtest-any	unseen_both	expression_regulons	Expression + regulons	expression+regulons	42	5	0.42971843385727876	125180	3899	16188	109	23	23	8729059	8729059	1.4505600666321068	0.5811746601692742	0.4614845988524565	0.42971843385727876	0.6187800220608487	0.6341212675305617	0.4228967778645177	0.2608695652173913	0.32061068702290074	0.2876712328767123	524	0.5596279332767882	0.20647831199974148	0.8380994280686318	0.656670113753878	0.7363741785852339	2901	0.6957753839288366	0.8597864154466329	0.19653767820773932	0.40717299578059074	0.2651098901098901	474	0.6469604853860605	0.2024256061471787	1.539995566014157	0.5963059056090931	0.40935890960669447	0.3941580711921702	0.6260290207933845	0.5805234592341776	0.37998375129385115	0.15260663507109004	0.20277078085642317	0.17414818820984315	1588	0.4783793692419171	0.11629745424305979	0.8199980881368893	0.6970583455225093	0.7535468001932621	12306	0.6185636210514752	0.8139818658936071	0.2081835775504562	0.3282476024411508	0.2547792251734055	2294	0.6446273874091405	0.20967193374488652
unseen_both__context-pathways_regulons__seed42__druggroup-scaffold__drugtest-any	unseen_both	pathways_regulons	Pathways + regulons	pathways+regulons	42	3	0.43728069997274327	125180	3899	16188	109	23	23	8478627	8478627	1.380801585583419	0.5909207489099769	0.4692670252627736	0.43728069997274327	0.6282988243191369	0.6395442875176895	0.42036931324687427	0.24873096446700507	0.37404580152671757	0.29878048780487804	524	0.55619112242013	0.20137487883331323	0.8493631971892841	0.6666666666666666	0.7470065662417922	2901	0.696848712937768	0.8536373016668157	0.20863309352517986	0.3670886075949367	0.26605504587155965	474	0.6655930271951707	0.20609575924049392	1.4357563436311176	0.5809241413392636	0.4518097941967263	0.40831651036294087	0.6196409010787602	0.6174685436735842	0.3900734796490141	0.1800785083415113	0.4622166246851385	0.259180790960452	1588	0.6269610908871329	0.15637045726975102	0.8386232481450948	0.661303429221518	0.7394820536119946	12306	0.6275970815641969	0.8027414441724096	0.22093023255813954	0.23190932868352224	0.226286686516376	2294	0.5978474585694226	0.2111085375048817
unseen_both__context-expression_pathways_regulons__seed42__druggroup-scaffold__drugtest-any	unseen_both	expression_pathways_regulons	Expression + pathways + regulons	expression+pathways+regulons	42	6	0.44611439493886945	125180	3899	16188	109	23	23	8752995	8752995	1.5673776625302793	0.6001538856116954	0.48887640156648554	0.44611439493886945	0.6296900365740042	0.6529796215301152	0.4338867816047934	0.2755741127348643	0.25190839694656486	0.26321036889332006	524	0.5798077466779757	0.20354595262763642	0.8344739093242087	0.6725267149258877	0.7447986256919259	2901	0.6845307298499101	0.8584917337938229	0.23752310536044363	0.5421940928270043	0.33033419023136246	474	0.6946003880624596	0.23962265839292088	1.7816638684372916	0.6215715344699778	0.39869414368568684	0.39041823964941136	0.6404232661765972	0.5796710856988975	0.38211063999674516	0.1833616298811545	0.13602015113350127	0.1561822125813449	1588	0.5044406248921707	0.12274145967515998	0.8197355401637132	0.7405330732975784	0.778124066088887	12306	0.6337001368922126	0.8341548127856381	0.18828666837914204	0.31952920662598083	0.23694844027800227	2294	0.6008724953123092	0.1894356475294373
unseen_both__context-expression__seed43__druggroup-scaffold__drugtest-any	unseen_both	expression	Expression only	expression	43	1	0.4105610580555692	125180	3899	16188	109	23	23	8498467	8498467	1.169446763884688	0.5126955629648627	0.4755858552156533	0.4105610580555692	0.569128285657629	0.6851065015780976	0.43081436243219295	0.26424050632911394	0.3187022900763359	0.2889273356401384	524	0.6935380265761946	0.22070894158420426	0.8790095666854248	0.5384350224060669	0.6678067550235143	2901	0.7124334846874031	0.8645262966664473	0.18120805369127516	0.569620253164557	0.27494908350305497	474	0.6493479934706952	0.20720784904592715	1.1971349401005056	0.6089696071163825	0.4510759899664934	0.4250681140801842	0.6429283211130189	0.6709749829708214	0.41003175444186474	0.18909774436090226	0.3167506297229219	0.23681732580037665	1588	0.6628357803388427	0.15800136191113456	0.8455092181800257	0.6968958231756867	0.7640429417791439	12306	0.6757931316599309	0.8465821451746963	0.23013293943870014	0.33958151700087186	0.2743440746610319	2294	0.6742960369136903	0.22551175623976327
unseen_both__context-pathways__seed43__druggroup-scaffold__drugtest-any	unseen_both	pathways	Pathways only	pathways	43	3	0.4421138964703051	125180	3899	16188	109	23	23	8248035	8248035	1.1801153232452655	0.5770710438573994	0.503794740950902	0.4421138964703051	0.6156039840161153	0.6752053487556511	0.4425865939060738	0.24855072463768116	0.6545801526717557	0.3602941176470588	524	0.7198982188295164	0.25781390866715953	0.8687651331719128	0.6184074457083765	0.7225130890052356	2901	0.7307897421868901	0.878978202938243	0.2488986784140969	0.23839662447257384	0.2435344827586207	474	0.5749280852505467	0.19096767011281882	1.3593587917488594	0.5569557697059551	0.42670406262708266	0.3934739067413724	0.6049090378380815	0.6370972306193874	0.4015344714155567	0.1464537087168381	0.3406801007556675	0.2048466489965922	1588	0.5755452063420863	0.13243917034816372	0.8433394853978938	0.6312367950593206	0.7220337407631175	12306	0.6840507907871851	0.8670344431953001	0.21535181236673773	0.3081952920662598	0.2535413304644074	2294	0.6516956947288908	0.2051298007032063
unseen_both__context-regulons__seed43__druggroup-scaffold__drugtest-any	unseen_both	regulons	Regulons only	regulons	43	9	0.4147941522010535	125180	3899	16188	109	23	23	8454691	8454691	1.6964947714748124	0.5888689407540395	0.4323877109425684	0.4147941522010535	0.6151878523150245	0.6076476786740932	0.4051865668123243	0.22752808988764045	0.30916030534351147	0.2621359223300971	524	0.5490834040147017	0.19526406536816399	0.8024989923417977	0.6863150637711134	0.7398736529171311	2901	0.6520529856679923	0.8363380676599773	0.20254957507082152	0.30168776371308015	0.2423728813559322	474	0.6218066463395855	0.1839575674088317	1.7493964299349718	0.6208302446256486	0.4139037086370536	0.40153118387031167	0.6408027287307047	0.6268024014249084	0.4092149488934	0.16040831206707984	0.2770780856423174	0.20318633110136228	1588	0.5439366524619578	0.13948997793177037	0.8136017897091723	0.7388265886559402	0.7744133554788978	12306	0.6647951163416346	0.8605718031781971	0.22819383259911893	0.22580645161290322	0.22699386503067484	2294	0.6716754354711328	0.2275830655702324
