holdout	seed	context_config	completed
unseen_cell_line	42	expression	True
unseen_cell_line	42	pathways	True
unseen_cell_line	42	regulons	True
unseen_cell_line	42	expression_pathways	True
unseen_cell_line	42	expression_regulons	True
unseen_cell_line	42	pathways_regulons	True
unseen_cell_line	42	expression_pathways_regulons	True
unseen_cell_line	43	expression	True
unseen_cell_line	43	pathways	True
unseen_cell_line	43	regulons	True
unseen_cell_line	43	expression_pathways	True
unseen_cell_line	43	expression_regulons	True
unseen_cell_line	43	pathways_regulons	True
unseen_cell_line	43	expression_pathways_regulons	True
unseen_cell_line	44	expression	True
unseen_cell_line	44	pathways	True
unseen_cell_line	44	regulons	True
unseen_cell_line	44	expression_pathways	True
unseen_cell_line	44	expression_regulons	True
unseen_cell_line	44	pathways_regulons	True
unseen_cell_line	44	expression_pathways_regulons	True
unseen_cell_line	45	expression	True
unseen_cell_line	45	pathways	True
unseen_cell_line	45	regulons	True
unseen_cell_line	45	expression_pathways	True
unseen_cell_line	45	expression_regulons	True
unseen_cell_line	45	pathways_regulons	True
unseen_cell_line	45	expression_pathways_regulons	True
unseen_cell_line	46	expression	True
unseen_cell_line	46	pathways	True
unseen_cell_line	46	regulons	True
unseen_cell_line	46	expression_pathways	True
unseen_cell_line	46	expression_regulons	True
unseen_cell_line	46	pathways_regulons	True
unseen_cell_line	46	expression_pathways_regulons	True
unseen_drug	42	expression	True
unseen_drug	42	pathways	True
unseen_drug	42	regulons	True
unseen_drug	42	expression_pathways	True
unseen_drug	42	expression_regulons	True
unseen_drug	42	pathways_regulons	True
unseen_drug	42	expression_pathways_regulons	True
unseen_drug	43	expression	True
unseen_drug	43	pathways	True
unseen_drug	43	regulons	True
unseen_drug	43	expression_pathways	True
unseen_drug	43	expression_regulons	True
unseen_drug	43	pathways_regulons	True
unseen_drug	43	expression_pathways_regulons	True
unseen_drug	44	expression	True
unseen_drug	44	pathways	True
unseen_drug	44	regulons	True
unseen_drug	44	expression_pathways	True
unseen_drug	44	expression_regulons	True
unseen_drug	44	pathways_regulons	True
unseen_drug	44	expression_pathways_regulons	True
unseen_drug	45	expression	True
unseen_drug	45	pathways	True
unseen_drug	45	regulons	True
unseen_drug	45	expression_pathways	True
unseen_drug	45	expression_regulons	True
unseen_drug	45	pathways_regulons	True
unseen_drug	45	expression_pathways_regulons	True
unseen_drug	46	expression	True
unseen_drug	46	pathways	True
unseen_drug	46	regulons	True
unseen_drug	46	expression_pathways	True
unseen_drug	46	expression_regulons	True
unseen_drug	46	pathways_regulons	True
unseen_drug	46	expression_pathways_regulons	True
unseen_both	42	expression	True
unseen_both	42	pathways	True
unseen_both	42	regulons	True
unseen_both	42	expression_pathways	True
unseen_both	42	expression_regulons	True
unseen_both	42	pathways_regulons	True
unseen_both	42	expression_pathways_regulons	True
unseen_both	43	expression	True
unseen_both	43	pathways	True
unseen_both	43	regulons	True
unseen_both	43	expression_pathways	True
unseen_both	43	expression_regulons	True
unseen_both	43	pathways_regulons	True
unseen_both	43	expression_pathways_regulons	True
unseen_both	44	expression	True
unseen_both	44	pathways	True
unseen_both	44	regulons	True
unseen_both	44	expression_pathways	True
unseen_both	44	expression_regulons	True
unseen_both	44	pathways_regulons	True
unseen_both	44	expression_pathways_regulons	True
unseen_both	45	expression	True
unseen_both	45	pathways	True
unseen_both	45	regulons	True
unseen_both	45	expression_pathways	True
unseen_both	45	expression_regulons	True
unseen_both	45	pathways_regulons	True
unseen_both	45	expression_pathways_regulons	True
unseen_both	46	expression	True
unseen_both	46	pathways	True
unseen_both	46	regulons	True
unseen_both	46	expression_pathways	True
unseen_both	46	expression_regulons	True
unseen_both	46	pathways_regulons	True
unseen_both	46	expression_pathways_regulons	True
