holdout	metric	rank	context_config	context_label	mean	sd
unseen_cell_line	test_macro_f1	1	pathways_regulons	Pathways + regulons	0.4736961086296684	0.007729942122794175
unseen_cell_line	test_macro_f1	2	pathways	Pathways only	0.4584252469523932	0.008051937888851501
unseen_cell_line	test_macro_f1	3	expression_regulons	Expression + regulons	0.45349590153603164	0.02812103775564049
unseen_cell_line	test_macro_f1	4	expression_pathways	Expression + pathways	0.45286756646069437	0.015944667534513714
unseen_cell_line	test_macro_f1	5	regulons	Regulons only	0.45261850466669856	0.02356630560144488
unseen_cell_line	test_macro_f1	6	expression	Expression only	0.45027329374769715	0.015199473567430842
unseen_cell_line	test_macro_f1	7	expression_pathways_regulons	Expression + pathways + regulons	0.44741490427458663	0.017901571626144783
unseen_cell_line	test_macro_auprc	1	regulons	Regulons only	0.45592175425296394	0.008877472513396404
unseen_cell_line	test_macro_auprc	2	pathways	Pathways only	0.45456726259081937	0.010816326643796172
unseen_cell_line	test_macro_auprc	3	pathways_regulons	Pathways + regulons	0.45277389579854643	0.00854826128495955
unseen_cell_line	test_macro_auprc	4	expression_pathways	Expression + pathways	0.45075457432944	0.005073726145826815
unseen_cell_line	test_macro_auprc	5	expression	Expression only	0.44693317796121407	0.0036369847546313104
unseen_cell_line	test_macro_auprc	6	expression_regulons	Expression + regulons	0.44469473074638116	0.011418073757262571
unseen_cell_line	test_macro_auprc	7	expression_pathways_regulons	Expression + pathways + regulons	0.4400855213917102	0.00929838007643782
unseen_cell_line	test_macro_ovr_auroc	1	regulons	Regulons only	0.712135739552877	0.01517781725528267
unseen_cell_line	test_macro_ovr_auroc	2	pathways	Pathways only	0.7033688085273451	0.026981081874705718
unseen_cell_line	test_macro_ovr_auroc	3	pathways_regulons	Pathways + regulons	0.6995429428316856	0.004703718152263806
unseen_cell_line	test_macro_ovr_auroc	4	expression	Expression only	0.6952751487318921	0.010116185964918823
unseen_cell_line	test_macro_ovr_auroc	5	expression_regulons	Expression + regulons	0.6923615305294768	0.024762893640706045
unseen_cell_line	test_macro_ovr_auroc	6	expression_pathways	Expression + pathways	0.6916960388029579	0.01020031439318033
unseen_cell_line	test_macro_ovr_auroc	7	expression_pathways_regulons	Expression + pathways + regulons	0.6903476562266724	0.018335679555495504
unseen_cell_line	test_synergy_auprc	1	regulons	Regulons only	0.24976324334363417	0.014307897929055166
unseen_cell_line	test_synergy_auprc	2	pathways	Pathways only	0.24573340664031468	0.020079879740336634
unseen_cell_line	test_synergy_auprc	3	pathways_regulons	Pathways + regulons	0.23454246985065694	0.006520127648168876
unseen_cell_line	test_synergy_auprc	4	expression_pathways	Expression + pathways	0.22792166472762543	0.013518676164331174
unseen_cell_line	test_synergy_auprc	5	expression	Expression only	0.22200449975976505	0.015357969405064703
unseen_cell_line	test_synergy_auprc	6	expression_regulons	Expression + regulons	0.21854158156516218	0.01617408705961179
unseen_cell_line	test_synergy_auprc	7	expression_pathways_regulons	Expression + pathways + regulons	0.21432633523862038	0.007729590522908802
unseen_cell_line	test_antagonism_auprc	1	expression_pathways	Expression + pathways	0.2004178534638772	0.01617556562764197
unseen_cell_line	test_antagonism_auprc	2	pathways	Pathways only	0.19778936298861377	0.010554260543281672
unseen_cell_line	test_antagonism_auprc	3	expression	Expression only	0.19459086498392736	0.01445148140854097
unseen_cell_line	test_antagonism_auprc	4	pathways_regulons	Pathways + regulons	0.19408147039453744	0.02130380686053587
unseen_cell_line	test_antagonism_auprc	5	regulons	Regulons only	0.192788248701944	0.017006526669439283
unseen_cell_line	test_antagonism_auprc	6	expression_regulons	Expression + regulons	0.19001026387573874	0.01626727488676309
unseen_cell_line	test_antagonism_auprc	7	expression_pathways_regulons	Expression + pathways + regulons	0.1823357060024517	0.025922914713517663
unseen_drug	test_macro_f1	1	expression_regulons	Expression + regulons	0.5582986380041708	0.01005418310096982
unseen_drug	test_macro_f1	2	pathways_regulons	Pathways + regulons	0.5564994037606243	0.004251024009989869
unseen_drug	test_macro_f1	3	expression_pathways	Expression + pathways	0.5505264715044683	0.00886445324814638
unseen_drug	test_macro_f1	4	expression	Expression only	0.5494220312940763	0.009192899906476561
unseen_drug	test_macro_f1	5	regulons	Regulons only	0.5479237860039115	0.017218314007807524
unseen_drug	test_macro_f1	6	expression_pathways_regulons	Expression + pathways + regulons	0.5470661060173316	0.01264854612404224
unseen_drug	test_macro_f1	7	pathways	Pathways only	0.5336083765673496	0.0177395265722664
unseen_drug	test_macro_auprc	1	pathways_regulons	Pathways + regulons	0.5796666475107319	0.014606827896086916
unseen_drug	test_macro_auprc	2	expression_regulons	Expression + regulons	0.5786742777812687	0.00780033523723039
unseen_drug	test_macro_auprc	3	expression_pathways	Expression + pathways	0.5757414523925095	0.0048023514491428755
unseen_drug	test_macro_auprc	4	pathways	Pathways only	0.5739212949208464	0.012154277372605457
unseen_drug	test_macro_auprc	5	expression	Expression only	0.5733611929873144	0.01711646549754627
unseen_drug	test_macro_auprc	6	regulons	Regulons only	0.573326788103551	0.02113481142917085
unseen_drug	test_macro_auprc	7	expression_pathways_regulons	Expression + pathways + regulons	0.5699592988953383	0.016431816014730215
unseen_drug	test_macro_ovr_auroc	1	expression_regulons	Expression + regulons	0.8089997270046008	0.009152803470028021
unseen_drug	test_macro_ovr_auroc	2	expression	Expression only	0.8068076523388671	0.00927171144131077
unseen_drug	test_macro_ovr_auroc	3	pathways_regulons	Pathways + regulons	0.7997452219926365	0.0114975493091567
unseen_drug	test_macro_ovr_auroc	4	regulons	Regulons only	0.7945692722639763	0.019978552872206727
unseen_drug	test_macro_ovr_auroc	5	expression_pathways	Expression + pathways	0.7927673242500417	0.0028636306674004208
unseen_drug	test_macro_ovr_auroc	6	expression_pathways_regulons	Expression + pathways + regulons	0.7883306558656195	0.018124483360884198
unseen_drug	test_macro_ovr_auroc	7	pathways	Pathways only	0.7834147645780456	0.015627499140243972
unseen_drug	test_synergy_auprc	1	pathways_regulons	Pathways + regulons	0.44405993249932935	0.01589566572566377
unseen_drug	test_synergy_auprc	2	expression	Expression only	0.42983850503971305	0.02189144602988544
unseen_drug	test_synergy_auprc	3	expression_pathways	Expression + pathways	0.4279569682180891	0.008148583760173552
unseen_drug	test_synergy_auprc	4	expression_regulons	Expression + regulons	0.4257362741043549	0.00678155177407935
