holdout	context_config	context_label	metric	n_pairs	mean_delta	sd_delta	median_delta	min_delta	max_delta	n_improved	n_worsened	wilcoxon_statistic	wilcoxon_p
unseen_both	expression	Expression only	test_macro_f1	5	0.005521835650540074	0.01679786551588108	0.006944943227551625	-0.015951138417089505	0.02430452892314977	3	2	4.0	0.4375
unseen_both	expression	Expression only	test_balanced_accuracy	5	0.0025351702801701516	0.025274759796126187	-0.008881266893161655	-0.0203193848840309	0.042675312296072465	2	3	7.0	1.0
unseen_both	expression	Expression only	test_macro_ovr_auroc	5	0.016728202209387442	0.026389156896157055	0.006839779269619095	-0.0025839457137984967	0.06064385393164817	3	2	3.0	0.3125
unseen_both	expression	Expression only	test_macro_auprc	5	0.003285542452503798	0.008269735657218226	0.004079923387187989	-0.009566088874216616	0.013065557220710178	4	1	4.0	0.4375
unseen_both	expression	Expression only	test_antagonism_f1	5	0.009908992983652193	0.04164036726699125	0.012361263795984012	-0.04055465042103765	0.05421539382100085	3	2	5.0	0.625
unseen_both	expression	Expression only	test_antagonism_auroc	5	0.025624353024395297	0.09446903777701889	0.032998516269279854	-0.10274518218833018	0.15108963631344674	3	2	5.0	0.625
unseen_both	expression	Expression only	test_antagonism_auprc	5	0.004953693823047028	0.022560545304622523	0.0020106141352727452	-0.01960030036457494	0.029193712362952373	3	2	5.0	0.625
unseen_both	expression	Expression only	test_no_interaction_f1	5	0.018051804217007073	0.028169740604104924	0.015033799483298083	-0.01812395775089548	0.054144908488465426	4	1	3.0	0.3125
unseen_both	expression	Expression only	test_no_interaction_auroc	5	0.01118256107587281	0.02301344858970349	0.015130005736427643	-0.02038498914801201	0.04068144297069076	3	2	4.0	0.4375
unseen_both	expression	Expression only	test_no_interaction_auprc	5	0.006474081655342889	0.031139084255305156	0.02284934269821326	-0.0354584660343199	0.03340989475764056	3	2	6.0	0.8125
unseen_both	expression	Expression only	test_synergy_f1	5	-0.01139529024903912	0.07811768820944709	0.025221961993023456	-0.10510556182576777	0.06387489909711369	3	2	6.0	0.8125
