holdout	context_config	seed	k
unseen_cell_line	programs	42	5
unseen_cell_line	programs	42	10
unseen_cell_line	programs	42	15
unseen_cell_line	programs	42	20
unseen_cell_line	programs	42	30
unseen_cell_line	expression_programs	42	5
unseen_cell_line	expression_programs	42	10
unseen_cell_line	expression_programs	42	15
unseen_cell_line	expression_programs	42	20
unseen_cell_line	expression_programs	42	30
unseen_cell_line	regulons_programs	42	5
unseen_cell_line	regulons_programs	42	10
unseen_cell_line	regulons_programs	42	15
unseen_cell_line	regulons_programs	42	20
unseen_cell_line	regulons_programs	42	30
unseen_cell_line	expression_regulons_programs	42	5
unseen_cell_line	expression_regulons_programs	42	10
unseen_cell_line	expression_regulons_programs	42	15
unseen_cell_line	expression_regulons_programs	42	20
unseen_cell_line	expression_regulons_programs	42	30
unseen_drug	programs	42	5
unseen_drug	programs	42	10
unseen_drug	programs	42	15
unseen_drug	programs	42	20
unseen_drug	programs	42	30
unseen_drug	expression_programs	42	5
unseen_drug	expression_programs	42	10
unseen_drug	expression_programs	42	15
unseen_drug	expression_programs	42	20
unseen_drug	expression_programs	42	30
unseen_drug	regulons_programs	42	5
unseen_drug	regulons_programs	42	10
unseen_drug	regulons_programs	42	15
unseen_drug	regulons_programs	42	20
unseen_drug	regulons_programs	42	30
unseen_drug	expression_regulons_programs	42	5
unseen_drug	expression_regulons_programs	42	10
unseen_drug	expression_regulons_programs	42	15
unseen_drug	expression_regulons_programs	42	20
unseen_drug	expression_regulons_programs	42	30
unseen_both	programs	42	5
unseen_both	programs	42	10
unseen_both	programs	42	15
unseen_both	programs	42	20
unseen_both	programs	42	30
unseen_both	expression_programs	42	5
unseen_both	expression_programs	42	10
unseen_both	expression_programs	42	15
unseen_both	expression_programs	42	20
unseen_both	expression_programs	42	30
unseen_both	regulons_programs	42	5
unseen_both	regulons_programs	42	10
unseen_both	regulons_programs	42	15
unseen_both	regulons_programs	42	20
unseen_both	regulons_programs	42	30
unseen_both	expression_regulons_programs	42	5
unseen_both	expression_regulons_programs	42	10
unseen_both	expression_regulons_programs	42	15
unseen_both	expression_regulons_programs	42	20
unseen_both	expression_regulons_programs	42	30
unseen_cell_line	programs	43	5
unseen_cell_line	programs	43	10
unseen_cell_line	programs	43	15
unseen_cell_line	programs	43	20
unseen_cell_line	programs	43	30
unseen_cell_line	expression_programs	43	5
unseen_cell_line	expression_programs	43	10
unseen_cell_line	expression_programs	43	15
unseen_cell_line	expression_programs	43	20
unseen_cell_line	expression_programs	43	30
unseen_cell_line	regulons_programs	43	5
unseen_cell_line	regulons_programs	43	10
unseen_cell_line	regulons_programs	43	15
unseen_cell_line	regulons_programs	43	20
unseen_cell_line	regulons_programs	43	30
unseen_cell_line	expression_regulons_programs	43	5
unseen_cell_line	expression_regulons_programs	43	10
unseen_cell_line	expression_regulons_programs	43	15
unseen_cell_line	expression_regulons_programs	43	20
unseen_cell_line	expression_regulons_programs	43	30
unseen_drug	programs	43	5
unseen_drug	programs	43	10
unseen_drug	programs	43	15
unseen_drug	programs	43	20
unseen_drug	programs	43	30
unseen_drug	expression_programs	43	5
unseen_drug	expression_programs	43	10
unseen_drug	expression_programs	43	15
unseen_drug	expression_programs	43	20
unseen_drug	expression_programs	43	30
unseen_drug	regulons_programs	43	5
unseen_drug	regulons_programs	43	10
unseen_drug	regulons_programs	43	15
unseen_drug	regulons_programs	43	20
unseen_drug	regulons_programs	43	30
unseen_drug	expression_regulons_programs	43	5
unseen_drug	expression_regulons_programs	43	10
unseen_drug	expression_regulons_programs	43	15
unseen_drug	expression_regulons_programs	43	20
unseen_drug	expression_regulons_programs	43	30
unseen_both	programs	43	5
unseen_both	programs	43	10
unseen_both	programs	43	15
unseen_both	programs	43	20
unseen_both	programs	43	30
unseen_both	expression_programs	43	5
unseen_both	expression_programs	43	10
unseen_both	expression_programs	43	15
unseen_both	expression_programs	43	20
unseen_both	expression_programs	43	30
unseen_both	regulons_programs	43	5
unseen_both	regulons_programs	43	10
unseen_both	regulons_programs	43	15
unseen_both	regulons_programs	43	20
unseen_both	regulons_programs	43	30
unseen_both	expression_regulons_programs	43	5
unseen_both	expression_regulons_programs	43	10
unseen_both	expression_regulons_programs	43	15
unseen_both	expression_regulons_programs	43	20
unseen_both	expression_regulons_programs	43	30
unseen_cell_line	programs	44	5
unseen_cell_line	programs	44	10
unseen_cell_line	programs	44	15
unseen_cell_line	programs	44	20
unseen_cell_line	programs	44	30
unseen_cell_line	expression_programs	44	5
unseen_cell_line	expression_programs	44	10
unseen_cell_line	expression_programs	44	15
unseen_cell_line	expression_programs	44	20
unseen_cell_line	expression_programs	44	30
unseen_cell_line	regulons_programs	44	5
unseen_cell_line	regulons_programs	44	10
unseen_cell_line	regulons_programs	44	15
unseen_cell_line	regulons_programs	44	20
unseen_cell_line	regulons_programs	44	30
unseen_cell_line	expression_regulons_programs	44	5
unseen_cell_line	expression_regulons_programs	44	10
unseen_cell_line	expression_regulons_programs	44	15
unseen_cell_line	expression_regulons_programs	44	20
unseen_cell_line	expression_regulons_programs	44	30
unseen_drug	programs	44	5
unseen_drug	programs	44	10
unseen_drug	programs	44	15
unseen_drug	programs	44	20
unseen_drug	programs	44	30
unseen_drug	expression_programs	44	5
unseen_drug	expression_programs	44	10
unseen_drug	expression_programs	44	15
unseen_drug	expression_programs	44	20
unseen_drug	expression_programs	44	30
unseen_drug	regulons_programs	44	5
unseen_drug	regulons_programs	44	10
unseen_drug	regulons_programs	44	15
unseen_drug	regulons_programs	44	20
unseen_drug	regulons_programs	44	30
unseen_drug	expression_regulons_programs	44	5
unseen_drug	expression_regulons_programs	44	10
unseen_drug	expression_regulons_programs	44	15
unseen_drug	expression_regulons_programs	44	20
unseen_drug	expression_regulons_programs	44	30
unseen_both	programs	44	5
unseen_both	programs	44	10
unseen_both	programs	44	15
unseen_both	programs	44	20
unseen_both	programs	44	30
unseen_both	expression_programs	44	5
unseen_both	expression_programs	44	10
unseen_both	expression_programs	44	15
unseen_both	expression_programs	44	20
unseen_both	expression_programs	44	30
unseen_both	regulons_programs	44	5
