run_name	holdout	context_config	context_label	modalities	seed	best_epoch	best_validation_macro_f1	n_train	n_validation	n_test	n_train_contexts	n_validation_contexts	n_test_contexts	total_parameters	trainable_parameters	validation_loss	validation_accuracy	validation_balanced_accuracy	validation_macro_f1	validation_weighted_f1	validation_macro_ovr_auroc	validation_macro_auprc	validation_antagonism_precision	validation_antagonism_recall	validation_antagonism_f1	validation_antagonism_support	validation_antagonism_auroc	validation_antagonism_auprc	validation_no_interaction_precision	validation_no_interaction_recall	validation_no_interaction_f1	validation_no_interaction_support	validation_no_interaction_auroc	validation_no_interaction_auprc	validation_synergy_precision	validation_synergy_recall	validation_synergy_f1	validation_synergy_support	validation_synergy_auroc	validation_synergy_auprc	test_loss	test_accuracy	test_balanced_accuracy	test_macro_f1	test_weighted_f1	test_macro_ovr_auroc	test_macro_auprc	test_antagonism_precision	test_antagonism_recall	test_antagonism_f1	test_antagonism_support	test_antagonism_auroc	test_antagonism_auprc	test_no_interaction_precision	test_no_interaction_recall	test_no_interaction_f1	test_no_interaction_support	test_no_interaction_auroc	test_no_interaction_auprc	test_synergy_precision	test_synergy_recall	test_synergy_f1	test_synergy_support	test_synergy_auroc	test_synergy_auprc	experiment_family	selected_k	nmf_relative_reconstruction_error
unseen_both__context-expression__seed42__druggroup-scaffold__drugtest-any	unseen_both	expression	Expression only	expression	42	2	0.4386681590589625	125180.0	3899.0	16188.0	109.0	23.0	23.0	8498467	8498467	1.222234494198772	0.650423185432162	0.4433569082477804	0.4386681590589625	0.6584990575091405	0.6670113337459701	0.4358017264350276	0.2847222222222222	0.3129770992366412	0.2981818181818181	524	0.6226242578456318	0.2578156957041529	0.8114224137931034	0.7786970010341262	0.7947229551451187	2901	0.6791661572023744	0.8387981843880138	0.209647495361781	0.2383966244725738	0.2230997038499506	474	0.6992435861899042	0.2107912992129161	1.2523691364061635	0.642018779342723	0.4554303790125353	0.4396633598221335	0.6650876463234578	0.6383925273954287	0.4075932048926506	0.2325581395348837	0.2455919395465995	0.2388973966309341	1588	0.5899904031951968	0.1797869269610608	0.8441918491821458	0.742320819112628	0.7899857309638085	12306	0.6457614134269583	0.8119604410865299	0.235230352303523	0.3783783783783784	0.2901069518716577	2294	0.6794257655641311	0.2310322466303612	original_context		
unseen_both__context-pathways__seed42__druggroup-scaffold__drugtest-any	unseen_both	pathways	Pathways only	pathways	42	3	0.4065035627906503	125180.0	3899.0	16188.0	109.0	23.0	23.0	8248035	8248035	1.201332878228731	0.5219286996665812	0.4579947353173397	0.4065035627906503	0.5758190925126421	0.6606166753749488	0.4159286333155355	0.2003659652333028	0.4179389312977099	0.2708719851576994	524	0.6415623409669211	0.1903421886817251	0.8660287081339713	0.56153050672182	0.6813048933500627	2901	0.7023647432748986	0.8692460502352861	0.2021621621621621	0.3945147679324894	0.2673338098641887	474	0.6379229418830269	0.1881976610295953	1.266524337532198	0.6022979985174203	0.4372485793786998	0.4060824491318411	0.6304354280413378	0.643184054766517	0.4055482609939424	0.1835926449787835	0.4086901763224181	0.2533671676751903	1588	0.6341986128843035	0.1651551797950413	0.8237200877109353	0.7020965382740126	0.7580609782847115	12306	0.6543201491789356	0.8408410844058473	0.2130314232902033	0.2009590235396687	0.2068192014356213	2294	0.6410334022363118	0.2106485187809386	original_context		
unseen_both__context-regulons__seed42__druggroup-scaffold__drugtest-any	unseen_both	regulons	Regulons only	regulons	42	9	0.4234560518241712	125180.0	3899.0	16188.0	109.0	23.0	23.0	8454691	8454691	1.659590092124802	0.6255450115414208	0.4345693922793129	0.4234560518241712	0.6407587811999507	0.6267869525105622	0.4180476271116207	0.2871572871572871	0.3797709923664122	0.3270336894001643	524	0.6194045801526717	0.2442562741560797	0.8094701240135288	0.7425025853154085	0.7745415318230853	2901	0.6842012187076669	0.8569691792287136	0.1577981651376147	0.1814345991561181	0.1687929342492639	474	0.576755058671348	0.1529174279500686	1.8260140301476064	0.6258339510748703	0.4157075655644272	0.405088922012262	0.6451768712433492	0.6029423844298173	0.3883547205850817	0.1785095320623916	0.2594458438287154	0.2114989733059548	1588	0.5738353792139677	0.1405324461620334	0.8183117463153193	0.7444336096213229	0.7796263988766435	12306	0.640180254949919	0.8377491994999589	0.2078212290502793	0.2432432432432432	0.2241413938541875	2294	0.5948115191255652	0.186782516093253	original_context		
unseen_both__context-expression_pathways__seed42__druggroup-scaffold__drugtest-any	unseen_both	expression_pathways	Expression + pathways	expression+pathways	42	2	0.4226579552209786	125180.0	3899.0	16188.0	109.0	23.0	23.0	8522403	8522403	1.2224731547736485	0.6406770966914593	0.4320180458962558	0.4226579552209786	0.6484927475390969	0.6468934936192848	0.4170898721091816	0.2571428571428571	0.3606870229007634	0.3002382843526608	524	0.6540469324286119	0.2215976240003341	0.8082638637187387	0.7687004481213374	0.7879858657243817	2901	0.6728721144460588	0.8392917561773154	0.1950617283950617	0.1666666666666666	0.179749715585893	474	0.6137614339831841	0.1903802361498954	1.2733236425506764	0.6188534717074377	0.4441222274326495	0.4210186048638717	0.6468610862638019	0.6408108259722815	0.4171592937668673	0.2065454545454545	0.3576826196473551	0.2618718303365606	1588	0.6079105275870398	0.193594283268854	0.8382491964454528	0.7205428246383878	0.7749519314805104	12306	0.6661464025749703	0.8474189071208498	0.2038461538461538	0.2541412380122057	0.226232052774544	2294	0.6483755477548343	0.210464690910898	original_context		
unseen_both__context-expression_regulons__seed42__druggroup-scaffold__drugtest-any	unseen_both	expression_regulons	Expression + regulons	expression+regulons	42	5	0.4297184338572787	125180.0	3899.0	16188.0	109.0	23.0	23.0	8729059	8729059	1.4505600666321068	0.5811746601692742	0.4614845988524565	0.4297184338572787	0.6187800220608487	0.6341212675305617	0.4228967778645177	0.2608695652173913	0.3206106870229007	0.2876712328767123	524	0.5596279332767882	0.2064783119997414	0.8380994280686318	0.656670113753878	0.7363741785852339	2901	0.6957753839288366	0.8597864154466329	0.1965376782077393	0.4071729957805907	0.2651098901098901	474	0.6469604853860605	0.2024256061471787	1.539995566014157	0.5963059056090931	0.4093589096066944	0.3941580711921702	0.6260290207933845	0.5805234592341776	0.3799837512938511	0.15260663507109	0.2027707808564231	0.1741481882098431	1588	0.4783793692419171	0.1162974542430597	0.8199980881368893	0.6970583455225093	0.7535468001932621	12306	0.6185636210514752	0.8139818658936071	0.2081835775504562	0.3282476024411508	0.2547792251734055	2294	0.6446273874091405	0.2096719337448865	original_context		
unseen_both__context-pathways_regulons__seed42__druggroup-scaffold__drugtest-any	unseen_both	pathways_regulons	Pathways + regulons	pathways+regulons	42	3	0.4372806999727432	125180.0	3899.0	16188.0	109.0	23.0	23.0	8478627	8478627	1.380801585583419	0.5909207489099769	0.4692670252627736	0.4372806999727432	0.6282988243191369	0.6395442875176895	0.4203693132468742	0.248730964467005	0.3740458015267175	0.298780487804878	524	0.55619112242013	0.2013748788333132	0.8493631971892841	0.6666666666666666	0.7470065662417922	2901	0.696848712937768	0.8536373016668157	0.2086330935251798	0.3670886075949367	0.2660550458715596	474	0.6655930271951707	0.2060957592404939	1.4357563436311176	0.5809241413392636	0.4518097941967263	0.4083165103629408	0.6196409010787602	0.6174685436735842	0.3900734796490141	0.1800785083415113	0.4622166246851385	0.259180790960452	1588	0.6269610908871329	0.156370457269751	0.8386232481450948	0.661303429221518	0.7394820536119946	12306	0.6275970815641969	0.8027414441724096	0.2209302325581395	0.2319093286835222	0.226286686516376	2294	0.5978474585694226	0.2111085375048817	original_context		
unseen_both__context-expression_pathways_regulons__seed42__druggroup-scaffold__drugtest-any	unseen_both	expression_pathways_regulons	Expression + pathways + regulons	expression+pathways+regulons	42	6	0.4461143949388694	125180.0	3899.0	16188.0	109.0	23.0	23.0	8752995	8752995	1.567377662530279	0.6001538856116954	0.4888764015664855	0.4461143949388694	0.6296900365740042	0.6529796215301152	0.4338867816047934	0.2755741127348643	0.2519083969465648	0.26321036889332	524	0.5798077466779757	0.2035459526276364	0.8344739093242087	0.6725267149258877	0.7447986256919259	2901	0.6845307298499101	0.8584917337938229	0.2375231053604436	0.5421940928270043	0.3303341902313624	474	0.6946003880624596	0.2396226583929208	1.7816638684372916	0.6215715344699778	0.3986941436856868	0.3904182396494113	0.6404232661765972	0.5796710856988975	0.3821106399967451	0.1833616298811545	0.1360201511335012	0.1561822125813449	1588	0.5044406248921707	0.1227414596751599	0.8197355401637132	0.7405330732975784	0.778124066088887	12306	0.6337001368922126	0.8341548127856381	0.188286668379142	0.3195292066259808	0.2369484402780022	2294	0.6008724953123092	0.1894356475294373	original_context		
unseen_both__context-expression__seed43__druggroup-scaffold__drugtest-any	unseen_both	expression	Expression only	expression	43	1	0.4105610580555692	125180.0	3899.0	16188.0	109.0	23.0	23.0	8498467	8498467	1.169446763884688	0.5126955629648627	0.4755858552156533	0.4105610580555692	0.569128285657629	0.6851065015780976	0.4308143624321929	0.2642405063291139	0.3187022900763359	0.2889273356401384	524	0.6935380265761946	0.2207089415842042	0.8790095666854248	0.5384350224060669	0.6678067550235143	2901	0.7124334846874031	0.8645262966664473	0.1812080536912751	0.569620253164557	0.2749490835030549	474	0.6493479934706952	0.2072078490459271	1.1971349401005056	0.6089696071163825	0.4510759899664934	0.4250681140801842	0.6429283211130189	0.6709749829708214	0.4100317544418647	0.1890977443609022	0.3167506297229219	0.2368173258003766	1588	0.6628357803388427	0.1580013619111345	0.8455092181800257	0.6968958231756867	0.7640429417791439	12306	0.6757931316599309	0.8465821451746963	0.2301329394387001	0.3395815170008718	0.2743440746610319	2294	0.6742960369136903	0.2255117562397632	original_context		
unseen_both__context-pathways__seed43__druggroup-scaffold__drugtest-any	unseen_both	pathways	Pathways only	pathways	43	3	0.4421138964703051	125180.0	3899.0	16188.0	109.0	23.0	23.0	8248035	8248035	1.1801153232452657	0.5770710438573994	0.503794740950902	0.4421138964703051	0.6156039840161153	0.6752053487556511	0.4425865939060738	0.2485507246376811	0.6545801526717557	0.3602941176470588	524	0.7198982188295164	0.2578139086671595	0.8687651331719128	0.6184074457083765	0.7225130890052356	2901	0.7307897421868901	0.878978202938243	0.2488986784140969	0.2383966244725738	0.2435344827586207	474	0.5749280852505467	0.1909676701128188	1.3593587917488594	0.5569557697059551	0.4267040626270826	0.3934739067413724	0.6049090378380815	0.6370972306193874	0.4015344714155567	0.1464537087168381	0.3406801007556675	0.2048466489965922	1588	0.5755452063420863	0.1324391703481637	0.8433394853978938	0.6312367950593206	0.7220337407631175	12306	0.6840507907871851	0.8670344431953001	0.2153518123667377	0.3081952920662598	0.2535413304644074	2294	0.6516956947288908	0.2051298007032063	original_context		
unseen_both__context-regulons__seed43__druggroup-scaffold__drugtest-any	unseen_both	regulons	Regulons only	regulons	43	9	0.4147941522010535	125180.0	3899.0	16188.0	109.0	23.0	23.0	8454691	8454691	1.6964947714748124	0.5888689407540395	0.4323877109425684	0.4147941522010535	0.6151878523150245	0.6076476786740932	0.4051865668123243	0.2275280898876404	0.3091603053435114	0.2621359223300971	524	0.5490834040147017	0.1952640653681639	0.8024989923417977	0.6863150637711134	0.7398736529171311	2901	0.6520529856679923	0.8363380676599773	0.2025495750708215	0.3016877637130801	0.2423728813559322	474	0.6218066463395855	0.1839575674088317	1.7493964299349718	0.6208302446256486	0.4139037086370536	0.4015311838703116	0.6408027287307047	0.6268024014249084	0.4092149488934	0.1604083120670798	0.2770780856423174	0.2031863311013622	1588	0.5439366524619578	0.1394899779317703	0.8136017897091723	0.7388265886559402	0.7744133554788978	12306	0.6647951163416346	0.8605718031781971	0.2281938325991189	0.2258064516129032	0.2269938650306748	2294	0.6716754354711328	0.2275830655702324	original_context		
