holdout	metric	context_a	context_b	seed	a	b	delta_b_minus_a
unseen_cell_line	test_macro_f1	programs	expression_programs	42	0.4576202704343492	0.4820550352986838	0.0244347648643346
unseen_cell_line	test_macro_f1	programs	expression_programs	43	0.4530852855535911	0.4619110669121669	0.008825781358575757
unseen_cell_line	test_macro_f1	programs	expression_programs	44	0.47604699408574397	0.45173835755840597	-0.024308636527338
unseen_cell_line	test_macro_f1	programs	expression_programs	45	0.4638967497717184	0.46431103976193583	0.0004142899902174202
unseen_cell_line	test_macro_f1	programs	expression_programs	46	0.4637680435542498	0.46095659146791507	-0.0028114520863347092
unseen_cell_line	test_balanced_accuracy	programs	expression_programs	42	0.5186073730519217	0.5321595346926845	0.013552161640762783
unseen_cell_line	test_balanced_accuracy	programs	expression_programs	43	0.5442609495205775	0.5395745061904837	-0.004686443330093715
unseen_cell_line	test_balanced_accuracy	programs	expression_programs	44	0.5558210367855133	0.5251704817941367	-0.03065055499137659
unseen_cell_line	test_balanced_accuracy	programs	expression_programs	45	0.5214033517319643	0.5358212225117976	0.014417870779833364
unseen_cell_line	test_balanced_accuracy	programs	expression_programs	46	0.547687704128862	0.533008438882221	-0.014679265246640982
unseen_cell_line	test_macro_ovr_auroc	programs	expression_programs	42	0.6874744112163439	0.704193663611116	0.01671925239477212
unseen_cell_line	test_macro_ovr_auroc	programs	expression_programs	43	0.720157612365541	0.6890058193828498	-0.031151792982691218
unseen_cell_line	test_macro_ovr_auroc	programs	expression_programs	44	0.761642298853919	0.6893999806162286	-0.07224231823769034
unseen_cell_line	test_macro_ovr_auroc	programs	expression_programs	45	0.6920830311685201	0.6969342529814483	0.004851221812928186
unseen_cell_line	test_macro_ovr_auroc	programs	expression_programs	46	0.7517283347924445	0.6923422387957179	-0.05938609599672662
unseen_cell_line	test_macro_auprc	programs	expression_programs	42	0.4393636694478214	0.4663179307926583	0.026954261344836916
unseen_cell_line	test_macro_auprc	programs	expression_programs	43	0.44499942945856646	0.4510026362602506	0.006003206801684147
unseen_cell_line	test_macro_auprc	programs	expression_programs	44	0.46643304530022806	0.44408239976930924	-0.02235064553091881
unseen_cell_line	test_macro_auprc	programs	expression_programs	45	0.44339303704249455	0.446648002519986	0.003254965477491434
unseen_cell_line	test_macro_auprc	programs	expression_programs	46	0.45826585710915285	0.44956711469119676	-0.008698742417956096
unseen_cell_line	test_antagonism_auprc	programs	expression_programs	42	0.16889150679042078	0.22523802219949296	0.05634651540907218
unseen_cell_line	test_antagonism_auprc	programs	expression_programs	43	0.16506146368424432	0.21070663624787533	0.045645172563631015
unseen_cell_line	test_antagonism_auprc	programs	expression_programs	44	0.20335548703205605	0.18842117967086364	-0.014934307361192417
unseen_cell_line	test_antagonism_auprc	programs	expression_programs	45	0.1820572518970795	0.18680304488066146	0.0047457929835819646
unseen_cell_line	test_antagonism_auprc	programs	expression_programs	46	0.18760969042976106	0.18970006847889398	0.002090378049132924
unseen_cell_line	test_synergy_auprc	programs	expression_programs	42	0.2244326951680109	0.24618588580726633	0.021753190639255432
unseen_cell_line	test_synergy_auprc	programs	expression_programs	43	0.23432149319007634	0.21198331388545769	-0.02233817930461865
unseen_cell_line	test_synergy_auprc	programs	expression_programs	44	0.26075521341715857	0.22491563059535838	-0.03583958282180019
unseen_cell_line	test_synergy_auprc	programs	expression_programs	45	0.2197376331985792	0.2226111838613953	0.00287355066281611
unseen_cell_line	test_synergy_auprc	programs	expression_programs	46	0.253792820520498	0.24008813227939316	-0.013704688241104851
unseen_cell_line	test_macro_f1	programs	regulons_programs	42	0.4576202704343492	0.47636225793269227	0.01874198749834305
unseen_cell_line	test_macro_f1	programs	regulons_programs	43	0.4530852855535911	0.4733953624980412	0.020310076944450084
unseen_cell_line	test_macro_f1	programs	regulons_programs	44	0.47604699408574397	0.474601605804346	-0.0014453882813979524
unseen_cell_line	test_macro_f1	programs	regulons_programs	45	0.4638967497717184	0.46146972180094775	-0.0024270279707706566
unseen_cell_line	test_macro_f1	programs	regulons_programs	46	0.4637680435542498	0.444894882492171	-0.018873161062078758
unseen_cell_line	test_balanced_accuracy	programs	regulons_programs	42	0.5186073730519217	0.5493442800570277	0.030736907005106007
unseen_cell_line	test_balanced_accuracy	programs	regulons_programs	43	0.5442609495205775	0.5351182461259968	-0.009142703394580676
unseen_cell_line	test_balanced_accuracy	programs	regulons_programs	44	0.5558210367855133	0.5495163892013868	-0.0063046475841265215
unseen_cell_line	test_balanced_accuracy	programs	regulons_programs	45	0.5214033517319643	0.5529767690825395	0.03157341735057517
unseen_cell_line	test_balanced_accuracy	programs	regulons_programs	46	0.547687704128862	0.5438597629615302	-0.003827941167331872
unseen_cell_line	test_macro_ovr_auroc	programs	regulons_programs	42	0.6874744112163439	0.7073881689264017	0.019913757710057767
unseen_cell_line	test_macro_ovr_auroc	programs	regulons_programs	43	0.720157612365541	0.7041771566688636	-0.015980455696677387
unseen_cell_line	test_macro_ovr_auroc	programs	regulons_programs	44	0.761642298853919	0.7031749649681583	-0.05846733388576064
unseen_cell_line	test_macro_ovr_auroc	programs	regulons_programs	45	0.6920830311685201	0.7092465259619732	0.017163494793453138
unseen_cell_line	test_macro_ovr_auroc	programs	regulons_programs	46	0.7517283347924445	0.7005391120413176	-0.05118922275112692
unseen_cell_line	test_macro_auprc	programs	regulons_programs	42	0.4393636694478214	0.45028594938738326	0.010922279939561852
unseen_cell_line	test_macro_auprc	programs	regulons_programs	43	0.44499942945856646	0.45867906840829686	0.0136796389497304
unseen_cell_line	test_macro_auprc	programs	regulons_programs	44	0.46643304530022806	0.45313887928512037	-0.013294166015107689
unseen_cell_line	test_macro_auprc	programs	regulons_programs	45	0.44339303704249455	0.45534282122566755	0.011949784183172996
unseen_cell_line	test_macro_auprc	programs	regulons_programs	46	0.45826585710915285	0.4446750788841993	-0.013590778224953526
unseen_cell_line	test_antagonism_auprc	programs	regulons_programs	42	0.16889150679042078	0.18777097271523682	0.01887946592481604
unseen_cell_line	test_antagonism_auprc	programs	regulons_programs	43	0.16506146368424432	0.21447541311809848	0.04941394943385416
unseen_cell_line	test_antagonism_auprc	programs	regulons_programs	44	0.20335548703205605	0.1998036574696828	-0.0035518295623732654
unseen_cell_line	test_antagonism_auprc	programs	regulons_programs	45	0.1820572518970795	0.20534285469017538	0.023285602793095883
unseen_cell_line	test_antagonism_auprc	programs	regulons_programs	46	0.18760969042976106	0.17905344468039813	-0.008556245749362923
unseen_cell_line	test_synergy_auprc	programs	regulons_programs	42	0.2244326951680109	0.23427677823155457	0.009844083063543674
unseen_cell_line	test_synergy_auprc	programs	regulons_programs	43	0.23432149319007634	0.2360548467267179	0.0017333535366415576
unseen_cell_line	test_synergy_auprc	programs	regulons_programs	44	0.26075521341715857	0.22711032713740492	-0.03364488627975365
unseen_cell_line	test_synergy_auprc	programs	regulons_programs	45	0.2197376331985792	0.23010584928861333	0.010368216090034132
unseen_cell_line	test_synergy_auprc	programs	regulons_programs	46	0.253792820520498	0.2233303218873321	-0.030462498633165913
unseen_cell_line	test_macro_f1	programs	expression_regulons_programs	42	0.4576202704343492	0.4621664395878704	0.0045461691535211846
unseen_cell_line	test_macro_f1	programs	expression_regulons_programs	43	0.4530852855535911	0.46584886703170963	0.012763581478118513
unseen_cell_line	test_macro_f1	programs	expression_regulons_programs	44	0.47604699408574397	0.44313496589783335	-0.032912028187910614
unseen_cell_line	test_macro_f1	programs	expression_regulons_programs	45	0.4638967497717184	0.4603245949117984	-0.003572154859920018
unseen_cell_line	test_macro_f1	programs	expression_regulons_programs	46	0.4637680435542498	0.4754965730935293	0.011728529539279497
unseen_cell_line	test_balanced_accuracy	programs	expression_regulons_programs	42	0.5186073730519217	0.5394853629739441	0.02087798992202239
unseen_cell_line	test_balanced_accuracy	programs	expression_regulons_programs	43	0.5442609495205775	0.5107347616247442	-0.03352618789583328
unseen_cell_line	test_balanced_accuracy	programs	expression_regulons_programs	44	0.5558210367855133	0.5271025034976143	-0.028718533287898973
unseen_cell_line	test_balanced_accuracy	programs	expression_regulons_programs	45	0.5214033517319643	0.5503968066038691	0.028993454871904856
unseen_cell_line	test_balanced_accuracy	programs	expression_regulons_programs	46	0.547687704128862	0.5423983250015784	-0.0052893791272836665
unseen_cell_line	test_macro_ovr_auroc	programs	expression_regulons_programs	42	0.6874744112163439	0.7060337691217901	0.01855935790544616
unseen_cell_line	test_macro_ovr_auroc	programs	expression_regulons_programs	43	0.720157612365541	0.6944432367375701	-0.025714375627970854
unseen_cell_line	test_macro_ovr_auroc	programs	expression_regulons_programs	44	0.761642298853919	0.6726136502334038	-0.08902864862051518
unseen_cell_line	test_macro_ovr_auroc	programs	expression_regulons_programs	45	0.6920830311685201	0.7000590322366725	0.007976001068152438
unseen_cell_line	test_macro_ovr_auroc	programs	expression_regulons_programs	46	0.7517283347924445	0.7071174733522513	-0.04461086144019322
unseen_cell_line	test_macro_auprc	programs	expression_regulons_programs	42	0.4393636694478214	0.45353434084611827	0.014170671398296864
unseen_cell_line	test_macro_auprc	programs	expression_regulons_programs	43	0.44499942945856646	0.4457249577221729	0.0007255282636064453
unseen_cell_line	test_macro_auprc	programs	expression_regulons_programs	44	0.46643304530022806	0.44181384716839345	-0.024619198131834608
unseen_cell_line	test_macro_auprc	programs	expression_regulons_programs	45	0.44339303704249455	0.4525902296040285	0.009197192561533951
unseen_cell_line	test_macro_auprc	programs	expression_regulons_programs	46	0.45826585710915285	0.46540120885672426	0.007135351747571406
unseen_cell_line	test_antagonism_auprc	programs	expression_regulons_programs	42	0.16889150679042078	0.20894439394851025	0.04005288715808947
unseen_cell_line	test_antagonism_auprc	programs	expression_regulons_programs	43	0.16506146368424432	0.17737848394845657	0.012317020264212247
unseen_cell_line	test_antagonism_auprc	programs	expression_regulons_programs	44	0.20335548703205605	0.20863998941990194	0.005284502387845891
unseen_cell_line	test_antagonism_auprc	programs	expression_regulons_programs	45	0.1820572518970795	0.19285527208680964	0.01079802018973014
unseen_cell_line	test_antagonism_auprc	programs	expression_regulons_programs	46	0.18760969042976106	0.22709426336364902	0.03948457293388796
unseen_cell_line	test_synergy_auprc	programs	expression_regulons_programs	42	0.2244326951680109	0.2223189042866724	-0.0021137908813385065
unseen_cell_line	test_synergy_auprc	programs	expression_regulons_programs	43	0.23432149319007634	0.23228482998508285	-0.0020366632049934885
unseen_cell_line	test_synergy_auprc	programs	expression_regulons_programs	44	0.26075521341715857	0.19526784492840765	-0.06548736848875092
unseen_cell_line	test_synergy_auprc	programs	expression_regulons_programs	45	0.2197376331985792	0.24136147698490523	0.021623843786326036
unseen_cell_line	test_synergy_auprc	programs	expression_regulons_programs	46	0.253792820520498	0.2440933638826897	-0.009699456637808301
unseen_cell_line	test_macro_f1	expression_programs	regulons_programs	42	0.4820550352986838	0.47636225793269227	-0.005692777365991553
