holdout	metric	context_a	context_b	n_pairs	mean_delta_b_minus_a	median_delta_b_minus_a	n_b_better	n_a_better	wilcoxon_statistic	wilcoxon_p
unseen_cell_line	test_macro_f1	programs	expression_programs	5	0.0013109495198910138	0.0004142899902174202	3	2	6.0	0.8125
unseen_cell_line	test_balanced_accuracy	programs	expression_programs	5	-0.004409246229503028	-0.004686443330093715	2	3	5.0	0.625
unseen_cell_line	test_macro_ovr_auroc	programs	expression_programs	5	-0.028241946601881573	-0.031151792982691218	2	3	3.0	0.3125
unseen_cell_line	test_macro_auprc	programs	expression_programs	5	0.001032609135027518	0.003254965477491434	3	2	7.0	1.0
unseen_cell_line	test_antagonism_auprc	programs	expression_programs	5	0.018778710328845132	0.0047457929835819646	4	1	3.0	0.3125
unseen_cell_line	test_synergy_auprc	programs	expression_programs	5	-0.00945114181309043	-0.013704688241104851	2	3	4.0	0.4375
unseen_cell_line	test_macro_f1	programs	regulons_programs	5	0.003261297425709153	-0.0014453882813979524	2	3	7.0	1.0
unseen_cell_line	test_balanced_accuracy	programs	regulons_programs	5	0.008607006441928421	-0.003827941167331872	2	3	6.0	0.8125
unseen_cell_line	test_macro_ovr_auroc	programs	regulons_programs	5	-0.01771195196601081	-0.015980455696677387	2	3	5.0	0.625
unseen_cell_line	test_macro_auprc	programs	regulons_programs	5	0.0019333517664808064	0.010922279939561852	3	2	7.0	1.0
unseen_cell_line	test_antagonism_auprc	programs	regulons_programs	5	0.01589418856800598	0.01887946592481604	3	2	3.0	0.3125
unseen_cell_line	test_synergy_auprc	programs	regulons_programs	5	-0.00843234644454004	0.0017333535366415576	3	2	6.0	0.8125
unseen_cell_line	test_macro_f1	programs	expression_regulons_programs	5	-0.0014891805753822873	0.0045461691535211846	3	2	6.0	0.8125
unseen_cell_line	test_balanced_accuracy	programs	expression_regulons_programs	5	-0.0035325311034177355	-0.0052893791272836665	2	3	6.0	0.8125
unseen_cell_line	test_macro_ovr_auroc	programs	expression_regulons_programs	5	-0.02656370534301613	-0.025714375627970854	2	3	3.0	0.3125
unseen_cell_line	test_macro_auprc	programs	expression_regulons_programs	5	0.0013219091678348116	0.007135351747571406	4	1	5.0	0.625
unseen_cell_line	test_antagonism_auprc	programs	expression_regulons_programs	5	0.021587400586753142	0.012317020264212247	5	0	0.0	0.0625
unseen_cell_line	test_synergy_auprc	programs	expression_regulons_programs	5	-0.011542687085313036	-0.0021137908813385065	1	4	4.0	0.4375
unseen_cell_line	test_macro_f1	expression_programs	regulons_programs	5	0.0019503479058181395	-0.0028413179609880768	2	3	7.0	1.0
unseen_cell_line	test_balanced_accuracy	expression_programs	regulons_programs	5	0.01301625267143145	0.01715554657074181	4	1	1.0	0.125
unseen_cell_line	test_macro_ovr_auroc	expression_programs	regulons_programs	5	0.010529994635870765	0.012312272980524952	5	0	0.0	0.0625
unseen_cell_line	test_macro_auprc	expression_programs	regulons_programs	5	0.0009007426314532885	0.007676432148046253	3	2	6.0	0.8125
unseen_cell_line	test_antagonism_auprc	expression_programs	regulons_programs	5	-0.002884521760839154	0.003768776870223145	3	2	7.0	1.0
unseen_cell_line	test_synergy_auprc	expression_programs	regulons_programs	5	0.0010187953685503904	0.0021946965420465425	3	2	7.0	1.0
unseen_cell_line	test_macro_f1	expression_programs	expression_regulons_programs	5	-0.002800130095273301	-0.003986444850137438	2	3	5.0	0.625
unseen_cell_line	test_balanced_accuracy	expression_programs	expression_regulons_programs	5	0.0008767151260852923	0.007325828281259605	4	1	5.0	0.625
unseen_cell_line	test_macro_ovr_auroc	expression_programs	expression_regulons_programs	5	0.0016782412588654428	0.0031247792552242526	4	1	5.0	0.625
unseen_cell_line	test_macro_auprc	expression_programs	expression_regulons_programs	5	0.00028930003280729365	-0.0022685526009157964	2	3	7.0	1.0
unseen_cell_line	test_antagonism_auprc	expression_programs	expression_regulons_programs	5	0.0028086902579080087	0.006052227206148175	3	2	6.0	0.8125
unseen_cell_line	test_synergy_auprc	expression_programs	expression_regulons_programs	5	-0.0020915452722226058	0.00400523160329655	3	2	6.0	0.8125
unseen_cell_line	test_macro_f1	regulons_programs	expression_regulons_programs	5	-0.00475047800109144	-0.007546495466331571	1	4	4.0	0.4375
