holdout	context_config	context_label	n_seeds	selected_k_values	test_macro_f1_mean	test_macro_f1_sd	test_macro_f1_median	test_balanced_accuracy_mean	test_balanced_accuracy_sd	test_balanced_accuracy_median	test_macro_ovr_auroc_mean	test_macro_ovr_auroc_sd	test_macro_ovr_auroc_median	test_macro_auprc_mean	test_macro_auprc_sd	test_macro_auprc_median	test_antagonism_auprc_mean	test_antagonism_auprc_sd	test_antagonism_auprc_median	test_synergy_auprc_mean	test_synergy_auprc_sd	test_synergy_auprc_median
unseen_both	expression_programs	Expression + programs	5	5,5,5,10,20	0.3930216934205723	0.011805857020346082	0.3910209251706817	0.402031747859603	0.01651659616356116	0.400845238974695	0.5907510628204513	0.018955964639136912	0.5961735139666968	0.387634886681407	0.009219997842674613	0.3867378172256662	0.12441522673287324	0.014712587956706097	0.119389308799188	0.20363301291568722	0.008260919937366292	0.2060968581256289
unseen_both	expression_regulons_programs	Expression + regulons + programs	5	10,10,10,15,20	0.402422375584831	0.0068322060602344185	0.40229555348907603	0.4184486641904533	0.011737336496560388	0.4241304406979842	0.6100456847127227	0.025140096798274406	0.6133186847748692	0.39355188755168685	0.008528360965538936	0.39532340295162544	0.13881810039429232	0.0160586801504846	0.14011548867514728	0.1965693816213961	0.01814057392573725	0.19234688122781282
unseen_both	programs	Programs only	5	5,10,10,10,30	0.41640399371140113	0.018903035942326007	0.4169825383611226	0.4305428523393909	0.03132930512303584	0.44527996786097357	0.6379229479090905	0.03452396531911723	0.6471420665472442	0.41059028717614793	0.014136334130842424	0.4193418097069784	0.13563322097061686	0.027140163234433325	0.14140825857500894	0.24315316854577368	0.005113186523743103	0.24265798327937632
unseen_both	regulons_programs	Regulons + programs	5	10,15,15,30,30	0.40975105218260877	0.02989975787648887	0.4005186921469008	0.4237481776991049	0.03233723035681061	0.4204119175366012	0.6151530982490458	0.03204420167486048	0.611006707604563	0.400453692177787	0.025671469797750347	0.38897054022028427	0.15616643263495802	0.051484800214613546	0.12869814895773274	0.20461259769541112	0.024264444700093857	0.1988349449928206
unseen_cell_line	expression_programs	Expression + programs	5	5,5,15,20,30	0.46419441819982155	0.011066457263869794	0.4619110669121669	0.5331468368142647	0.005317034684463334	0.533008438882221	0.6943751910774721	0.006337723708692058	0.6923422387957179	0.4515236168066802	0.008690718802884394	0.44956711469119676	0.20017379029555746	0.017071585331538474	0.18970006847889398	0.2291568292857742	0.013831531212312162	0.22491563059535838
unseen_cell_line	expression_regulons_programs	Expression + regulons + programs	5	10,15,20,20,30	0.46139428810454824	0.011767126074547616	0.4621664395878704	0.53402355194035	0.01547837473526506	0.5394853629739441	0.6960534323363375	0.014054190401920564	0.7000590322366725	0.4518129168394875	0.009017397576237143	0.4525902296040285	0.20298248055346546	0.018755365110187123	0.20863998941990194	0.22706528401355155	0.01971792046932197	0.23228482998508285
unseen_cell_line	programs	Programs only	5	5,5,5,5,20	0.46288346867993047	0.008642818705988228	0.4637680435542498	0.5375560830437678	0.016591999989891817	0.5442609495205775	0.7226171376793536	0.03370392095326659	0.720157612365541	0.4504910076716526	0.011390271307096696	0.44499942945856646	0.18139507996671234	0.015365917613229132	0.1820572518970795	0.2386079710988646	0.018003346822967593	0.23432149319007634
unseen_cell_line	regulons_programs	Regulons + programs	5	5,15,15,15,30	0.4661447661056396	0.013246697869731577	0.4733953624980412	0.5461630894856963	0.006983636230504141	0.5493442800570277	0.7049051857133429	0.003449591650360027	0.7041771566688636	0.45242435943813347	0.005309743138024866	0.45313887928512037	0.19728926853471834	0.014050704557720946	0.1998036574696828	0.23017562465432456	0.005187576512236519	0.23010584928861333
unseen_drug	expression_programs	Expression + programs	5	10,10,10,15,30	0.5532674683579173	0.021603605290948086	0.5412972911503547	0.6411556061320877	0.022081214716030598	0.6497466381341062	0.8013122227775022	0.018283987086885355	0.8073137509958254	0.5806820438807674	0.023113386956025193	0.5670081221943354	0.36487759783641904	0.04041892815432882	0.33754248020115235	0.4356316807837587	0.025739010710089143	0.4215522848276969
unseen_drug	expression_regulons_programs	Expression + regulons + programs	5	15,15,20,30,30	0.5557966173659452	0.015309995863074832	0.5569568470110743	0.6307044429581037	0.02823028528918558	0.6446517121103722	0.7933907762671124	0.021783632224079412	0.804396825004375	0.5732021496361643	0.020550802187408315	0.5790896362923225	0.362596515376348	0.03084572179178176	0.3622945232763143	0.41988815030848264	0.02283234907216349	0.42555972734758085
unseen_drug	programs	Programs only	5	10,10,15,20,20	0.5316223605891913	0.0078066484632946355	0.528382203701922	0.6155495416037177	0.01666544342359018	0.6241842782497081	0.7795659792762437	0.011970305773348828	0.7820682787785858	0.5631338004608728	0.013244968086765103	0.5681410163988723	0.33351497879081127	0.03357541738028129	0.3374993333280371	0.42259896047065526	0.008129607177095186	0.4201383509253188
unseen_drug	regulons_programs	Regulons + programs	5	5,5,10,30,30	0.5480197861112542	0.010970849948363722	0.5442314719942668	0.6480690523230337	0.014770459229427392	0.6445528156861483	0.8012973989513388	0.008970304316674721	0.8021154410951254	0.5769491190743881	0.008958089949643378	0.5799469814352011	0.35937838010056605	0.021562076027637662	0.3623675964985539	0.4284775335202591	0.01698839992506385	0.4333851865990946
