holdout	context_config	selected_k	n_seeds
unseen_both	expression_programs	5	3
unseen_both	expression_programs	10	1
unseen_both	expression_programs	20	1
unseen_both	expression_regulons_programs	10	3
unseen_both	expression_regulons_programs	15	1
unseen_both	expression_regulons_programs	20	1
unseen_both	programs	5	1
unseen_both	programs	10	3
unseen_both	programs	30	1
unseen_both	regulons_programs	10	1
unseen_both	regulons_programs	15	2
unseen_both	regulons_programs	30	2
unseen_cell_line	expression_programs	5	2
unseen_cell_line	expression_programs	15	1
unseen_cell_line	expression_programs	20	1
unseen_cell_line	expression_programs	30	1
unseen_cell_line	expression_regulons_programs	10	1
unseen_cell_line	expression_regulons_programs	15	1
unseen_cell_line	expression_regulons_programs	20	2
unseen_cell_line	expression_regulons_programs	30	1
unseen_cell_line	programs	5	4
unseen_cell_line	programs	20	1
unseen_cell_line	regulons_programs	5	1
unseen_cell_line	regulons_programs	15	3
unseen_cell_line	regulons_programs	30	1
unseen_drug	expression_programs	10	3
unseen_drug	expression_programs	15	1
unseen_drug	expression_programs	30	1
unseen_drug	expression_regulons_programs	15	2
unseen_drug	expression_regulons_programs	20	1
unseen_drug	expression_regulons_programs	30	2
unseen_drug	programs	10	2
unseen_drug	programs	15	1
unseen_drug	programs	20	2
unseen_drug	regulons_programs	5	2
unseen_drug	regulons_programs	10	1
unseen_drug	regulons_programs	30	2
